C_EGDA_M,C_cat_M,Q1_mL_min,Q2_mL_min,Q_total_mL_min,T_C,beta_model_weight,design_mode,eig_evaluated,eig_model,eig_param,governor_state,n_positions,rank,resource_penalty,round,scenario,screen_score,seed,selected,strategy,utility_total,z_positions_m
2.0,0.5,0.25,0.25,0.5,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,6,S1_ideal,1.3539823971309985,1,0,F,nan,0.0855;0.1002;0.1149;0.1296;0.1443;0.159;0.1737;0.1884;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,60.0,1.0,eig,1,0.0,0.5397490733957714,NORMAL_LEARNING,10,1,0.0,7,S1_ideal,1.1766247776343732,1,0,F,0.5397490733957714,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,80.0,1.0,eig,1,0.0,0.4322933829344884,NORMAL_LEARNING,10,2,0.0,7,S1_ideal,1.078851745586043,1,0,F,0.4322933829344884,0.453;0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853
2.0,2.0,0.25,0.25,0.5,120.0,1.0,eig,1,0.0,0.876071605332207,NORMAL_LEARNING,10,3,0.0,7,S1_ideal,1.0421648152222218,1,1,F,0.876071605332207,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,140.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,7,S1_ideal,0.9981448876500494,1,0,F,nan,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,7,S1_ideal,0.9476703001635798,1,0,F,nan,0.0267;0.0414;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,0.25,0.25,0.5,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,7,S1_ideal,0.9340957988126348,1,0,F,nan,0.0561;0.0708;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,60.0,1.0,eig,1,0.0,0.7254276394117022,NORMAL_LEARNING,10,1,0.0,8,S1_ideal,1.1766335769854308,1,1,F,0.7254276394117022,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,80.0,1.0,eig,1,0.0,0.6144083499428602,NORMAL_LEARNING,10,2,0.0,8,S1_ideal,1.063447073152112,1,0,F,0.6144083499428602,0.4236;0.4383;0.453;0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559
2.0,1.0,0.25,0.25,0.5,80.0,1.0,eig,1,0.0,0.3402259981076212,NORMAL_LEARNING,10,3,0.0,8,S1_ideal,0.8762317171830958,1,0,F,0.3402259981076212,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,0.5,1.0,1.0,2.0,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,8,S1_ideal,0.7765940621230527,1,0,F,nan,0.4236;0.4383;0.453;0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559
2.0,0.1,0.25,0.25,0.5,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,8,S1_ideal,0.7719178238932969,1,0,F,nan,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,4.0,4.0,8.0,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,8,S1_ideal,0.7715846923597809,1,0,F,nan,0.4383;0.453;0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706
2.0,2.0,4.0,4.0,8.0,160.0,1.0,eig,1,0.0,2.7725887222397816,NORMAL_LEARNING,10,1,0.0,2,S1_ideal,119.1821634536862,2,1,F,2.7725887222397816,0.1002;0.1149;0.1296;0.1443;0.159;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,1.0,1.0,2.0,160.0,1.0,eig,1,0.0,2.7725887222397816,NORMAL_LEARNING,10,2,0.0,2,S1_ideal,119.08110896898978,2,0,F,2.7725887222397816,0.0414;0.0561;0.0708;0.0855;0.1002;0.3942;0.4089;0.453;0.4824;0.5412
2.0,0.5,1.0,1.0,2.0,160.0,1.0,eig,1,0.0,2.7725887222397816,NORMAL_LEARNING,10,3,0.0,2,S1_ideal,119.06873063488862,2,0,F,2.7725887222397816,0.1002;0.1149;0.1296;0.1443;0.159;0.5412;0.5559;0.5706;0.5853;0.6
2.0,0.1,0.25,0.25,0.5,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,2,S1_ideal,118.92223565363214,2,0,F,nan,0.1149;0.1296;0.1443;0.159;0.1737;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,1.0,1.0,2.0,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,2,S1_ideal,118.87813463705297,2,0,F,nan,0.012;0.0267;0.0414;0.0561;0.0708;0.1884;0.2472;0.2619;0.3942;0.5412
2.0,2.0,1.0,1.0,2.0,140.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,2,S1_ideal,118.85602270661687,2,0,F,nan,0.0414;0.0561;0.0708;0.0855;0.1002;0.5118;0.5265;0.5412;0.5559;0.6
2.0,2.0,0.25,0.25,0.5,100.0,1.0,eig,1,0.0,2.772588722223759,NORMAL_LEARNING,10,1,0.0,3,S1_ideal,20.60930435987282,2,0,F,2.772588722223759,0.159;0.1737;0.1884;0.2031;0.2178;0.4383;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,120.0,1.0,eig,1,0.0,2.7725887222397305,NORMAL_LEARNING,10,2,0.0,3,S1_ideal,20.348423717371727,2,1,F,2.7725887222397305,0.1002;0.1149;0.1296;0.1443;0.2178;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,0.25,0.25,0.5,120.0,1.0,eig,1,0.0,2.772539144768898,NORMAL_LEARNING,10,3,0.0,3,S1_ideal,18.88513050820688,2,0,F,2.772539144768898,0.159;0.1737;0.1884;0.2031;0.2178;0.4383;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,140.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,3,S1_ideal,18.10560246724643,2,0,F,nan,0.0561;0.0708;0.0855;0.1149;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,0.25,0.25,0.5,140.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,3,S1_ideal,17.961565021357277,2,0,F,nan,0.1002;0.1149;0.1296;0.1443;0.2325;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,80.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,3,S1_ideal,16.99709536076969,2,0,F,nan,0.2472;0.2619;0.2766;0.2913;0.306;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,60.0,1.0,eig,1,0.0,2.1163859008535653,NORMAL_LEARNING,10,1,0.0,4,S1_ideal,5.30282978044341,2,1,F,2.1163859008535653,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
