basis,boot_ci_hi,boot_ci_lo,mean,median,metric,n_faulted_cumulative,n_in_summary,n_observed,n_total,q25,q75,round,scenario,strategy
locf,7.0,7.0,7.0,7.0,nmr_acquisitions,0,40,40,40,7.0,7.0,7,S1_ideal,A
observed,7.0,7.0,7.0,7.0,spatial_samples,0,40,40,40,7.0,7.0,7,S1_ideal,A
locf,7.0,7.0,7.0,7.0,spatial_samples,0,40,40,40,7.0,7.0,7,S1_ideal,A
observed,49.79742572216371,44.32543026165781,46.6078007080979,46.69582413643566,param_err_pct,0,40,40,40,41.702873809352965,53.28927034097797,8,S1_ideal,A
locf,50.06387131285894,44.32543026165781,46.6078007080979,46.69582413643566,param_err_pct,0,40,40,40,41.702873809352965,53.28927034097797,8,S1_ideal,A
observed,0.004804781550248273,0.003644716920369384,0.004643812314231171,0.003935760180806462,blind_rmse_M,0,40,40,40,0.0031624055768203338,0.0054947329204606075,8,S1_ideal,A
locf,0.004804781550248273,0.0036446407012313076,0.004643812314231171,0.003935760180806462,blind_rmse_M,0,40,40,40,0.0031624055768203338,0.0054947329204606075,8,S1_ideal,A
observed,10000.0,1553.6211615017992,6122.671179264666,10000.0,max_rel_ci_pct,0,40,40,40,649.4703896883173,10000.0,8,S1_ideal,A
locf,10000.0,1723.4708321193789,6122.671179264666,10000.0,max_rel_ci_pct,0,40,40,40,649.4703896883173,10000.0,8,S1_ideal,A
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,8,S1_ideal,A
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,8,S1_ideal,A
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,8,S1_ideal,A
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,8,S1_ideal,A
observed,14203.538881864792,14203.538881864792,14203.538881864792,14203.538881864792,time_s,0,40,40,40,14203.538881864792,14203.538881864792,8,S1_ideal,A
locf,14203.538881864792,14203.538881864792,14203.538881864792,14203.538881864792,time_s,0,40,40,40,14203.538881864792,14203.538881864792,8,S1_ideal,A
