x_m,tau_s,X_EGDA,Y_EGMA,Y_EG
3.39000000e-02,2.55599978e+01,9.42772568e-01,3.26261158e-01,6.16511410e-01
3.42000000e-02,2.57861925e+01,9.44151789e-01,3.23228156e-01,6.20923633e-01
3.45000000e-02,2.60123872e+01,9.45496446e-01,3.20207973e-01,6.25288473e-01
3.48000000e-02,2.62385818e+01,9.46807424e-01,3.17201273e-01,6.29606151e-01
3.51000000e-02,2.64647765e+01,9.48085581e-01,3.14208687e-01,6.33876894e-01
3.54000000e-02,2.66909712e+01,9.49331757e-01,3.11230816e-01,6.38100941e-01
3.57000000e-02,2.69171659e+01,9.50546767e-01,3.08268230e-01,6.42278537e-01
3.60000000e-02,2.71433605e+01,9.51731406e-01,3.05321469e-01,6.46409938e-01
3.63000000e-02,2.73695552e+01,9.52886451e-01,3.02391046e-01,6.50495405e-01
3.66000000e-02,2.75957499e+01,9.54012654e-01,2.99477447e-01,6.54535207e-01
3.69000000e-02,2.78219445e+01,9.55110753e-01,2.96581130e-01,6.58529623e-01
3.72000000e-02,2.80481392e+01,9.56181462e-01,2.93702529e-01,6.62478933e-01
3.75000000e-02,2.82743339e+01,9.57225480e-01,2.90842051e-01,6.66383429e-01
3.78000000e-02,2.85005286e+01,9.58243488e-01,2.88000083e-01,6.70243404e-01
3.81000000e-02,2.87267232e+01,9.59236146e-01,2.85176986e-01,6.74059160e-01
3.84000000e-02,2.89529179e+01,9.60204101e-01,2.82373100e-01,6.77831001e-01
3.87000000e-02,2.91791126e+01,9.61147981e-01,2.79588743e-01,6.81559238e-01
3.90000000e-02,2.94053072e+01,9.62068399e-01,2.76824213e-01,6.85244186e-01
3.93000000e-02,2.96315019e+01,9.62965951e-01,2.74079786e-01,6.88886164e-01
3.96000000e-02,2.98576966e+01,9.63841218e-01,2.71355723e-01,6.92485495e-01
3.99000000e-02,3.00838913e+01,9.64694767e-01,2.68652263e-01,6.96042504e-01
4.02000000e-02,3.03100859e+01,9.65527150e-01,2.65969627e-01,6.99557523e-01
4.05000000e-02,3.05362806e+01,9.66338905e-01,2.63308021e-01,7.03030883e-01
4.08000000e-02,3.07624753e+01,9.67130554e-01,2.60667633e-01,7.06462920e-01
4.11000000e-02,3.09886699e+01,9.67902608e-01,2.58048635e-01,7.09853973e-01
4.14000000e-02,3.12148646e+01,9.68655564e-01,2.55451183e-01,7.13204381e-01
4.17000000e-02,3.14410593e+01,9.69389906e-01,2.52875419e-01,7.16514487e-01
4.20000000e-02,3.16672539e+01,9.70106107e-01,2.50321471e-01,7.19784636e-01
4.23000000e-02,3.18934486e+01,9.70804626e-01,2.47789452e-01,7.23015174e-01
4.26000000e-02,3.21196433e+01,9.71485910e-01,2.45279463e-01,7.26206447e-01
4.29000000e-02,3.23458380e+01,9.72150396e-01,2.42791592e-01,7.29358805e-01
4.32000000e-02,3.25720326e+01,9.72798510e-01,2.40325913e-01,7.32472597e-01
