strategy,round,n_experiments,n_data,T_C,Q_total_mL_min,C_EGDA_M,C_cat_M,k1_ref,Ea1_kJ,k2_ref,Ea2_kJ,K1_ref,K2_ref,sigma_lnk1,sigma_Ea1_kJ,sigma_lnk2,sigma_Ea2_kJ,sigma_lnK1,sigma_lnK2,logdet_F,d_criterion,max_rel_ci_pct,mean_rel_err_pct
B,18,18,720,125.0,1.0,1.0,0.5,1.011406e-03,3.932434e+01,3.854912e-05,9.996822e+01,6.180117e-02,5.295381e-01,6.1455e-02,1.5369e+00,6.5294e+00,1.2415e+02,1.4753e+02,2.4142e+04,-inf,inf,inf,159.130
B,19,19,760,130.0,1.0,1.0,0.5,9.887228e-04,3.993785e+01,4.400524e-05,9.396840e+01,6.185201e-02,1.214784e+00,5.8063e-02,1.3319e+00,5.1995e+00,9.4040e+01,9.4925e+01,3.5730e+04,-inf,inf,inf,319.802
B,20,20,800,135.0,1.0,1.0,0.5,1.009952e-03,3.941186e+01,4.142971e-04,5.269401e+01,6.180116e-02,1.544441e+00,5.3723e-02,1.1521e+00,3.1757e+00,5.7709e+01,6.6291e+01,4.5752e+04,-inf,inf,inf,374.664
B,21,21,840,140.0,1.0,1.0,0.5,9.944465e-04,3.976811e+01,4.700489e-04,5.046186e+01,6.180116e-02,1.175077e+00,5.0449e-02,1.0094e+00,2.4490e+00,4.2077e+01,4.4546e+01,1.9593e+04,-inf,inf,inf,284.294
B,22,22,880,145.0,1.0,1.0,0.5,1.004247e-03,3.955566e+01,4.059374e-04,5.288951e+01,1.025994e-01,5.327869e-01,4.6827e-02,8.8316e-01,1.9607e+00,3.1686e+01,5.2147e+01,4.7367e+03,-inf,inf,inf,133.166
B,23,23,920,150.0,1.0,1.0,0.5,9.915941e-04,3.980998e+01,1.762803e-04,6.566293e+01,6.180722e-02,1.403451e+00,4.3905e-02,7.8175e-01,1.6588e+00,2.4871e+01,2.1742e+01,5.2530e+03,-inf,inf,inf,351.509
B,24,24,960,155.0,1.0,1.0,0.5,9.708026e-04,4.021260e+01,3.097344e-04,5.748214e+01,6.180900e-02,1.545029e+00,4.1273e-02,6.9614e-01,1.2136e+00,1.7594e+01,1.5059e+01,3.4975e+03,-inf,inf,inf,379.312
B,25,25,1000,160.0,1.0,1.0,0.5,9.774845e-04,4.008424e+01,5.094930e-04,5.045137e+01,1.534172e+00,4.939752e-01,3.8411e-02,6.1850e-01,9.1914e-01,1.2919e+01,2.7063e+02,7.3564e+02,-inf,inf,inf,117.555
C,1,1,4,40.0,1.0,1.0,0.5,2.669825e-03,5.620393e+01,3.854921e-05,1.199714e+02,4.358804e-01,1.545029e-01,6.0624e-01,1.3944e-02,3.6102e+04,8.3240e+02,1.2327e-02,5.4603e-05,-inf,inf,inf,103.965
C,2,2,8,145.0,0.8,1.0,0.5,1.582068e-03,3.350918e+01,3.854931e-05,8.839213e+01,1.240464e+00,1.140728e-01,4.6143e-01,6.3133e+00,1.3271e+04,1.8080e+05,1.0507e+02,2.6177e+03,-inf,inf,inf,58.907
C,3,3,12,160.0,0.2,1.0,1.0,1.182119e-03,3.761100e+01,5.821746e-05,8.276226e+01,6.180101e+00,5.073720e-02,6.7703e-01,9.2402e+00,1.1342e+04,1.5457e+05,3.8630e+02,4.8842e+02,-inf,inf,inf,133.641
C,4,4,16,112.70097184684701,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.173636e-03,3.770183e+01,4.188450e-04,5.586999e+01,6.180116e+00,5.768746e-02,9.5931e-02,1.6844e+00,4.3970e-01,8.4822e+00,3.5837e+01,2.2157e-01,5.9949,6.0679e-01,319886138187033282532175717072896.000,113.223
C,5,5,20,160.0,0.4,1.0,0.75,1.074752e-03,3.944684e+01,6.060314e-04,4.837000e+01,4.303814e-01,7.410242e-02,7.3121e-02,1.0769e+00,1.7651e-01,2.4525e+00,1.8517e+00,1.7094e-01,15.7097,2.7005e-01,3668.493,12.406
C,6,6,24,103.18911050846403,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.057612e-03,3.965578e+01,6.111217e-04,4.826399e+01,4.202243e-01,7.408666e-02,5.0565e-02,8.3127e-01,1.3420e-01,1.9851e+00,1.8046e+00,1.7064e-01,17.2258,2.3800e-01,3336.366,12.050
C,7,7,28,160.0,0.2,1.0,1.0,1.057797e-03,3.966531e+01,6.115183e-04,4.823758e+01,3.433189e-01,7.559782e-02,5.0644e-02,8.3099e-01,1.3411e-01,1.9817e+00,1.1403e+00,1.3887e-01,18.9180,2.0670e-01,834.628,13.814
C,8,8,32,159.99996421830608,0.44434521125115356,0.9999417391343524,0.7468453364395369,1.095555e-03,3.886529e+01,5.812946e-04,4.936582e+01,1.250417e+00,7.255799e-02,4.6362e-02,6.9691e-01,1.2700e-01,1.7407e+00,4.0617e+00,1.1577e-01,17.6493,2.2975e-01,286570.172,11.400
