scenario,strategy,seed,acquisition_index,reacquisition,z_m,z_over_L,T_C,Q_total_mL_min,C_EGDA_M,C_cat_M,T_line_C,transfer_enabled,mean_tau_line_s,species,c_reactor_true_M,c_cell_true_M,c_measured_M,sigma_M,transport_delta_M,quantification_delta_M,total_delta_M,transport_delta_sigma,quantification_delta_sigma,qc_flags
S3_transport,B,7,7,0,0.14,0.7000000000000001,40.0,1.0,1.0,0.5,25.0,1,18.0,EG,2.5073196547846844e-05,2.7685783820087588e-05,8.063247169990805e-05,0.0020815779344876616,2.6125872722407435e-06,5.2946687879820465e-05,5.555927515206121e-05,0.00125509942671629,0.025435842205375907,WARN nonnegativity active: EGMA
S3_transport,B,7,7,0,0.14,0.7000000000000001,40.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.006813380007531033,0.007216802847668018,0.0001700897057084344,0.006112614596653245,0.0004034228401369848,-0.007046713141959583,-0.006643290301822599,0.06599840931536323,-1.1528148929621331,WARN nonnegativity active: EGMA
S3_transport,B,7,8,0,0.16,0.7999999999999999,40.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.49224956287587385,0.49184954241619255,0.4798134443663225,0.010284735863313327,-0.00040002045968129396,-0.012036098049870048,-0.012436118509551342,-0.038894577847954914,-1.1702875221914064,
S3_transport,B,7,8,0,0.16,0.7999999999999999,40.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.007717721905521201,0.008114777937190957,0.012252268275875545,0.011642516488391062,0.000397056031669756,0.004137490338684588,0.004534546370354344,0.03410396988191229,0.3553776662296459,
S3_transport,B,7,8,0,0.16,0.7999999999999999,40.0,1.0,1.0,0.5,25.0,1,18.0,EG,3.271521860494423e-05,3.567964661648073e-05,0.0005094949188591039,0.002498294395407897,2.964428011536499e-06,0.0004738152722426232,0.00047677970025415965,0.0011865807396379707,0.18965549981360916,
S3_transport,B,7,8,0,0.16,0.7999999999999999,40.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.007783152342731019,0.008186137230423848,-0.00013269782982957797,0.006387623106131599,0.0004029848876928293,-0.008318835060253426,-0.007915850172560596,0.06308839469661204,-1.3023365533680313,
S3_transport,B,7,9,0,0.18,0.8999999999999999,40.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.4912893283615274,0.49089009615793167,0.4941429466453502,0.010546965417957587,-0.000399232203595723,0.003252850487418524,0.002853618283822801,-0.03785280294140132,0.30841577254819863,WARN nonnegativity active: EGMA
S3_transport,B,7,9,0,0.18,0.8999999999999999,40.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.008669308727063474,0.00906522574832097,0.001564193528995341,0.011565570771353912,0.0003959170212574966,-0.00750103221932563,-0.0071051151980681335,0.034232380665390104,-0.6485656754532599,WARN nonnegativity active: EGMA
S3_transport,B,7,9,0,0.18,0.8999999999999999,40.0,1.0,1.0,0.5,25.0,1,18.0,EG,4.136291140918008e-05,4.46780937474973e-05,-0.0003429697396524767,0.0026513154668540073,3.31518233831722e-06,-0.000387647833399974,-0.00038433265106165677,0.001250391505561178,-0.14620962244826657,WARN nonnegativity active: EGMA
S3_transport,B,7,9,0,0.18,0.8999999999999999,40.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.008752034549881767,0.009154581935815899,3.590741354008386e-05,0.006495899321567664,0.0004025473859341315,-0.009118674522275815,-0.008716127136341683,0.06196946196465745,-1.4037585976740774,WARN nonnegativity active: EGMA
S3_transport,B,7,10,0,0.2,1.0,40.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.490330985946404,0.4899325404646906,0.48212832150294616,0.010295139200123956,-0.00039844548171341643,-0.007804218961744436,-0.008202664443457852,-0.03870229182609003,-0.7580489015292257,WARN nonnegativity active: EGMA
S3_transport,B,7,10,0,0.2,1.0,40.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.009618000883521372,0.010012781512766846,0.001564193528995341,0.01133349243674632,0.00039478062924547426,-0.008448587983771506,-0.008053807354526031,0.0348330959277377,-0.745453180555258,WARN nonnegativity active: EGMA
S3_transport,B,7,10,0,0.2,1.0,40.0,1.0,1.0,0.5,25.0,1,18.0,EG,5.1013170074633604e-05,5.4678022542642544e-05,-0.0002145380429299672,0.002150566506205005,3.6648524680089406e-06,-0.0002692160654726098,-0.0002655512130046008,0.001704133518975016,-0.12518378980414868,WARN nonnegativity active: EGMA
S3_transport,B,7,10,0,0.2,1.0,40.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.00972002722367057,0.010122137557852063,0.0010201481219515032,0.006156763472776241,0.00040211033418149217,-0.00910198943590056,-0.008699879101719068,0.06531196723075841,-1.4783724396994322,WARN nonnegativity active: EGMA
S3_transport,B,7,11,0,0.02,0.09999999999999999,60.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.49766427441832223,0.49721142004369073,0.49152524006558956,0.010499666423532998,-0.000452854374631495,-0.005686179978101169,-0.006139034352732664,-0.043130358276574236,-0.5415581551578327,"WARN nonnegativity active: EG,AcOH"
S3_transport,B,7,11,0,0.02,0.09999999999999999,60.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.0023321719635273686,0.002783929899377205,0.008015548199310538,0.011617623698774166,0.00045175793584983654,0.005231618299933332,0.005683376235783169,0.03888557140110364,0.45031741736353076,"WARN nonnegativity active: EG,AcOH"
S3_transport,B,7,11,0,0.02,0.09999999999999999,60.0,1.0,1.0,0.5,25.0,1,18.0,EG,3.5536181505389566e-06,4.650056932204131e-06,-0.001013171489174127,0.002631208597389483,1.0964387816651747e-06,-0.001017821546106331,-0.0010167251073246659,0.00041670538122784765,-0.3868266267889777,"WARN nonnegativity active: EG,AcOH"
S3_transport,B,7,11,0,0.02,0.09999999999999999,60.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.002339279199828447,0.0027932300132416134,-0.00022445737519570042,0.006482053681582931,0.0004539508134131665,-0.003017687388437314,-0.0025637365750241473,0.07003194291694152,-0.4655449548360402,"WARN nonnegativity active: EG,AcOH"
S3_transport,B,7,12,0,0.04,0.19999999999999998,60.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.4953395673413994,0.49500448336737457,0.48723289716035645,0.010433620534275182,-0.00033508397402481904,-0.007771586207018122,-0.008106670181042941,-0.03211579076736062,-0.7448599631822828,"WARN nonnegativity active: EGMA,AcOH"
S3_transport,B,7,12,0,0.04,0.19999999999999998,60.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.00464625538190015,0.004979845574936391,0.001564193528995341,0.011591778462134914,0.00033359019303624143,-0.0034156520459410504,-0.003082061852904809,0.028778171885007066,-0.29466160495548094,"WARN nonnegativity active: EGMA,AcOH"
S3_transport,B,7,12,0,0.04,0.19999999999999998,60.0,1.0,1.0,0.5,25.0,1,18.0,EG,1.4177276700601572e-05,1.5671057689266636e-05,-0.0005605452315495769,0.0027413212096481063,1.4937809886650632e-06,-0.0005762162892388435,-0.0005747225082501784,0.0005449127900107754,-0.2101965604070201,"WARN nonnegativity active: EGMA,AcOH"
S3_transport,B,7,12,0,0.04,0.19999999999999998,60.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.004674609935301365,0.005011187690314936,-0.00022445737519570042,0.006562487285520539,0.000336577755013571,-0.005235645065510636,-0.0048990673104970656,0.05128813822713159,-0.7978141271317286,"WARN nonnegativity active: EGMA,AcOH"
S3_transport,B,7,13,0,0.06000000000000001,0.30000000000000004,60.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.4930258272129207,0.4926923241919138,0.4980724329719143,0.010590655248652926,-0.0003335030210069312,0.005380108780000503,0.005046605758993572,-0.031490310389373784,0.5080052795302561,
S3_transport,B,7,13,0,0.06000000000000001,0.30000000000000004,60.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.00694235741052655,0.007273748381727651,0.0024509770931112223,0.011429394737915152,0.0003313909712011013,-0.004822771288616429,-0.004491380317415328,0.02899462122012164,-0.4219620897874559,
S3_transport,B,7,13,0,0.06000000000000001,0.30000000000000004,60.0,1.0,1.0,0.5,25.0,1,18.0,EG,3.181537655286901e-05,3.3927426358664054e-05,-0.0007048931655963685,0.0024128294258296125,2.1120498057950433e-06,-0.0007388205919550326,-0.0007367085421492375,0.0008753415318900336,-0.306205065325329,
S3_transport,B,7,13,0,0.06000000000000001,0.30000000000000004,60.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.007005988163632313,0.007341603234445004,0.0014309631135887787,0.006324865682034842,0.0003356150708126908,-0.005910640120856225,-0.005575025050043534,0.05306279811853908,-0.9345084019167105,
S3_transport,B,7,14,0,0.08,0.39999999999999997,60.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.4907230027154778,0.49039107329868514,0.48214946650319196,0.010336227185467995,-0.0003319294167926645,-0.008241606795493184,-0.008573536212285848,-0.032113208314474145,-0.7973515527097064,
S3_transport,B,7,14,0,0.08,0.39999999999999997,60.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.009220584668334898,0.009549788656316836,0.012554946361174473,0.011703241230354365,0.0003292039879819377,0.003005157704857637,0.003334361692839575,0.0281293003794616,0.2567799505886664,
S3_transport,B,7,14,0,0.08,0.39999999999999997,60.0,1.0,1.0,0.5,25.0,1,18.0,EG,5.641261618743352e-05,5.913804499820816e-05,-0.0008249593268680102,0.0026308971944378275,2.7254288107746407e-06,-0.0008840973718662184,-0.0008813719430554437,0.0010359313227961432,-0.3360440589375189,
S3_transport,B,7,14,0,0.08,0.39999999999999997,60.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.009333409900709796,0.009668064746313284,0.002574338576441303,0.006481852348509509,0.0003346548456034885,-0.007093726169871981,-0.0067590713242684924,0.051629507679304326,-1.0943979881774337,
S3_transport,B,7,15,0,0.1,0.5,60.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.48843104276549987,0.4881006796371172,0.48715569919191487,0.010374119939270666,-0.00033036312838269355,-0.0009449804452023036,-0.0012753435735849972,-0.031844930492091375,-0.09109017928596831,WARN nonnegativity active: EGMA
S3_transport,B,7,15,0,0.1,0.5,60.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.011481043248320678,0.0118080724341981,0.001564193528995341,0.01128735850064595,0.00032702918587742234,-0.01024387890520276,-0.009916849719325337,0.02897304855327375,-0.9075532512426645,WARN nonnegativity active: EGMA
S3_transport,B,7,15,0,0.1,0.5,60.0,1.0,1.0,0.5,25.0,1,18.0,EG,8.791398617956239e-05,9.124792868485488e-05,0.0005115623275132731,0.002054023133268433,3.3339425052924837e-06,0.0004203143988284183,0.00042364834133371075,0.0016231280219261204,0.20462982720141004,WARN nonnegativity active: EGMA
S3_transport,B,7,15,0,0.1,0.5,60.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.011656871220679835,0.01199056829156784,0.0036806821210260744,0.006096865059553318,0.00033369707088800465,-0.008309886170541765,-0.00797618909965376,0.054732566266187416,-1.3629768888390952,WARN nonnegativity active: EGMA
S3_transport,B,7,16,0,0.12000000000000002,0.6000000000000001,60.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.4861498965118182,0.48582109238895615,0.4765730843690266,0.01021363030529917,-0.0003288041228620697,-0.009248008019929532,-0.009576812142791602,-0.032192679099759,-0.9054574860744039,
S3_transport,B,7,16,0,0.12000000000000002,0.6000000000000001,60.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.013723838720544324,0.014048705228048337,0.008274263415124154,0.01147376333453236,0.0003248665075040128,-0.005774441812924183,-0.00544957530542017,0.028313858150295683,-0.5032735681016671,
S3_transport,B,7,16,0,0.12000000000000002,0.6000000000000001,60.0,1.0,1.0,0.5,25.0,1,18.0,EG,0.00012626476763749202,0.00013020238299555015,-0.00034132104554192647,0.002351694505115169,3.937615358058129e-06,-0.0004715234285374766,-0.0004675858131794185,0.001674373669493816,-0.2005036910669589,
S3_transport,B,7,16,0,0.12000000000000002,0.6000000000000001,60.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.013976368255819337,0.014309109994039466,0.007935034796559185,0.006289477877218333,0.00033274173822012837,-0.00637407519748028,-0.006041333459260152,0.052904508882268476,-1.0134506109908383,
S3_transport,B,7,17,0,0.14,0.7000000000000001,60.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.4838795133348803,0.48355226096727805,0.48033008387569726,0.010266187125331462,-0.00032725236760222653,-0.0032221770915807912,-0.0035494294591830178,-0.03187671952664321,-0.3138630781071758,WARN nonnegativity active: EGMA
S3_transport,B,7,17,0,0.14,0.7000000000000001,60.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.015949076133777034,0.016271792029725615,0.001564193528995341,0.011342410590795554,0.0003227158959485804,-0.014707598500730274,-0.014384882604781693,0.02845214369249396,-1.2966907151699827,WARN nonnegativity active: EGMA
S3_transport,B,7,17,0,0.14,0.7000000000000001,60.0,1.0,1.0,0.5,25.0,1,18.0,EG,0.00017141053134278662,0.00017594700299642413,-0.00022179597825341642,0.002192316893733418,4.536471653637504e-06,-0.0003977429812498406,-0.000393206509596203,0.002069259086861341,-0.18142586155621962,WARN nonnegativity active: EGMA
S3_transport,B,7,17,0,0.14,0.7000000000000001,60.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.01629189719646264,0.016623686035718493,0.006519930934251229,0.00618387803734907,0.00033178883925585184,-0.010103755101467264,-0.009771966262211412,0.053653845896042995,-1.6338865418177915,WARN nonnegativity active: EGMA
S3_transport,B,7,18,0,0.16,0.7999999999999999,60.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.4816198428458661,0.48129413501580093,0.48338746358697765,0.010325066776968672,-0.00032570783006519166,0.0020933285711767224,0.0017676207411115308,-0.03154534852904999,0.20274237604410933,
S3_transport,B,7,18,0,0.16,0.7999999999999999,60.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.018156860017347884,0.01847743731178508,0.016588077171013557,0.011660718668527921,0.0003205772944371958,-0.0018893601407715226,-0.0015687828463343267,0.027492070047314358,-0.16202776127948898,
S3_transport,B,7,18,0,0.16,0.7999999999999999,60.0,1.0,1.0,0.5,25.0,1,18.0,EG,0.00022329713678600848,0.00022842767241403435,0.000606338649051498,0.0022298508088859693,5.130535628025874e-06,0.00037791097663746363,0.0003830415122654895,0.002300842553044651,0.16947814406752507,
S3_transport,B,7,18,0,0.16,0.7999999999999999,60.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.01860345429091993,0.01893429265661318,0.008792971031740688,0.006209246207400539,0.00033083836569324995,-0.01014132162487249,-0.00981048325917924,0.0532815666576303,-1.633261314841321,
S3_transport,B,7,19,0,0.18,0.8999999999999999,60.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.4793708348854495,0.47904666440763044,0.4815208837929881,0.010273465288976137,-0.0003241704778190746,0.0024742193853576344,0.00215004890753856,-0.03155415127229984,0.24083591230045587,WARN nonnegativity active: EGMA
S3_transport,B,7,19,0,0.18,0.8999999999999999,60.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.020347294383741117,0.020665745030094943,0.001564193528995341,0.0112715284042857,0.000318450646353826,-0.0191015515010996,-0.018783100854745775,0.028252658817125777,-1.6946727024026966,WARN nonnegativity active: EGMA
S3_transport,B,7,19,0,0.18,0.8999999999999999,60.0,1.0,1.0,0.5,25.0,1,18.0,EG,0.0002818707308094222,0.0002875905622746756,0.0001180801429876996,0.0020224829946981914,5.719831465253423e-06,-0.000169510419286976,-0.0001637905878217226,0.002828123391023604,-0.08381302573684754,WARN nonnegativity active: EGMA
