scenario,strategy,seed,event_index,event_kind,d_time_s,d_egda_mol,d_acid_mol,d_liquid_mL,d_waste_mL,d_sample_mL,d_nmr_acquisitions,d_nmr_reacquisitions,d_qc_rejected,d_capillary_travel_m,d_condition_changes,d_temperature_changes,d_energy_kJ,d_reactor_conditions,d_spatial_samples,cum_time_s,cum_egda_mol,cum_acid_mol,cum_liquid_mL,cum_waste_mL,cum_sample_mL,cum_nmr_acquisitions,cum_nmr_reacquisitions,cum_qc_rejected,cum_capillary_travel_m,cum_condition_changes,cum_temperature_changes,cum_energy_kJ,cum_reactor_conditions,cum_spatial_samples
S3_transport,E,7,13,acquisition,162.51556597811265,0.0006771481915754694,6.771481915754694e-05,1.3542963831509387,2.1042963831509387,0.75,1.0,0.0,0.0,0.14504,0.0,0.0,0.594400682564947,0.0,1.0,4571.4540580389585,0.025300161091305513,0.007531964788711771,50.60032218261102,58.85032218261102,8.25,11.0,0.0,0.0,0.23794400000000002,1.0,1.0,57.7998159396557,2.0,11.0
S3_transport,E,7,14,acquisition,92.54356597811264,0.0003855981915754693,3.855981915754694e-05,0.7711963831509386,1.5211963831509385,0.75,1.0,0.0,0.0,0.005095999999999996,0.0,0.0,0.33847809256494693,0.0,1.0,4663.997624017071,0.02568575928288098,0.007570524607869318,51.37151856576196,60.37151856576196,9.0,12.0,0.0,0.0,0.24304,1.0,1.0,58.13829403222065,2.0,12.0
S3_transport,E,7,15,acquisition,92.15156597811263,0.00038396485824213593,3.839648582421359e-05,0.7679297164842719,1.5179297164842718,0.75,1.0,0.0,0.0,0.0043119999999999895,0.0,0.0,0.3370443525649469,0.0,1.0,4756.149189995183,0.02606972414112312,0.0076089210936935315,52.139448282246235,61.889448282246235,9.75,13.0,0.0,0.0,0.247352,1.0,1.0,58.475338384785594,2.0,13.0
S3_transport,E,7,16,acquisition,92.15156597811264,0.000383964858242136,3.83964858242136e-05,0.767929716484272,1.517929716484272,0.75,1.0,0.0,0.0,0.00431200000000001,0.0,0.0,0.33704435256494697,0.0,1.0,4848.300755973296,0.026453688999365257,0.007647317579517745,52.90737799873051,63.40737799873051,10.5,14.0,0.0,0.0,0.251664,1.0,1.0,58.81238273735054,2.0,14.0
S3_transport,E,7,17,acquisition,92.15156597811263,0.00038396485824213593,3.839648582421359e-05,0.7679297164842719,1.5179297164842718,0.75,1.0,0.0,0.0,0.004311999999999996,0.0,0.0,0.3370443525649469,0.0,1.0,4940.4523219514085,0.026837653857607394,0.007685714065341959,53.675307715214785,64.92530771521479,11.25,15.0,0.0,0.0,0.255976,1.0,1.0,59.149427089915484,2.0,15.0
S3_transport,E,7,18,acquisition,143.69956597811262,0.0005987481915754692,5.9874819157546925e-05,1.1974963831509384,1.9474963831509384,0.75,1.0,0.0,0.0,0.10740799999999998,0.0,0.0,0.5255811625649468,0.0,1.0,5084.151887929521,0.027436402049182865,0.007745588884499506,54.87280409836573,66.87280409836572,12.0,16.0,0.0,0.0,0.36338399999999993,1.0,1.0,59.67500825248043,2.0,16.0
S3_transport,E,7,19,acquisition,92.93556597811263,0.00038723152490880266,3.872315249088026e-05,0.7744630498176053,1.5244630498176053,0.75,1.0,0.0,0.0,0.005879999999999996,0.0,0.0,0.3399118325649469,0.0,1.0,5177.087453907633,0.027823633574091667,0.007784312036990386,55.64726714818333,68.39726714818333,12.75,17.0,0.0,0.0,0.3692639999999999,1.0,1.0,60.014920085045375,2.0,17.0
S3_transport,E,7,20,acquisition,92.54356597811264,0.0003855981915754693,3.855981915754694e-05,0.7711963831509386,1.5211963831509385,0.75,1.0,0.0,0.0,0.005096000000000017,0.0,0.0,0.33847809256494693,0.0,1.0,5269.631019885745,0.028209231765667135,0.007822871856147932,56.41846353133427,69.91846353133427,13.5,18.0,0.0,0.0,0.3743599999999999,1.0,1.0,60.35339817761032,2.0,18.0
S3_transport,E,7,21,acquisition,92.15156597811263,0.00038396485824213593,3.839648582421359e-05,0.7679297164842719,1.5179297164842718,0.75,1.0,0.0,0.0,0.0043119999999999825,0.0,0.0,0.3370443525649469,0.0,1.0,5361.782585863858,0.028593196623909273,0.007861268341972146,57.18639324781854,71.43639324781854,14.25,19.0,0.0,0.0,0.3786719999999999,1.0,1.0,60.69044253017527,2.0,19.0
S3_transport,E,7,22,acquisition,92.15156597811266,0.00038396485824213604,3.8396485824213605e-05,0.7679297164842721,1.517929716484272,0.75,1.0,0.0,0.0,0.004312000000000038,0.0,0.0,0.33704435256494697,0.0,1.0,5453.934151841971,0.02897716148215141,0.00789966482779636,57.95432296430282,72.95432296430282,15.0,20.0,0.0,0.0,0.38298399999999994,1.0,1.0,61.02748688274021,2.0,20.0
S3_transport,E,7,23,condition_change,1708.3538881864793,0.007118141200776996,0.007118141200776996,14.236282401553993,14.236282401553993,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.03353415919692,1.0,0.0,7162.28804002845,0.036095302682928404,0.015017806028573357,72.19060536585681,87.19060536585681,15.0,20.0,0.0,0.0,0.38298399999999994,2.0,2.0,84.06102104193712,3.0,20.0
S3_transport,E,7,24,acquisition,171.72756597811264,0.0007155315249088027,0.0007155315249088027,1.4310630498176053,2.1810630498176056,0.75,1.0,0.0,0.0,0.163464,0.0,0.0,0.8075488790120746,0.0,1.0,7334.015606006563,0.036810834207837206,0.01573333755348216,73.62166841567442,89.37166841567442,15.75,21.0,0.0,0.0,0.5464479999999999,2.0,2.0,84.8685699209492,3.0,21.0
S3_transport,E,7,25,acquisition,92.15156597811263,0.00038396485824213593,0.00038396485824213593,0.7679297164842719,1.5179297164842718,0.75,1.0,0.0,0.0,0.0043119999999999895,0.0,0.0,0.43334273901207454,0.0,1.0,7426.167171984675,0.037194799066079344,0.016117302411724297,74.3895981321587,90.8895981321587,16.5,22.0,0.0,0.0,0.5507599999999999,2.0,2.0,85.30191265996127,3.0,22.0
S3_transport,E,7,26,acquisition,92.15156597811264,0.000383964858242136,0.000383964858242136,0.767929716484272,1.517929716484272,0.75,1.0,0.0,0.0,0.00431200000000001,0.0,0.0,0.4333427390120746,0.0,1.0,7518.318737962788,0.03757876392432148,0.016501267269966435,75.15752784864297,92.40752784864297,17.25,23.0,0.0,0.0,0.5550719999999999,2.0,2.0,85.73525539897335,3.0,23.0
S3_transport,E,7,27,acquisition,92.15156597811263,0.00038396485824213593,0.00038396485824213593,0.7679297164842719,1.5179297164842718,0.75,1.0,0.0,0.0,0.004311999999999996,0.0,0.0,0.43334273901207454,0.0,1.0,7610.4703039409005,0.03796272878256362,0.016885232128208572,75.92545756512725,93.92545756512725,18.0,24.0,0.0,0.0,0.5593839999999999,2.0,2.0,86.16859813798543,3.0,24.0
S3_transport,E,7,28,acquisition,92.15156597811263,0.00038396485824213593,0.00038396485824213593,0.7679297164842719,1.5179297164842718,0.75,1.0,0.0,0.0,0.004311999999999996,0.0,0.0,0.43334273901207454,0.0,1.0,7702.621869919013,0.03834669364080576,0.01726919698645071,76.69338728161152,95.44338728161152,18.75,25.0,0.0,0.0,0.5636959999999999,2.0,2.0,86.6019408769975,3.0,25.0
