scenario,strategy,seed,round,candidate_rank,candidate_selected,governor_state,design_mode,spatial_mode,T_C,Q_total_mL_min,C_EGDA_M,C_cat_M,n_positions_selected,row_kind,z_m,z_over_L,marginal_gain_nats,is_selected_position,selection_order,realized_gain_nats
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.004,0.02,48.12425221183693,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.00596,0.0298,50.158714155478776,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.00792,0.039599999999999996,51.533072896813124,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.00988,0.0494,52.551894562427094,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.01184,0.059199999999999996,53.34955813342184,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.0138,0.06899999999999999,53.996952125591946,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.01576,0.0788,54.53588472298703,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.01772,0.0886,54.99299620968986,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.01968,0.09839999999999999,55.38626150553422,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.02164,0.10819999999999999,55.728357334126905,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.0236,0.118,56.02854442849673,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.02556,0.1278,56.29378587657462,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.02752,0.1376,56.52944377834013,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.02948,0.14739999999999998,56.739731493235496,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.031439999999999996,0.15719999999999998,56.92801724952531,0,-1,nan
