scenario,strategy,seed,round,acquisition_order,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,z_m,z_over_L,species,c_measured_M,sigma_M,sigma_source,ci95_lo_M,ci95_hi_M,censored,qc_flags,observation_mode,best_model,c_model_observed_M,c_model_reactor_M,residual_M,standardized_residual,c_true_reactor_M,error_vs_true_M,cov_M2_with_EGDA,cov_M2_with_EGMA,cov_M2_with_EG,cov_M2_with_AcOH
S3_transport,A,7,8,8,160.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,AcOH,0.5355736988337292,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.5402274478506467,0.5402274478506467,-0.004653749016917508,nan,0.5429830679719061,-0.007409369138176913,,,,
S3_transport,B,7,1,1,40.0,0.5,0.5,1.0,1.0,0.5,0.02,0.09999999999999999,EGDA,0.49547810636093464,nan,assumed_noise_model,nan,nan,0,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,0.4995941714108671,0.4995941714108671,-0.004116065049932449,nan,0.4990244949088843,-0.0035463885479496415,,,,
S3_transport,B,7,1,1,40.0,0.5,0.5,1.0,1.0,0.5,0.02,0.09999999999999999,EGMA,0.001564193528995341,nan,assumed_noise_model,nan,nan,1,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,0.00040582616380672846,0.00040582616380672846,0.0011583673651886124,nan,0.0009749902501713006,0.0005892032788240404,,,,
S3_transport,B,7,1,1,40.0,0.5,0.5,1.0,1.0,0.5,0.02,0.09999999999999999,EG,0.0004212463159934542,nan,assumed_noise_model,nan,nan,0,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,2.4253262715317665e-09,2.4253262715317665e-09,0.00042124389066718266,nan,5.148409444193862e-07,0.0004207314750490348,,,,
S3_transport,B,7,1,1,40.0,0.5,0.5,1.0,1.0,0.5,0.02,0.09999999999999999,AcOH,-0.00022445737519570042,nan,assumed_noise_model,nan,nan,1,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,0.00040583101445927156,0.00040583101445927156,-0.000630288389654972,nan,0.0009760199320601394,-0.0012004773072558398,,,,
S3_transport,B,7,1,2,40.0,0.5,0.5,1.0,1.0,0.5,0.04,0.19999999999999998,EGDA,0.48797045879973083,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: AcOH,nmr,wls,0.4991886754411391,0.4991886754411391,-0.011218216641408263,nan,0.4980509117163542,-0.01008045291662335,,,,
S3_transport,B,7,1,2,40.0,0.5,0.5,1.0,1.0,0.5,0.04,0.19999999999999998,EGMA,0.005211922840010468,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: AcOH,nmr,wls,0.0008113148600221052,0.0008113148600221052,0.004400607979988363,nan,0.0019470310109876467,0.0032648918290228215,,,,
S3_transport,B,7,1,2,40.0,0.5,0.5,1.0,1.0,0.5,0.04,0.19999999999999998,EG,-0.0003708350553392625,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: AcOH,nmr,wls,9.698838852306511e-09,9.698838852306511e-09,-0.0003708447541781148,nan,2.0572726581789974e-06,-0.0003728923279974415,,,,
S3_transport,B,7,1,2,40.0,0.5,0.5,1.0,1.0,0.5,0.04,0.19999999999999998,AcOH,-0.00022445737519570042,nan,assumed_noise_model,nan,nan,1,WARN nonnegativity active: AcOH,nmr,wls,0.0008113342576998101,0.0008113342576998101,-0.0010357916328955106,nan,0.001951145556304005,-0.0021756029314997055,,,,
S3_transport,B,7,1,3,40.0,0.5,0.5,1.0,1.0,0.5,0.06000000000000001,0.30000000000000004,EGDA,0.49856720347651723,nan,assumed_noise_model,nan,nan,0,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,0.49878351181197117,0.49878351181197117,-0.0002163083354539408,nan,0.4970792466684102,0.0014879568081070382,,,,
