scenario,strategy,seed,round,param_i,param_j,is_diagonal,cov_scaled,corr,estimate_i_natural,sigma_i_scaled,bound_active_i
S3_transport,A,7,5,k1_ref,K2_ref,0,4.391491720175896,0.03638528005906906,0.0007829099042642393,0.10074164653140656,0
S3_transport,A,7,5,Ea1_J,Ea1_J,1,26.24428788787977,0.9999999999999999,44832.735850895595,5.122917907587411,0
S3_transport,A,7,5,Ea1_J,k2_ref,0,-1.7790173858238232,-0.02422882094257041,44832.735850895595,5.122917907587411,0
S3_transport,A,7,5,Ea1_J,Ea2_J,0,71.90210758466556,0.026206546913147985,44832.735850895595,5.122917907587411,0
S3_transport,A,7,5,Ea1_J,K1_ref,0,-240.05394534557723,-0.9140499506222076,44832.735850895595,5.122917907587411,0
S3_transport,A,7,5,Ea1_J,K2_ref,0,-217.95801776358712,-0.03551224690118167,44832.735850895595,5.122917907587411,0
S3_transport,A,7,5,k2_ref,k2_ref,1,205.4286588105431,1.0,0.00017842285663358104,14.332782661107476,0
S3_transport,A,7,5,k2_ref,Ea2_J,0,-7637.030356056699,-0.9949003363903239,0.00017842285663358104,14.332782661107476,0
S3_transport,A,7,5,k2_ref,K1_ref,0,9.022892717367272,0.012279869633002026,0.00017842285663358104,14.332782661107476,0
S3_transport,A,7,5,k2_ref,K2_ref,0,16704.112306239687,0.9727821307558523,0.00017842285663358104,14.332782661107476,0
S3_transport,A,7,5,Ea2_J,Ea2_J,1,286832.8231958758,0.9999999999999998,72737.63545287015,535.5677578008929,0
S3_transport,A,7,5,Ea2_J,K1_ref,0,-416.9877203076587,-0.015187535987653723,72737.63545287015,535.5677578008929,0
S3_transport,A,7,5,Ea2_J,K2_ref,0,-635918.6101737004,-0.9910825043233471,72737.63545287015,535.5677578008929,0
S3_transport,A,7,5,K1_ref,K1_ref,1,2628.107006253887,1.0,0.06180116726167395,51.265066139174024,1
S3_transport,A,7,5,K1_ref,K2_ref,0,1622.7230876400183,0.02642077738001672,0.06180116726167395,51.265066139174024,1
S3_transport,A,7,5,K2_ref,K2_ref,1,1435339.3886626086,1.0,0.015450290723067892,1198.0565047870691,1
S3_transport,A,7,6,k1_ref,k1_ref,1,0.007504901650768462,0.9999999999999999,0.0008147096644592248,0.08663083545002012,0
S3_transport,A,7,6,k1_ref,Ea1_J,0,-0.21069883357733177,-0.9082333822926429,0.0008147096644592248,0.08663083545002012,0
S3_transport,A,7,6,k1_ref,k2_ref,0,0.005811357790348381,0.022337297970806736,0.0008147096644592248,0.08663083545002012,0
S3_transport,A,7,6,k1_ref,Ea2_J,0,-0.12415651113568915,-0.020253064057845317,0.0008147096644592248,0.08663083545002012,0
S3_transport,A,7,6,k1_ref,K1_ref,0,0.5111616923635489,0.6353076927857502,0.0008147096644592248,0.08663083545002012,0
S3_transport,A,7,6,k1_ref,K2_ref,0,0.106799701810863,0.037763216537658705,0.0008147096644592248,0.08663083545002012,0
S3_transport,A,7,6,Ea1_J,Ea1_J,1,7.17107618670027,1.0000000000000002,43490.937270857554,2.6778865149031743,0
S3_transport,A,7,6,Ea1_J,k2_ref,0,-0.08654453526952825,-0.010761504892847794,43490.937270857554,2.6778865149031743,0
S3_transport,A,7,6,Ea1_J,Ea2_J,0,1.4686171750151804,0.007750151164566734,43490.937270857554,2.6778865149031743,0
S3_transport,A,7,6,Ea1_J,K1_ref,0,-21.889322226103474,-0.8801130560963466,43490.937270857554,2.6778865149031743,0
S3_transport,A,7,6,Ea1_J,K2_ref,0,-2.8018703568299546,-0.03204994655562012,43490.937270857554,2.6778865149031743,0
S3_transport,A,7,6,k2_ref,k2_ref,1,9.018804001468132,1.0,0.00031148206042069506,3.0031323649596486,0
S3_transport,A,7,6,k2_ref,Ea2_J,0,-211.49682005887868,-0.9952291922846398,0.00031148206042069506,3.0031323649596486,0
S3_transport,A,7,6,k2_ref,K1_ref,0,-0.01759691639645603,-0.0006308998348592766,0.00031148206042069506,3.0031323649596486,0
S3_transport,A,7,6,k2_ref,K2_ref,0,93.43372383141927,0.9530169504933022,0.00031148206042069506,3.0031323649596486,0
S3_transport,A,7,6,Ea2_J,Ea2_J,1,5007.402736859516,1.0,60341.60939365813,70.76300401240408,0
S3_transport,A,7,6,Ea2_J,K1_ref,0,2.659101421196708,0.004046010061396043,60341.60939365813,70.76300401240408,0
S3_transport,A,7,6,Ea2_J,K2_ref,0,-2257.5774458032615,-0.9772548576660759,60341.60939365813,70.76300401240408,0
S3_transport,A,7,6,K1_ref,K1_ref,1,86.25879065905531,0.9999999999999999,0.061801161827279766,9.287561071619143,1
S3_transport,A,7,6,K1_ref,K2_ref,0,6.783767838993918,0.02237385068908147,0.061801161827279766,9.287561071619143,1
S3_transport,A,7,6,K2_ref,K2_ref,1,1065.754357914454,0.9999999999999998,0.015450290456821008,32.64589343109565,1
S3_transport,A,7,7,k1_ref,k1_ref,1,0.005972140090757045,1.0000000000000002,0.0008573903612962656,0.07727962273948447,0
S3_transport,A,7,7,k1_ref,Ea1_J,0,-0.14720259592568502,-0.9161137901661879,0.0008573903612962656,0.07727962273948447,0
S3_transport,A,7,7,k1_ref,k2_ref,0,-0.0003654473376971076,-0.003963401820712723,0.0008573903612962656,0.07727962273948447,0
S3_transport,A,7,7,k1_ref,Ea2_J,0,0.020460281962270326,0.011839248059036769,0.0008573903612962656,0.07727962273948447,0
S3_transport,A,7,7,k1_ref,K1_ref,0,0.2563464104875936,0.6391949161476476,0.0008573903612962656,0.07727962273948447,0
S3_transport,A,7,7,k1_ref,K2_ref,0,0.012449120429420181,0.037726226882585444,0.0008573903612962656,0.07727962273948447,0
S3_transport,A,7,7,Ea1_J,Ea1_J,1,4.323167973042505,1.0,42073.88100429726,2.079222925287836,0
S3_transport,A,7,7,Ea1_J,k2_ref,0,0.03273438313181456,0.013195060981490061,42073.88100429726,2.079222925287836,0
S3_transport,A,7,7,Ea1_J,Ea2_J,0,-1.157983148500661,-0.024904549110759792,42073.88100429726,2.079222925287836,0
S3_transport,A,7,7,Ea1_J,K1_ref,0,-9.457510794612814,-0.8764897779832441,42073.88100429726,2.079222925287836,0
S3_transport,A,7,7,Ea1_J,K2_ref,0,-0.35856739607618954,-0.04038679962295291,42073.88100429726,2.079222925287836,0
S3_transport,A,7,7,k2_ref,k2_ref,1,1.4235850189227517,1.0,0.0003178649315589937,1.1931408210780283,0
S3_transport,A,7,7,k2_ref,Ea2_J,0,-26.483009438110827,-0.992551682216851,0.0003178649315589937,1.1931408210780283,0
S3_transport,A,7,7,k2_ref,K1_ref,0,-0.1078630295333806,-0.017420153375326063,0.0003178649315589937,1.1931408210780283,0
S3_transport,A,7,7,k2_ref,K2_ref,0,4.361560855108993,0.8560909956493381,0.0003178649315589937,1.1931408210780283,0
