scenario,strategy,seed,final_round,param,estimate_natural,true_value,rel_error_pct,sigma_scaled,rel_ci_width_pct,bound_active,matrix_kind,eigval_min,eigval_max,effective_rank,n_params,condition_number,eigenvalues_ascending
S3_transport,C,7,8,K1_ref,0.5537409662726424,0.9,38.473225969706405,1.5047310543498167,1809.2066199371732,0,fisher_information,0.43819647132620543,7344.863513113626,6,6,16761.576127905213,0.438196;0.636567;3.67226;213.723;1736.39;7344.86
S3_transport,C,7,8,K2_ref,0.08045190388938224,0.07,14.931291270546046,0.07011484219010478,14.731575812416153,0,fisher_information,0.43819647132620543,7344.863513113626,6,6,16761.576127905213,0.438196;0.636567;3.67226;213.723;1736.39;7344.86
S3_transport,D,7,8,k1_ref,0.0009044346830649225,0.001,9.55653169350775,0.014526388256743754,2.888091468246734,0,fisher_information,0.08755935085714785,58317.20613814968,6,6,666030.590305467,0.0875594;2.77358;23.8136;1498.24;10561.4;58317.2
S3_transport,D,7,8,Ea1_J,40709.40095950444,40000.0,1.773502398761102,0.22503496971177112,1.08345622937027,0,fisher_information,0.08755935085714785,58317.20613814968,6,6,666030.590305467,0.0875594;2.77358;23.8136;1498.24;10561.4;58317.2
S3_transport,D,7,8,k2_ref,0.000696523381708771,0.00065,7.157443339810933,0.04423605663985928,9.057237273012486,0,fisher_information,0.08755935085714785,58317.20613814968,6,6,666030.590305467,0.0875594;2.77358;23.8136;1498.24;10561.4;58317.2
S3_transport,D,7,8,Ea2_J,47583.79836099347,48000.0,0.8670867479302766,0.5993757650661189,2.4688581828150333,0,fisher_information,0.08755935085714785,58317.20613814968,6,6,666030.590305467,0.0875594;2.77358;23.8136;1498.24;10561.4;58317.2
S3_transport,D,7,8,K1_ref,3.5600419597781063,0.9,295.5602177531229,3.378070112702806,74970.8495208397,0,fisher_information,0.08755935085714785,58317.20613814968,6,6,666030.590305467,0.0875594;2.77358;23.8136;1498.24;10561.4;58317.2
S3_transport,D,7,8,K2_ref,0.07788372997518539,0.07,11.262471393121974,0.026898405835799163,5.413536897843763,0,fisher_information,0.08755935085714785,58317.20613814968,6,6,666030.590305467,0.0875594;2.77358;23.8136;1498.24;10561.4;58317.2
S3_transport,E,7,8,k1_ref,0.000935197382597147,0.001,6.480261740285299,0.01865678737711754,3.724411157782881,0,fisher_information,5.438451481096247,100148.0509035016,6,6,18414.810033997845,5.43845;8.65202;29.6819;4798.49;14498;100148
S3_transport,E,7,8,Ea1_J,40690.26351578309,40000.0,1.7256587894577204,0.26003441196680505,1.252553813659246,0,fisher_information,5.438451481096247,100148.0509035016,6,6,18414.810033997845,5.43845;8.65202;29.6819;4798.49;14498;100148
S3_transport,E,7,8,k2_ref,0.0006890071095485724,0.00065,6.001093776703454,0.027173190092826698,5.470325510613039,0,fisher_information,5.438451481096247,100148.0509035016,6,6,18414.810033997845,5.43845;8.65202;29.6819;4798.49;14498;100148
S3_transport,E,7,8,Ea2_J,47634.429081329785,48000.0,0.7616060805629483,0.3738959554827651,1.5384588140964057,0,fisher_information,5.438451481096247,100148.0509035016,6,6,18414.810033997845,5.43845;8.65202;29.6819;4798.49;14498;100148
S3_transport,E,7,8,K1_ref,0.39263344744581785,0.9,56.37406139490913,0.3529371970614841,99.7221383328385,0,fisher_information,5.438451481096247,100148.0509035016,6,6,18414.810033997845,5.43845;8.65202;29.6819;4798.49;14498;100148
S3_transport,E,7,8,K2_ref,0.06937889263139352,0.07,0.8872962408664118,0.019146351779537045,3.8239872916495,0,fisher_information,5.438451481096247,100148.0509035016,6,6,18414.810033997845,5.43845;8.65202;29.6819;4798.49;14498;100148
S3_transport,F,7,8,k1_ref,0.0009457727251057566,0.001,5.422727489424344,0.012807571660789769,2.5420569820227445,0,posterior_precision,1.8928890802777767,143545.60048141377,6,6,75834.13205614183,1.89289;8.99983;43.9472;1719.65;20841.2;143546
S3_transport,F,7,8,Ea1_J,40407.453185983264,40000.0,1.0186329649581602,0.19455340406483948,0.9436988523180697,0,posterior_precision,1.8928890802777767,143545.60048141377,6,6,75834.13205614183,1.89289;8.99983;43.9472;1719.65;20841.2;143546
S3_transport,F,7,8,k2_ref,0.0007091059197868674,0.00065,9.093218428748829,0.02152805930718358,4.309785908356134,0,posterior_precision,1.8928890802777767,143545.60048141377,6,6,75834.13205614183,1.89289;8.99983;43.9472;1719.65;20841.2;143546
S3_transport,F,7,8,Ea2_J,47055.87627685939,48000.0,1.9669244232096084,0.31880064435306354,1.3278878481735679,0,posterior_precision,1.8928890802777767,143545.60048141377,6,6,75834.13205614183,1.89289;8.99983;43.9472;1719.65;20841.2;143546
S3_transport,F,7,8,K1_ref,0.8314630274376159,0.9,7.615219173598235,0.7224317428078004,312.04658028020367,0,posterior_precision,1.8928890802777767,143545.60048141377,6,6,75834.13205614183,1.89289;8.99983;43.9472;1719.65;20841.2;143546
S3_transport,F,7,8,K2_ref,0.0698860502601943,0.07,0.16278534257957838,0.027878585022473958,5.616246897304156,0,posterior_precision,1.8928890802777767,143545.60048141377,6,6,75834.13205614183,1.89289;8.99983;43.9472;1719.65;20841.2;143546
