scenario,strategy,seed,round,param,unit,estimate_natural,sigma_scaled,ci95_lo_natural,ci95_hi_natural,rel_ci95_width_pct,bound_active,bound_lo_natural,bound_hi_natural,true_value_natural,rel_error_pct_vs_truth,covered_by_ci95
S3_transport,C,7,1,Ea2_J,J_per_mol,119898.80984847856,10979063.344680216,-21518844256.763374,21519084054.38307,35895208.9395511,0,20000.0,120000.0,48000.0,149.78918718433033,1.0
S3_transport,C,7,1,K1_ref,dimensionless,0.7768512465388725,10981981.283921827,0.0,inf,inf,0,0.06180116182727974,6.180116182727977,0.9,13.683194829014166,nan
S3_transport,C,7,1,K2_ref,dimensionless,0.015525059271108985,10981981.283921855,0.0,inf,inf,0,0.015450290456819938,1.5450290456819942,0.07,77.82134389841573,nan
S3_transport,C,7,2,k1_ref,L_per_mol_s,0.0003323206296096276,178.61662484646737,3.0200684743189103e-156,3.656771421020353e+148,1.1003744863254234e+154,0,7.935761655790467e-05,0.07142185490211418,0.001,66.76793703903724,1.0
S3_transport,C,7,2,Ea1_J,J_per_mol,53301.91937552897,7745.551821829741,-15127979.651410762,15234583.490161821,56963.35797527041,0,20000.0,120000.0,40000.0,33.25479843882242,1.0
S3_transport,C,7,2,k2_ref,L_per_mol_s,3.8549773787228234e-05,9115.70158817786,0.0,inf,inf,0,3.854911651227973e-05,0.03469420486105175,0.00065,94.06926557119566,nan
S3_transport,C,7,2,Ea2_J,J_per_mol,84818.12633512435,247626.05001014567,-485262239.89355034,485431876.1462206,1144441.8286304364,0,20000.0,120000.0,48000.0,76.70442986484241,1.0
S3_transport,C,7,2,K1_ref,dimensionless,0.8441696781639193,253193.2253561713,0.0,inf,inf,0,0.06180116182727974,6.180116182727977,0.9,6.203369092897859,nan
S3_transport,C,7,2,K2_ref,dimensionless,0.01571529234517306,54936.84452057021,0.0,inf,inf,0,0.015450290456819938,1.5450290456819942,0.07,77.54958236403849,nan
S3_transport,C,7,3,k1_ref,L_per_mol_s,0.00033255627592984746,0.8627460935399376,6.130287567564208e-05,0.0018040536506882309,524.0468760181273,0,7.935761655790467e-05,0.07142185490211418,0.001,66.74437240701525,1.0
S3_transport,C,7,3,Ea1_J,J_per_mol,53334.02178777904,10.354814457017493,33038.58545202475,73629.45812353333,76.1069038315231,0,20000.0,120000.0,40000.0,33.3350544694476,1.0
S3_transport,C,7,3,k2_ref,L_per_mol_s,3.8549117007199895e-05,5188.749186304457,0.0,inf,inf,1,3.854911651227973e-05,0.03469420486105175,0.00065,94.06936661427694,nan
S3_transport,C,7,3,Ea2_J,J_per_mol,81328.88914075776,62255.2905887443,-121939040.66479807,122101698.44307958,300066.485213527,0,20000.0,120000.0,48000.0,69.435185709912,1.0
S3_transport,C,7,3,K1_ref,dimensionless,0.41811885613911376,1.728012178782756,0.014137938623878315,12.365549356948858,2954.043147533987,0,0.06180116182727974,6.180116182727977,0.9,53.542349317876244,1.0
S3_transport,C,7,3,K2_ref,dimensionless,0.0820873305892628,0.10844890644511067,0.06636858526832994,0.10152890582235068,42.8328224363283,0,0.015450290456819938,1.5450290456819942,0.07,17.267615127518287,1.0
S3_transport,C,7,4,k1_ref,L_per_mol_s,0.0010405146209776712,0.09218702911682285,0.0008685143606459348,0.0012465777487698634,36.334269649060666,0,7.935761655790467e-05,0.07142185490211418,0.001,4.051462097767122,1.0
