x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
1.35000000e-02,1.01787602e+01,7.85880965e-02,1.18137858e-01,5.32740452e-02,2.24685949e-01,5.09773679e+01,0.00000000e+00,6.85647614e-01,4.72551433e-01,2.13096181e-01
1.38000000e-02,1.04049549e+01,7.66067927e-02,1.18411120e-01,5.49820871e-02,2.28375294e-01,5.09736785e+01,0.00000000e+00,6.93572829e-01,4.73644481e-01,2.19928348e-01
1.41000000e-02,1.06311495e+01,7.46762185e-02,1.18630933e-01,5.66928487e-02,2.32016630e-01,5.09700372e+01,0.00000000e+00,7.01295126e-01,4.74523731e-01,2.26771395e-01
1.44000000e-02,1.08573442e+01,7.27950676e-02,1.18799378e-01,5.84055546e-02,2.35610487e-01,5.09664434e+01,0.00000000e+00,7.08819730e-01,4.75197511e-01,2.33622218e-01
1.47000000e-02,1.10835389e+01,7.09620678e-02,1.18918472e-01,6.01194599e-02,2.39157392e-01,5.09628965e+01,0.00000000e+00,7.16151729e-01,4.75673890e-01,2.40477839e-01
1.50000000e-02,1.13097336e+01,6.91759791e-02,1.18990172e-01,6.18338491e-02,2.42657870e-01,5.09593960e+01,0.00000000e+00,7.23296083e-01,4.75960687e-01,2.47335396e-01
1.53000000e-02,1.15359282e+01,6.74355939e-02,1.19016370e-01,6.35480356e-02,2.46112442e-01,5.09559414e+01,0.00000000e+00,7.30257624e-01,4.76065482e-01,2.54192142e-01
1.56000000e-02,1.17621229e+01,6.57397352e-02,1.18998904e-01,6.52613604e-02,2.49521625e-01,5.09525322e+01,0.00000000e+00,7.37041059e-01,4.75995618e-01,2.61045442e-01
1.59000000e-02,1.19883176e+01,6.40872566e-02,1.18939552e-01,6.69731913e-02,2.52885935e-01,5.09491679e+01,0.00000000e+00,7.43650974e-01,4.75758208e-01,2.67892765e-01
1.62000000e-02,1.22145122e+01,6.24770409e-02,1.18840037e-01,6.86829224e-02,2.56205882e-01,5.09458480e+01,0.00000000e+00,7.50091836e-01,4.75360147e-01,2.74731690e-01
1.65000000e-02,1.24407069e+01,6.09080000e-02,1.18702027e-01,7.03899728e-02,2.59481973e-01,5.09425719e+01,0.00000000e+00,7.56368000e-01,4.74808109e-01,2.81559891e-01
1.68000000e-02,1.26669016e+01,5.93790734e-02,1.18527140e-01,7.20937863e-02,2.62714713e-01,5.09393391e+01,0.00000000e+00,7.62483706e-01,4.74108561e-01,2.88375145e-01
1.71000000e-02,1.28930963e+01,5.78892284e-02,1.18316941e-01,7.37938303e-02,2.65904602e-01,5.09361492e+01,0.00000000e+00,7.68443087e-01,4.73267766e-01,2.95175321e-01
1.74000000e-02,1.31192909e+01,5.64374583e-02,1.18072947e-01,7.54895950e-02,2.69052137e-01,5.09330017e+01,0.00000000e+00,7.74250167e-01,4.72291787e-01,3.01958380e-01
1.77000000e-02,1.33454856e+01,5.50227829e-02,1.17796624e-01,7.71805931e-02,2.72157810e-01,5.09298960e+01,0.00000000e+00,7.79908868e-01,4.71186496e-01,3.08722372e-01
1.80000000e-02,1.35716803e+01,5.36442468e-02,1.17489395e-01,7.88663586e-02,2.75222112e-01,5.09268317e+01,0.00000000e+00,7.85423013e-01,4.69957578e-01,3.15465434e-01
1.83000000e-02,1.37978749e+01,5.23009195e-02,1.17152634e-01,8.05464466e-02,2.78245527e-01,5.09238083e+01,0.00000000e+00,7.90796322e-01,4.68610536e-01,3.22185786e-01
1.86000000e-02,1.40240696e+01,5.09918944e-02,1.16787673e-01,8.22204321e-02,2.81228538e-01,5.09208253e+01,0.00000000e+00,7.96032422e-01,4.67150694e-01,3.28881728e-01
1.89000000e-02,1.42502643e+01,4.97162882e-02,1.16395802e-01,8.38879099e-02,2.84171622e-01,5.09178822e+01,0.00000000e+00,8.01134847e-01,4.65583208e-01,3.35551640e-01
1.92000000e-02,1.44764589e+01,4.84732403e-02,1.15978266e-01,8.55484935e-02,2.87075253e-01,5.09149786e+01,0.00000000e+00,8.06107039e-01,4.63913065e-01,3.42193974e-01
1.95000000e-02,1.47026536e+01,4.72619126e-02,1.15536273e-01,8.72018147e-02,2.89939902e-01,5.09121139e+01,0.00000000e+00,8.10952350e-01,4.62145091e-01,3.48807259e-01
1.98000000e-02,1.49288483e+01,4.60814882e-02,1.15070988e-01,8.88475233e-02,2.92766035e-01,5.09092878e+01,0.00000000e+00,8.15674047e-01,4.60283954e-01,3.55390093e-01
2.01000000e-02,1.51550430e+01,4.49311717e-02,1.14583543e-01,9.04852858e-02,2.95554114e-01,5.09064997e+01,0.00000000e+00,8.20275313e-01,4.58334170e-01,3.61941143e-01
2.04000000e-02,1.53812376e+01,4.38101878e-02,1.14075027e-01,9.21147855e-02,2.98304598e-01,5.09037492e+01,0.00000000e+00,8.24759249e-01,4.56300107e-01,3.68459142e-01
2.07000000e-02,1.56074323e+01,4.27177814e-02,1.13546497e-01,9.37357218e-02,3.01017940e-01,5.09010359e+01,0.00000000e+00,8.29128875e-01,4.54185987e-01,3.74942887e-01
