bound_active,condition_number,effective_rank,eigenvalues_ascending,eigval_max,eigval_min,estimate_natural,final_round,matrix_kind,n_params,param,rel_ci_width_pct,rel_error_pct,scenario,seed,sigma_scaled,strategy,true_value
0,142298.45437686527,6,1.96125;25.9322;204.911;3774.98;33303;279083,279082.53671610623,1.9612478430509164,0.0006522058654236884,8,posterior_precision,6,k2_ref,2.3950246503958716,0.3393639113366869,S7_spatial_modes,38,0.012075478591036868,F-zbatch,0.00065
0,142298.45437686527,6,1.96125;25.9322;204.911;3774.98;33303;279083,279082.53671610623,1.9612478430509164,48040.34844182236,8,posterior_precision,6,Ea2_J,0.758458172030837,0.0840592537965828,S7_spatial_modes,38,0.18590099419851558,F-zbatch,48000.0
0,142298.45437686527,6,1.96125;25.9322;204.911;3774.98;33303;279083,279082.53671610623,1.9612478430509164,1.6298266505242056,8,posterior_precision,6,K1_ref,305.28055033783585,81.09185005824506,S7_spatial_modes,38,0.7139843664206107,F-zbatch,0.9
0,142298.45437686527,6,1.96125;25.9322;204.911;3774.98;33303;279083,279082.53671610623,1.9612478430509164,0.07149220076526216,8,posterior_precision,6,K2_ref,3.6173659334818753,2.13171537894594,S7_spatial_modes,38,0.018129976852232724,F-zbatch,0.07
0,779991.7161800931,6,0.96363;28.6315;586.975;5664.97;35355.5;751623,751623.4594644353,0.9636300538490491,0.0010074935682149928,8,posterior_precision,6,k1_ref,1.1070401374470906,0.7493568214992762,S7_spatial_modes,39,0.005617129081192243,F-zbatch,0.001
0,779991.7161800931,6,0.96363;28.6315;586.975;5664.97;35355.5;751623,751623.4594644353,0.9636300538490491,40097.69140726094,8,posterior_precision,6,Ea1_J,0.45397144782367493,0.24422851815235846,S7_spatial_modes,39,0.09287350521704685,F-zbatch,40000.0
0,779991.7161800931,6,0.96363;28.6315;586.975;5664.97;35355.5;751623,751623.4594644353,0.9636300538490491,0.0006489405908361748,8,posterior_precision,6,k2_ref,1.9131620756978496,0.16298602520387612,S7_spatial_modes,39,0.009668832903590488,F-zbatch,0.00065
0,779991.7161800931,6,0.96363;28.6315;586.975;5664.97;35355.5;751623,751623.4594644353,0.9636300538490491,47679.19436604625,8,posterior_precision,6,Ea2_J,0.6870306826752168,0.6683450707369806,S7_spatial_modes,39,0.1671279053811689,F-zbatch,48000.0
0,779991.7161800931,6,0.96363;28.6315;586.975;5664.97;35355.5;751623,751623.4594644353,0.9636300538490491,3.7208934082034055,8,posterior_precision,6,K1_ref,636.3789339678848,313.43260091148954,S7_spatial_modes,39,1.0186605388686576,F-zbatch,0.9
0,779991.7161800931,6,0.96363;28.6315;586.975;5664.97;35355.5;751623,751623.4594644353,0.9636300538490491,0.0740340885769491,8,posterior_precision,6,K2_ref,3.0001914931753193,5.762983681355843,S7_spatial_modes,39,0.015081970100437757,F-zbatch,0.07
0,394954.9487723646,6,0.957909;14.1893;237.74;5976.74;21690.4;378331,378330.89802186535,0.9579089949317723,0.0009843982852283265,8,posterior_precision,6,k1_ref,1.4542687475074922,1.5601714771673558,S7_spatial_modes,40,0.0073663044652833186,F-zbatch,0.001
0,394954.9487723646,6,0.957909;14.1893;237.74;5976.74;21690.4;378331,378330.89802186535,0.9579089949317723,40304.63239147695,8,posterior_precision,6,Ea1_J,0.5722691112108821,0.761580978692382,S7_spatial_modes,40,0.11767906202220328,F-zbatch,40000.0
0,394954.9487723646,6,0.957909;14.1893;237.74;5976.74;21690.4;378331,378330.89802186535,0.9579089949317723,0.000655220132527104,8,posterior_precision,6,k2_ref,2.9855231666894078,0.8030973118621524,S7_spatial_modes,40,0.01500930642015454,F-zbatch,0.00065
0,394954.9487723646,6,0.957909;14.1893;237.74;5976.74;21690.4;378331,378330.89802186535,0.9579089949317723,47595.369094551716,8,posterior_precision,6,Ea2_J,1.0141019047360016,0.8429810530172592,S7_spatial_modes,40,0.24625793089488734,F-zbatch,48000.0
0,394954.9487723646,6,0.957909;14.1893;237.74;5976.74;21690.4;378331,378330.89802186535,0.9579089949317723,4.084275279230285,8,posterior_precision,6,K1_ref,640.7724962446815,353.8083643589205,S7_spatial_modes,40,1.0216955967118053,F-zbatch,0.9
0,394954.9487723646,6,0.957909;14.1893;237.74;5976.74;21690.4;378331,378330.89802186535,0.9579089949317723,0.06916135248962073,8,posterior_precision,6,K2_ref,2.8506284830814854,1.1980678719703977,S7_spatial_modes,40,0.014340582024866513,F-zbatch,0.07
0,86939.4921873574,6,1.17532;6.83201;51.0211;83.6773;14215.2;102182,102181.67017088566,1.1753193813311087,0.0009769259964648815,3,posterior_precision,6,k1_ref,2.2614415568970037,2.3074003535118477,S7_spatial_modes,1,0.01140943905187951,F-zadaptive,0.001
0,86939.4921873574,6,1.17532;6.83201;51.0211;83.6773;14215.2;102182,102181.67017088566,1.1753193813311087,40373.347184963895,3,posterior_precision,6,Ea1_J,0.8033501375960915,0.9333679624097386,S7_spatial_modes,1,0.16547925518497716,F-zadaptive,40000.0
0,86939.4921873574,6,1.17532;6.83201;51.0211;83.6773;14215.2;102182,102181.67017088566,1.1753193813311087,0.0006877449706394651,3,posterior_precision,6,k2_ref,5.183482805593109,5.806918559917709,S7_spatial_modes,1,0.025783721651605012,F-zadaptive,0.00065
0,86939.4921873574,6,1.17532;6.83201;51.0211;83.6773;14215.2;102182,102181.67017088566,1.1753193813311087,47127.94355356798,3,posterior_precision,6,Ea2_J,1.5523941523984743,1.8167842634000408,S7_spatial_modes,1,0.37327114279145057,F-zadaptive,48000.0
0,86939.4921873574,6,1.17532;6.83201;51.0211;83.6773;14215.2;102182,102181.67017088566,1.1753193813311087,1.3261717130909119,3,posterior_precision,6,K1_ref,508.2082536629579,47.35241256565687,S7_spatial_modes,1,0.921095489695212,F-zadaptive,0.9
