x_m,tau_s,X_EGDA,Y_EGMA,Y_EG
1.88000000e-01,1.41748661e+02,1.41107753e-01,1.35785142e-01,5.32261100e-03
1.89000000e-01,1.42502643e+02,1.41802095e-01,1.36424877e-01,5.37721814e-03
1.90000000e-01,1.43256625e+02,1.42495873e-01,1.37063791e-01,5.43208150e-03
1.91000000e-01,1.44010607e+02,1.43189086e-01,1.37701885e-01,5.48720074e-03
1.92000000e-01,1.44764589e+02,1.43881735e-01,1.38339159e-01,5.54257554e-03
1.93000000e-01,1.45518572e+02,1.44573820e-01,1.38975614e-01,5.59820557e-03
1.94000000e-01,1.46272554e+02,1.45265342e-01,1.39611252e-01,5.65409048e-03
1.95000000e-01,1.47026536e+02,1.45956302e-01,1.40246072e-01,5.71022996e-03
1.96000000e-01,1.47780518e+02,1.46646699e-01,1.40880075e-01,5.76662366e-03
1.97000000e-01,1.48534501e+02,1.47336535e-01,1.41513263e-01,5.82327126e-03
1.98000000e-01,1.49288483e+02,1.48025809e-01,1.42145636e-01,5.88017243e-03
1.99000000e-01,1.50042465e+02,1.48714522e-01,1.42777195e-01,5.93732684e-03
2.00000000e-01,1.50796447e+02,1.49402675e-01,1.43407941e-01,5.99473416e-03
