species,true_M,estimated_M,sigma_M
EGDA,0.29231178291157106,0.2857634407808587,0.007966955770124644
EGDA,0.029704535123420084,0.027026957249134727,0.0028676966004431963
EGDA,0.3535310428334042,0.35116791893523297,0.007940447265214323
EGDA,0.21022716091124088,0.211093424591632,0.005552106520287792
EGDA,0.46118871767359315,0.4525057982533671,0.010399738479086217
EGDA,0.05024592481557966,0.052568464662821085,0.0035643099583917127
EGDA,0.09343560657171823,0.0900105174471736,0.0033480269549754998
EGDA,0.07007505043253137,0.07161069002573173,0.004888195270943955
EGDA,0.29080713875806813,0.28818318409509097,0.007497711981242427
EGDA,0.38739503171128675,0.3850013345309398,0.009064755004024571
EGDA,0.16635168627962266,0.16936996911211,0.005120287867042025
EGDA,0.3788325590955893,0.38604617513752,0.008702137541926643
EGDA,0.19274497805564694,0.18963912493757454,0.0061824794863781386
EGDA,0.06689613207324835,0.0629403959049504,0.0034066995580221268
EGDA,0.3541200948371585,0.3518986730194745,0.007749951396023558
EGDA,0.23322846617295,0.23677568551971093,0.005810916487123633
EGDA,0.033059095632562374,0.03232014936998509,0.002713029803017713
EGDA,0.030391248611232102,0.0314745142440158,0.0031660616806562397
EGDA,0.3019418905916502,0.3016644780421125,0.008096840875843104
EGDA,0.44298374916357364,0.44503234620208787,0.010011042244834494
EGDA,0.16002043760815193,0.16523019354278085,0.005772300484856563
EGDA,0.23080768195177814,0.23645790862246574,0.00630489514222746
EGDA,0.24596255899679614,0.23938957332953084,0.005924425791932559
EGDA,0.02509264456843019,0.033978510544486265,0.0032444549665840735
EGDA,0.3878304026763437,0.3810686463533451,0.008826329734030433
EGDA,0.0429788635923638,0.04584445886458302,0.004592025881088373
EGDA,0.1436757355244085,0.13971984391044096,0.0058660205765033715
EGDA,0.10302296116818366,0.10485784292242353,0.0035458358857649026
EGDA,0.05503346459191272,0.05620817538268215,0.0027251167100415417
EGDA,0.434297615355952,0.4269186065318472,0.01011016791997421
EGDA,0.16135296631316465,0.15898989982388595,0.006097545753323036
EGDA,0.032172188263911494,0.03146923230842158,0.003128025935709818
EGDA,0.02485688280362397,0.019264379494785783,0.004083154375817499
EGDA,0.21815240541106368,0.21789681465128438,0.0053801712619739065
EGDA,0.319556140823305,0.31684655931066436,0.007313461561886493
EGDA,0.47798627402595895,0.4722306849631524,0.009938893580475559
EGDA,0.15285352540215363,0.15145536373372756,0.004380677985559393
EGDA,0.3674972447012195,0.3696250618112872,0.009067400668626628
EGDA,0.22711887909436235,0.2244937962592064,0.006061382847645567
EGDA,0.4451160184198518,0.4417805898509863,0.009321516085022682
EGDA,0.29885264707218634,0.29749345919098225,0.007299494583856296
EGDA,0.37420841392306853,0.37488274610885436,0.008637522255723427
EGDA,0.3103450487418764,0.3140290011228258,0.006875424325568624
EGDA,0.1361825656757623,0.133896347283902,0.00430954106745268
EGDA,0.07832393461682063,0.07740334870891352,0.005387129814892276
EGDA,0.49940890964237333,0.49583884738048756,0.010294450585023363
EGDA,0.40412243749569454,0.39645556939241544,0.008669409292965839
EGDA,0.3752775022307797,0.3744172653312969,0.009065365851192287
EGDA,0.2051630985092363,0.20455504763369958,0.006307397601157691
EGDA,0.387944893470906,0.38713795886972624,0.00845541400724427
EGDA,0.3605327815953407,0.34703070640458267,0.007967450146999323
EGDA,0.08007137979497297,0.0825823120888683,0.0045113720911925895
EGDA,0.19892092339454504,0.1970328518418908,0.006479709197594112
EGDA,0.22613541934279113,0.22728351973877794,0.005815688906396155
EGDA,0.4879777658614669,0.49808266115421135,0.011560003791210778
EGDA,0.1653457514704999,0.16144748267369052,0.005405586497216459
EGDA,0.3537370832997464,0.3582859949569643,0.00821729507044803
EGDA,0.10996807071870524,0.10814830258153464,0.004139752612660212
EGDA,0.3674606823826222,0.37380995557551094,0.009057993497633081
EGDA,0.4118564477404171,0.4124626209727589,0.009809867594280191
EGDA,0.020154140496125128,0.019505885172405393,0.0029215478992006393
EGDA,0.4293458937040278,0.4431432503279326,0.009654422137619257
EGDA,0.4685391412700945,0.471906739609976,0.010262674324792739
EGDA,0.3300040577882894,0.3251142335365213,0.006940239994718419
EGDA,0.4664884968240266,0.46053632321656407,0.00972831800001812
EGDA,0.46116731945074796,0.46665468360911255,0.009938493870014416
EGDA,0.285984722839038,0.283773261221046,0.007701294767415391
EGDA,0.008987044215691187,0.008771721389115243,0.004986732406457777
EGDA,0.4416778605627363,0.4375800543156738,0.009507847958180951
EGDA,0.392202438384457,0.38571085221225565,0.00859346893906383
EGDA,0.342534434661174,0.34490912652332145,0.008344682450603288
EGDA,0.22705971098024397,0.226155838801661,0.005653290769147151
EGDA,0.35848444755845793,0.35790220682028023,0.008335747594589755
EGDA,0.4350045464619218,0.4290019082325581,0.0091265898186318
EGDA,0.0011579130236896717,0.0006025593706366926,0.003156193871959725
EGDA,0.1594065262902249,0.15528286683766665,0.004573114762420472
EGDA,0.17708299539073602,0.1752886719081463,0.006057704823879814
EGDA,0.20969383144111925,0.2124947946168204,0.005709237380920902
EGDA,0.45140620238916773,0.4483062892153451,0.01012920681162558
EGDA,0.4830163304626799,0.478538067699596,0.010142546993336988
EGDA,0.19531887628617767,0.19520799993445634,0.005670977572298904
EGDA,0.43089618301182,0.4301217391908411,0.009823953281211231
EGDA,0.26426150469572607,0.2602514865451763,0.006205910453295313
EGDA,0.4620482524125794,0.4622673806110964,0.00926628617680828
EGDA,0.2243528497114447,0.22745554842607535,0.005310460076529332
EGDA,0.11543940411181147,0.11608584960682512,0.004507303603197553
EGDA,0.11251856818710837,0.11160006555947066,0.0038848606373972304
EGDA,0.018013070589587066,0.019140324087640805,0.003517509616699448
EGDA,0.35794900656471423,0.36295091334389235,0.00822045623516421
EGMA,0.26916414029087266,0.26289076035804676,0.018805541891653232
EGMA,0.10064564311566405,0.12155097297955465,0.020524426276907072
EGMA,0.2523513027666933,0.24601829203742848,0.025624931579934524
EGMA,0.1821626026374794,0.19063580099066008,0.01819850744986134
EGMA,0.058484042349992126,0.0314903642533654,0.017579170362254256
EGMA,0.27170013804065846,0.2746432000453217,0.015296968203242434
EGMA,0.23664312290738657,0.2537880240206567,0.008365407849369963
