design_select_s,measure_fit_s,round,round_total_s,scenario,seed,strategy
2.4215038750007807,0.4853084159985883,5,2.9069424159970367,S1_ideal,25,E
2.5382702499991865,0.5193629170025815,6,3.057687500000611,S1_ideal,25,E
2.480936333002319,0.4977058329968713,7,2.978702415999578,S1_ideal,25,E
0.0,0.6192686250033148,8,0.6194687500028522,S1_ideal,25,E
13.773469166000723,0.06627758299873676,1,13.839763541996945,S1_ideal,26,E
2.329528999998729,0.2919202920020325,2,2.6215086250012973,S1_ideal,26,E
2.419890207998833,0.2689684169999964,3,2.688887333999446,S1_ideal,26,E
2.4405898750010238,0.2607916250017297,4,2.7014145409993944,S1_ideal,26,E
2.471556000000419,0.42673458400167874,5,2.8984068339996156,S1_ideal,26,E
2.4979915839976456,0.4698919999973441,6,2.967932290997851,S1_ideal,26,E
2.5331494590027432,0.5313686249974126,7,3.06457454199699,S1_ideal,26,E
0.0,0.6296788330000709,8,0.6298823329998413,S1_ideal,26,E
3.888884791998862,0.07761258299797191,1,3.9665145420003682,S1_ideal,27,E
2.285261207998701,0.22373904199776007,2,2.5090239999990445,S1_ideal,27,E
2.4758561670023482,0.3787956249980198,3,2.8546810829975584,S1_ideal,27,E
2.518371666003077,0.36398854199796915,4,2.8824021669970534,S1_ideal,27,E
2.5133507079990522,0.4602691670006607,5,2.973755999999412,S1_ideal,27,E
2.497689250001713,0.43181162499968195,6,2.9295606250016135,S1_ideal,27,E
2.548355917002482,0.6328667089983355,7,3.181283916997927,S1_ideal,27,E
0.0,0.45426441699964926,8,0.45433108399811317,S1_ideal,27,E
3.224193957998068,0.07856412500041188,1,3.302777042001253,S1_ideal,28,E
2.2646511659986572,0.2738092500003404,2,2.538487208999868,S1_ideal,28,E
2.4237304999987828,0.27634316599869635,3,2.7001081659982447,S1_ideal,28,E
2.5060462080000434,0.26037579200055916,4,2.7665371670009336,S1_ideal,28,E
2.422978458002035,0.39613766700131237,5,2.819170833001408,S1_ideal,28,E
2.456855958000233,0.47449179099930916,6,2.9314048749984067,S1_ideal,28,E
2.4849884159993962,0.40656170900183497,7,2.891608959002042,S1_ideal,28,E
0.0,0.4986503330001142,8,0.49871545800124295,S1_ideal,28,E
3.700322333999793,0.07795650000116439,1,3.77832195800147,S1_ideal,29,E
2.8131567499985977,0.29762762500104145,2,3.110811457998352,S1_ideal,29,E
2.466053209001984,0.26551329199719476,3,2.7316570000002685,S1_ideal,29,E
2.5093787500009057,0.2283659999993688,4,2.73785508400033,S1_ideal,29,E
2.543475958998897,0.45528933300010976,5,2.9988152500009164,S1_ideal,29,E
2.504536291999102,0.39840533300230163,6,2.9029969170005643,S1_ideal,29,E
2.4705887499985693,0.46025400000144145,7,2.9309045000009064,S1_ideal,29,E
0.0,0.6744592919967545,8,0.6746425419987645,S1_ideal,29,E
4.488553708997642,0.1379741249984363,1,4.626546041999973,S1_ideal,30,E
2.3713255840011698,0.2730920420035545,2,2.6444815000031667,S1_ideal,30,E
2.4352066659994307,0.32065020800291677,3,2.7558905000005325,S1_ideal,30,E
2.4387301249989832,0.3478340420006134,4,2.786671000001661,S1_ideal,30,E
2.520142625002336,0.45688795800015214,5,2.9770745000023453,S1_ideal,30,E
2.520582249999279,0.5879718750002212,6,3.1086079589986184,S1_ideal,30,E
2.563566249998985,0.8081256250006845,7,3.3717529170025955,S1_ideal,30,E
0.0,0.8926809579970723,8,0.8928740409974125,S1_ideal,30,E
3.4184127090011316,0.10592512500079465,1,3.524378958001762,S1_ideal,31,E
2.5778787079980248,0.2252096670017636,2,2.8031134590019064,S1_ideal,31,E
2.4501652079998166,0.34492395900088013,3,2.7951198750015465,S1_ideal,31,E
2.429167791000509,0.27029966700138175,4,2.6995730840026226,S1_ideal,31,E
2.4944255410009646,0.4537254169990774,5,2.9481958750002377,S1_ideal,31,E
2.574748291997821,0.45016062499780674,6,3.024958207999589,S1_ideal,31,E
2.5133689159993082,0.5102489579985559,7,3.023675083000853,S1_ideal,31,E
0.0,0.6333342090001679,8,0.6333994589986105,S1_ideal,31,E
3.475798625000607,0.08230487499895389,1,3.5581415419983387,S1_ideal,32,E
2.7903867500026536,0.2873003329987114,2,3.0777094579971163,S1_ideal,32,E
2.4213720000007015,0.29579766700044274,3,2.717198250000365,S1_ideal,32,E
2.475461833000736,0.26639274999979534,4,2.741891834000853,S1_ideal,32,E
2.454172791000019,0.3252342499981751,5,2.7794546250006533,S1_ideal,32,E
2.5011602919985307,0.41206475000217324,6,2.913274292001006,S1_ideal,32,E
