T_trend_r,affected_region,affected_species,alpha_round_threshold,chi2_over_dof,p_bootstrap,p_combined_best_model,p_component_T_trend,p_component_chi2,p_component_species_bias,p_component_worst_cell,p_component_z_autocorr,p_model_irreversible,p_model_rev-dilute,p_model_rev-pitzer,rejected_at_threshold,round,round_first_detected,scenario,seed,species_bias_z_AcOH,species_bias_z_EG,species_bias_z_EGDA,species_bias_z_EGMA,state,strategy,trigger_reasons,z_autocorr_r
0.32475507352380106,,,0.00625,1.0148586283520826,nan,0.6454358030801804,0.45117872374579693,0.4161166832396795,0.9631479558418826,0.18728368924605765,0.438948722405973,,,0.6454358030801804,0,8,-1,S1_ideal,6,-0.5800847219463369,0.47698451534945857,-0.0004141295019612476,-0.18945177880128297,NORMAL_LEARNING,F,,0.00905303619864731
0.0,,,0.00625,0.9496102354339772,nan,0.23212797703430643,1.0,0.5517402402292088,0.16543855138943153,0.16543855138943153,0.05145537173070541,,,0.23212797703430643,0,1,-1,S1_ideal,7,0.020915294272042296,2.0121380751845144,1.7399048878819345,0.506477672578949,NORMAL_LEARNING,F,,0.2718172023516382
0.0,,,0.00625,0.8347474599567778,nan,0.8456083005388844,1.0,0.8439852877224723,0.6534095390466035,0.3117839612721469,0.46297706591706134,,,0.8456083005388844,0,2,-1,S1_ideal,7,0.7222871420237165,1.1022949518720973,1.193382726200865,0.14892787090516907,NORMAL_LEARNING,F,,0.010952653252656892
0.0,,,0.00625,0.7466139192111665,nan,0.9163816310524191,1.0,0.9802301872889955,0.7119047549926714,0.3912200531278256,0.696372290696359,,,0.9163816310524191,0,3,-1,S1_ideal,7,0.7247645368469293,1.0384962131409496,1.1091368735056408,0.34710997129259524,NORMAL_LEARNING,F,,-0.04945920126896112
-0.9880136609489405,misfit correlated with temperature,,0.00625,0.8056610783069862,nan,0.05189616376932715,0.010601652275596576,0.9634050723607143,0.4189798390159244,0.4731260985797727,0.6241131530376701,,,0.05189616376932715,0,4,-1,S1_ideal,7,1.0825313774649565,1.0485932494750556,1.5263105487662414,0.8382249642639451,NORMAL_LEARNING,F,,-0.026358456005424195
-0.9964408982235194,misfit correlated with temperature,,0.00625,0.792167797209966,nan,3.8077899514044056e-05,7.6156958995479205e-06,0.9851617338602084,0.4960013913537541,0.549751128170608,0.6109946379800129,,,3.8077899514044056e-05,1,5,5,S1_ideal,7,0.5512979152206101,1.0173752482373422,1.4137769773217412,0.7775373037817455,MODEL_INADEQUATE,F,"every candidate rejected at alpha_round=6.25e-03 (campaign alpha=0.05 Bonferroni-spent over 8 rounds); best model p=3.81e-05, chi2/dof=0.79, z-autocorr=-0.02",-0.021012505505128103
-0.7947401078115085,misfit correlated with temperature,,0.00625,0.8536056456188811,nan,0.26767004333274,0.06040356579806867,0.9491750357264136,0.40117529642003547,0.6160673771790885,0.5227470872843442,,,0.26767004333274,0,6,5,S1_ideal,7,1.1981829257795822,1.171452173743391,1.5534336169763252,0.9355947979828259,NORMAL_LEARNING,F,,-0.003881721562343797
-0.6257145955817003,misfit correlated with temperature,,0.00625,0.906243633336769,nan,0.534796756221688,0.14191848407267132,0.8654160022433863,0.39116676953477636,0.6748005318578574,0.610050054781186,,,0.534796756221688,0,7,5,S1_ideal,7,1.1486742857152832,1.24219816372273,1.5689193522929448,0.8499283788976215,NORMAL_LEARNING,F,,-0.01760366362889372
-0.6841586960276623,misfit correlated with temperature,,0.00625,0.8758029960111943,nan,0.2711464426457727,0.06129732479528214,0.9450705659457637,0.48998239526645293,0.722897914526478,0.6215192860472308,,,0.2711464426457727,0,8,5,S1_ideal,7,0.5750493161772858,1.4223558237384801,1.3403632331996835,0.8263175469791454,NORMAL_LEARNING,F,,-0.01823589618023343
0.0,,,0.00625,1.5637442560750283,nan,0.09265378214548825,1.0,0.019258378442775687,0.0294080789194322,0.0294080789194322,0.3478527725140328,,,0.09265378214548825,0,1,-1,S1_ideal,8,0.7501685793746043,2.676727037276897,0.6701094479017504,-0.7919873512373933,NORMAL_LEARNING,F,,0.0651873415378811
