basis,boot_ci_hi,boot_ci_lo,mean,median,metric,n_faulted_cumulative,n_in_summary,n_observed,n_total,q25,q75,round,scenario,strategy
observed,7.0,7.0,7.0,7.0,spatial_samples,0,40,40,40,7.0,7.0,7,S1_ideal,A
locf,7.0,7.0,7.0,7.0,spatial_samples,0,40,40,40,7.0,7.0,7,S1_ideal,A
observed,50.34544021802821,44.70762745876178,47.20303746761665,46.92414914940156,param_err_pct,0,40,40,40,41.94156317954122,53.82455841580707,8,S1_ideal,A
locf,50.339332426247324,44.724741517848386,47.20303746761665,46.92414914940156,param_err_pct,0,40,40,40,41.94156317954122,53.82455841580707,8,S1_ideal,A
observed,0.004831634885442164,0.003659754528915161,0.004788894549507209,0.004033819480756718,blind_rmse_M,0,40,40,40,0.0032370272407781643,0.005625360735583964,8,S1_ideal,A
locf,0.004831634885442164,0.003659754528915161,0.004788894549507209,0.004033819480756718,blind_rmse_M,0,40,40,40,0.0032370272407781643,0.005625360735583964,8,S1_ideal,A
observed,10000.0,1658.9232506798207,6139.9352546781765,10000.0,max_rel_ci_pct,0,40,40,40,681.5937595404395,10000.0,8,S1_ideal,A
locf,10000.0,1658.9232506798207,6139.9352546781765,10000.0,max_rel_ci_pct,0,40,40,40,681.5937595404395,10000.0,8,S1_ideal,A
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,8,S1_ideal,A
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,8,S1_ideal,A
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,8,S1_ideal,A
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,8,S1_ideal,A
observed,13977.344210806323,13977.344210806323,13977.344210806323,13977.344210806323,time_s,0,40,40,40,13977.344210806323,13977.344210806323,8,S1_ideal,A
locf,13977.344210806323,13977.344210806323,13977.344210806323,13977.344210806323,time_s,0,40,40,40,13977.344210806323,13977.344210806323,8,S1_ideal,A
observed,0.11647786842338605,0.11647786842338605,0.11647786842338606,0.11647786842338605,egda_mol,0,40,40,40,0.11647786842338605,0.11647786842338605,8,S1_ideal,A
locf,0.11647786842338605,0.11647786842338605,0.11647786842338606,0.11647786842338605,egda_mol,0,40,40,40,0.11647786842338605,0.11647786842338605,8,S1_ideal,A
observed,134.4647663586059,134.4647663586059,134.4647663586059,134.4647663586059,energy_kJ,0,40,40,40,134.4647663586059,134.4647663586059,8,S1_ideal,A
locf,134.4647663586059,134.4647663586059,134.4647663586059,134.4647663586059,energy_kJ,0,40,40,40,134.4647663586059,134.4647663586059,8,S1_ideal,A
observed,8.0,8.0,8.0,8.0,nmr_acquisitions,0,40,40,40,8.0,8.0,8,S1_ideal,A
locf,8.0,8.0,8.0,8.0,nmr_acquisitions,0,40,40,40,8.0,8.0,8,S1_ideal,A
observed,8.0,8.0,8.0,8.0,spatial_samples,0,40,40,40,8.0,8.0,8,S1_ideal,A
locf,8.0,8.0,8.0,8.0,spatial_samples,0,40,40,40,8.0,8.0,8,S1_ideal,A
observed,330.72188182318143,224.5315678463219,286.16823303061994,281.13878225703064,param_err_pct,0,40,40,40,201.8351691422724,351.94405957858777,1,S1_ideal,B
locf,330.72188182318143,224.5315678463219,286.16823303061994,281.13878225703064,param_err_pct,0,40,40,40,201.8351691422724,351.94405957858777,1,S1_ideal,B
observed,0.13690698213076063,0.11768600768483486,0.1309627717204526,0.12796479610338757,blind_rmse_M,0,40,40,40,0.10970878902843863,0.15610207946903726,1,S1_ideal,B
locf,0.13684668643588746,0.11768600768483486,0.1309627717204526,0.12796479610338757,blind_rmse_M,0,40,40,40,0.10970878902843863,0.15610207946903726,1,S1_ideal,B
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,1,S1_ideal,B
locf,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,1,S1_ideal,B
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,1,S1_ideal,B
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,1,S1_ideal,B
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,1,S1_ideal,B
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,1,S1_ideal,B
observed,2527.1680263507906,2527.1680263507906,2527.1680263507906,2527.1680263507906,time_s,0,40,40,40,2527.1680263507906,2527.1680263507906,1,S1_ideal,B
locf,2527.1680263507906,2527.1680263507906,2527.1680263507906,2527.1680263507906,time_s,0,40,40,40,2527.1680263507906,2527.1680263507906,1,S1_ideal,B
observed,0.02105973355292326,0.02105973355292326,0.02105973355292326,0.02105973355292326,egda_mol,0,40,40,40,0.02105973355292326,0.02105973355292326,1,S1_ideal,B
locf,0.02105973355292326,0.02105973355292326,0.02105973355292326,0.02105973355292326,egda_mol,0,40,40,40,0.02105973355292326,0.02105973355292326,1,S1_ideal,B
observed,2.6408905875365756,2.6408905875365756,2.6408905875365756,2.6408905875365756,energy_kJ,0,40,40,40,2.6408905875365756,2.6408905875365756,1,S1_ideal,B
locf,2.6408905875365756,2.6408905875365756,2.6408905875365756,2.6408905875365756,energy_kJ,0,40,40,40,2.6408905875365756,2.6408905875365756,1,S1_ideal,B
observed,10.0,10.0,10.0,10.0,nmr_acquisitions,0,40,40,40,10.0,10.0,1,S1_ideal,B
locf,10.0,10.0,10.0,10.0,nmr_acquisitions,0,40,40,40,10.0,10.0,1,S1_ideal,B
