completed,faulted,last_valid_blind_rmse_M,last_valid_param_err_pct,nmr_acquisitions,nmr_reacquisitions,qc_rejected,rounds_completed,rounds_planned,runtime_s,scenario,seed,stop_reason,strategy
1,0,0.002256605675728196,12.021685634255208,84.0,4.0,1.0,8,8,18.30005383491516,S6_resources,10,budget exhausted,F-res-2x
1,0,0.0028413874283822445,26.16898576413631,80.0,0.0,0.0,8,8,17.26597809791565,S6_resources,11,budget exhausted,F-res-2x
1,0,0.0377452051259731,82.23814277679978,80.0,0.0,0.0,8,8,18.608739852905273,S6_resources,12,budget exhausted,F-res-2x
1,0,0.023179114745956658,32.16692005157675,81.0,1.0,0.0,8,8,17.50617003440857,S6_resources,13,budget exhausted,F-res-2x
1,0,0.0010531302945852698,6.1331596375271635,80.0,0.0,0.0,8,8,17.28306794166565,S6_resources,14,budget exhausted,F-res-2x
1,0,0.003957397048873409,8.314779212836054,81.0,1.0,0.0,8,8,16.79685401916504,S6_resources,15,budget exhausted,F-res-2x
1,0,0.002337106711487509,18.548049061154437,80.0,0.0,0.0,8,8,17.804670810699463,S6_resources,16,budget exhausted,F-res-2x
1,0,0.006950151246922072,23.734861543789364,80.0,0.0,0.0,8,8,17.887673139572144,S6_resources,17,budget exhausted,F-res-2x
1,0,0.0020751261202390263,14.034815951830893,81.0,1.0,0.0,8,8,17.141404151916504,S6_resources,18,budget exhausted,F-res-2x
1,0,0.003478239500925464,29.436803224581464,83.0,3.0,0.0,8,8,18.00899386405945,S6_resources,19,budget exhausted,F-res-2x
1,0,0.014377136115958748,10.015675811482305,82.0,2.0,0.0,8,8,17.276803016662598,S6_resources,20,budget exhausted,F-res-2x
1,0,0.005843938970498105,30.516989241124513,81.0,1.0,1.0,8,8,18.439510107040405,S6_resources,21,budget exhausted,F-res-2x
1,0,0.0047628957838395,33.733321895077694,80.0,0.0,0.0,8,8,18.05571413040161,S6_resources,22,budget exhausted,F-res-2x
1,0,0.0023222474947800645,11.928851564149179,83.0,3.0,0.0,8,8,17.23124933242798,S6_resources,23,budget exhausted,F-res-2x
1,0,0.0016760430210839702,7.571588553035724,81.0,1.0,0.0,8,8,17.141053915023804,S6_resources,24,budget exhausted,F-res-2x
1,0,0.026520861417372837,26.298125247086368,81.0,1.0,0.0,8,8,16.76771116256714,S6_resources,25,budget exhausted,F-res-2x
1,0,0.0034727782969790734,7.677088067751758,81.0,1.0,0.0,8,8,17.67658495903015,S6_resources,26,budget exhausted,F-res-2x
1,0,0.005057212262105347,13.89927173940675,82.0,2.0,0.0,8,8,17.861894130706787,S6_resources,27,budget exhausted,F-res-2x
