acid_mol,capillary_travel_m,egda_mol,energy_kJ,metric,nmr_acquisitions,ratio_acid_mol,ratio_capillary_travel_m,ratio_egda_mol,ratio_energy_kJ,ratio_nmr_acquisitions,ratio_reactor_conditions,ratio_spatial_samples,ratio_time_s,ratio_waste_mL,reached,reactor_conditions,reference_acid_mol,reference_capillary_travel_m,reference_egda_mol,reference_energy_kJ,reference_nmr_acquisitions,reference_reached,reference_reactor_conditions,reference_round,reference_spatial_samples,reference_strategy,reference_time_s,reference_waste_mL,round,scenario,seed,spatial_samples,strategy,target,time_s,waste_mL
0.10211393421169306,8.099999999999994,0.2042278684233861,190.61261635860583,param_err_pct,80.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,8.0,nan,nan,nan,nan,nan,0,nan,-1,nan,A,nan,nan,8,S1_ideal,2,80.0,B,50.0,24507.34421080632,468.4557368467721
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,1.7532419532685042,nan,1.7532419532685042,1.3984213887121644,10.0,1.0,10.0,1.7532419532685035,1.9610217080545653,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,3,70.0,B,50.0,21367.319041598388,408.62198402663984
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,7.0,nan,nan,nan,nan,nan,0,nan,-1,nan,A,nan,nan,7,S1_ideal,4,70.0,B,50.0,21367.319041598388,408.62198402663984
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,1.5287109424606322,nan,1.5287109424606322,1.134194891352041,8.75,0.875,8.75,1.5287109424606318,1.7100321148123954,1,7.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,7,S1_ideal,5,70.0,B,50.0,21367.319041598388,408.62198402663984
0.07594705780162693,5.939999999999998,0.15189411560325386,118.15597298503008,param_err_pct,60.0,3.625721532236744,nan,3.625721532236744,4.101255941906576,20.0,2.0,20.0,3.6257215322367427,4.0539342572612025,1,6.0,0.020946743186527738,0.0,0.041893486373055476,28.809704797429,3.0,1,3.0,3,3.0,A,5027.218364766657,86.03697274611095,6,S1_ideal,6,60.0,B,50.0,18227.293872390455,348.7882312065076
0.10211393421169306,8.099999999999994,0.2042278684233861,190.61261635860583,param_err_pct,80.0,1.7533620007625579,nan,1.7533620007625579,1.4175655193588665,10.0,1.0,10.0,1.7533620007625572,1.9604289188803388,1,8.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,7,80.0,B,50.0,24507.34421080632,468.4557368467721
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,1.7532419532685042,nan,1.7532419532685042,1.3984213887121644,10.0,1.0,10.0,1.7532419532685035,1.9610217080545653,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,8,70.0,B,50.0,21367.319041598388,408.62198402663984
0.07594705780162693,5.939999999999998,0.15189411560325386,118.15597298503008,param_err_pct,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6.0,nan,nan,nan,nan,nan,0,nan,-1,nan,A,nan,nan,6,S1_ideal,9,60.0,B,50.0,18227.293872390455,348.7882312065076
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,1.7532419532685042,nan,1.7532419532685042,1.3984213887121644,10.0,1.0,10.0,1.7532419532685035,1.9610217080545653,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,10,70.0,B,50.0,21367.319041598388,408.62198402663984
0.07594705780162693,5.939999999999998,0.15189411560325386,118.15597298503008,param_err_pct,60.0,1.4955950369540763,nan,1.4955950369540763,1.083421750918453,8.571428571428571,0.8571428571428571,8.571428571428571,1.4955950369540758,1.6738729673079078,1,6.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,6,S1_ideal,11,60.0,B,50.0,18227.293872390455,348.7882312065076
