accuracy_gain_at_equal_material,frac_seeds_reached,n_paired_at_target,p_better_at_equal_material,reference_strategy,resource_ratio_egda_mol,resource_ratio_energy_kJ,resource_ratio_nmr_acquisitions,resource_ratio_time_s,saving_pct_egda_mol,saving_pct_energy_kJ,saving_pct_nmr_acquisitions,saving_pct_time_s,scenario,strategy,tightest_target_reached_by_half
1.0,nan,0,0.0,F,nan,nan,nan,nan,nan,nan,nan,nan,S4c_out_of_domain,F,nan
1.0,nan,0,0.0,D,nan,nan,nan,nan,nan,nan,nan,nan,S5_inadequacy,D,nan
1.8321239779134344,0.775,16,1.0,D,1.363601782822324,1.1915302666661602,0.8333333333333334,0.545465474275145,-36.36017828223239,-19.153026666616025,16.666666666666664,45.453452572485496,S5_inadequacy,F,50.0
1.9327926336439238,0.85,17,1.0,D,1.6437563635009096,1.3056263351552557,0.8333333333333334,0.5481186170192869,-64.37563635009096,-30.562633515525572,16.666666666666664,45.18813829807131,S5_inadequacy,F-noGovernor,50.0
1.0,0.7,28,0.0,D,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,S6_resources,D,20.0
1.0214785849901316,0.55,14,0.525,D,1.1559077233513868,1.2574419264786085,0.8500000000000001,0.7680895911208119,-15.59077233513868,-25.744192647860853,14.999999999999991,23.191040887918813,S6_resources,F,10.0
1.055648266098996,0.7,23,0.625,D,0.22563943145757456,0.27134634609257313,0.9,0.7774377887349171,77.43605685424254,72.86536539074268,9.999999999999998,22.25622112650829,S6_resources,F-res-0.5x,20.0
1.2448219721282414,0.6,14,0.675,D,0.28176805703880736,0.21145810265369713,0.8875,0.7497886660651776,71.82319429611927,78.85418973463028,11.250000000000004,25.02113339348224,S6_resources,F-res-1x,10.0
0.5795191107501078,0.575,21,0.15,D,0.13334065517170018,0.10894386331291103,0.8,0.6737350284730359,86.66593448282998,89.1056136687089,19.999999999999996,32.62649715269641,S6_resources,F-res-2x,30.0
0.4719523875778706,0.575,19,0.275,D,0.17592361630048514,0.19217310192626758,0.775,0.5790459838928868,82.40763836995148,80.78268980737325,22.499999999999996,42.09540161071133,S6_resources,F-res-4x,30.0
0.3606817222406857,0.525,21,0.325,F-zfixed,0.9864803367786014,0.9864803367786017,1.0,1.1129505977031413,1.3519663221398637,1.3519663221398304,0.0,-11.29505977031413,S7_spatial_modes,F-zadaptive,50.0
1.0341872213649463,0.55,18,0.625,F-zfixed,0.940511237581894,0.9230361533993215,0.9710084033613445,1.0038569322828903,5.948876241810597,7.696384660067846,2.899159663865547,-0.3856932282890302,S7_spatial_modes,F-zbatch,10.0
1.0,0.55,22,0.0,F-zfixed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,S7_spatial_modes,F-zfixed,10.0
