C_EGDA_M,C_cat_M,Q_total_mL_min,T_C,blind_rmse_M,cum_acid_mol,cum_capillary_travel_m,cum_egda_mol,cum_energy_kJ,cum_nmr_acquisitions,cum_reactor_conditions,cum_spatial_samples,cum_time_s,cum_waste_mL,design_mode,is_reference,n_positions,param_err_pct,reference_acid_mol,reference_blind_rmse_M,reference_capillary_travel_m,reference_egda_mol,reference_energy_kJ,reference_nmr_acquisitions,reference_param_err_pct,reference_reactor_conditions,reference_spatial_samples,reference_strategy,reference_time_s,reference_waste_mL,round,scenario,seed,strategy,z_over_L_list,z_over_L_max,z_over_L_min
1.0,0.5,1.0,108.57142857142857,0.0413143627565139,0.03586361959659385,0.0,0.0717272391931877,64.65832495850906,5.0,5.0,5.0,8607.268703182524,147.2044783863754,fixed,1,1,142.88568060233723,0.03586361959659385,0.0413143627565139,0.0,0.0717272391931877,64.65832495850906,5.0,142.88568060233723,5.0,5.0,A,8607.268703182524,147.2044783863754,5,S1_ideal,3,A,1.0000,1.0,1.0
1.0,0.5,1.0,125.71428571428571,0.038177523824511776,0.04332205780162691,0.0,0.08664411560325382,85.78933727074443,6.0,6.0,6.0,10397.293872390457,177.78823120650762,fixed,1,1,70.81768085191146,0.04332205780162691,0.038177523824511776,0.0,0.08664411560325382,85.78933727074443,6.0,70.81768085191146,6.0,6.0,A,10397.293872390457,177.78823120650762,6,S1_ideal,3,A,1.0000,1.0,1.0
1.0,0.5,1.0,142.85714285714286,0.002416438588450966,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,7.0,7.0,12187.31904159839,208.37198402663984,fixed,1,1,15.574504224090123,0.050780496006659966,0.002416438588450966,0.0,0.10156099201331993,109.05815107077672,7.0,15.574504224090123,7.0,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,3,A,1.0000,1.0,1.0
1.0,0.5,1.0,160.0,0.00553309361075291,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,8.0,8.0,13977.344210806323,238.95573684677206,fixed,1,1,29.08193188076107,0.05823893421169302,0.00553309361075291,0.0,0.11647786842338605,134.4647663586059,8.0,29.08193188076107,8.0,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,3,A,1.0000,1.0,1.0
1.0,0.5,1.0,40.0,0.13110189070776798,0.006029866776461627,0.0,0.012059733552923254,1.5122905875365757,1.0,1.0,1.0,1447.1680263507903,24.869467105846507,fixed,1,1,144.28889036348988,0.006029866776461627,0.13110189070776798,0.0,0.012059733552923254,1.5122905875365757,1.0,144.28889036348988,1.0,1.0,A,1447.1680263507903,24.869467105846507,1,S1_ideal,4,A,1.0000,1.0,1.0
1.0,0.5,1.0,57.14285714285714,0.08910220421103882,0.013488304981494682,0.0,0.026976609962989364,14.092096948584338,2.0,2.0,2.0,3237.1931955587233,55.45321992597873,fixed,1,1,112.91426791672339,0.013488304981494682,0.08910220421103882,0.0,0.026976609962989364,14.092096948584338,2.0,112.91426791672339,2.0,2.0,A,3237.1931955587233,55.45321992597873,2,S1_ideal,4,A,1.0000,1.0,1.0
1.0,0.5,1.0,74.28571428571428,0.028806146167414906,0.020946743186527738,0.0,0.041893486373055476,28.809704797429,3.0,3.0,3.0,5027.218364766657,86.03697274611095,fixed,1,1,175.0747708276037,0.020946743186527738,0.028806146167414906,0.0,0.041893486373055476,28.809704797429,3.0,175.0747708276037,3.0,3.0,A,5027.218364766657,86.03697274611095,3,S1_ideal,4,A,1.0000,1.0,1.0
1.0,0.5,1.0,91.42857142857143,0.038184876031380516,0.028405181391560792,0.0,0.056810362783121585,45.66511413407058,4.0,4.0,4.0,6817.243533974591,116.62072556624317,fixed,1,1,218.83476357946492,0.028405181391560792,0.038184876031380516,0.0,0.056810362783121585,45.66511413407058,4.0,218.83476357946492,4.0,4.0,A,6817.243533974591,116.62072556624317,4,S1_ideal,4,A,1.0000,1.0,1.0
1.0,0.5,1.0,108.57142857142857,0.014912877106110375,0.03586361959659385,0.0,0.0717272391931877,64.65832495850906,5.0,5.0,5.0,8607.268703182524,147.2044783863754,fixed,1,1,180.12421749393735,0.03586361959659385,0.014912877106110375,0.0,0.0717272391931877,64.65832495850906,5.0,180.12421749393735,5.0,5.0,A,8607.268703182524,147.2044783863754,5,S1_ideal,4,A,1.0000,1.0,1.0
1.0,0.5,1.0,125.71428571428571,0.01774210362216953,0.04332205780162691,0.0,0.08664411560325382,85.78933727074443,6.0,6.0,6.0,10397.293872390457,177.78823120650762,fixed,1,1,172.7868043671925,0.04332205780162691,0.01774210362216953,0.0,0.08664411560325382,85.78933727074443,6.0,172.7868043671925,6.0,6.0,A,10397.293872390457,177.78823120650762,6,S1_ideal,4,A,1.0000,1.0,1.0
1.0,0.5,1.0,142.85714285714286,0.006395347262618312,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,7.0,7.0,12187.31904159839,208.37198402663984,fixed,1,1,65.32443624880221,0.050780496006659966,0.006395347262618312,0.0,0.10156099201331993,109.05815107077672,7.0,65.32443624880221,7.0,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,4,A,1.0000,1.0,1.0
