blind_rmse_M,improvement_factor_blind_rmse_M,improvement_factor_param_err_pct,param_err_pct,reference_blind_rmse_M,reference_final_round,reference_param_err_pct,reference_strategy,reference_total,resource,round_at_budget,scenario,seed,spent,strategy
0.0994465194810399,0.02275964982607601,0.9825710214607358,43.408939036269544,0.002263367959810514,8,42.65236556939418,A,0.11647786842338605,egda_mol,1,S1_ideal,14,0.020708483552923252,F
0.0037653741329662185,1.0,1.0,35.462152910666276,0.0037653741329662185,8,35.462152910666276,A,0.11647786842338605,egda_mol,8,S1_ideal,15,0.11647786842338605,A
0.014697072256458733,0.2561989263753873,0.19042672787747145,186.22466134840124,0.0037653741329662185,8,35.462152910666276,A,0.11647786842338605,egda_mol,4,S1_ideal,15,0.09956036278312162,B
0.026066397286319997,0.14445318590085093,0.29849297767718014,118.80397718776004,0.0037653741329662185,8,35.462152910666276,A,0.11647786842338605,egda_mol,3,S1_ideal,15,0.07879866776461626,C
0.12004320048666653,0.03136682559029611,0.17825231357964363,198.9435772165823,0.0037653741329662185,8,35.462152910666276,A,0.11647786842338605,egda_mol,1,S1_ideal,15,0.02105973355292326,D
0.045540828726815974,0.0826812826695233,0.3090070401084425,114.76163422756076,0.0037653741329662185,8,35.462152910666276,A,0.11647786842338605,egda_mol,2,S1_ideal,15,0.06178211732543642,E
0.10030014354772802,0.037541064247574654,0.6465696750681998,54.84660706817985,0.0037653741329662185,8,35.462152910666276,A,0.11647786842338605,egda_mol,1,S1_ideal,15,0.020708483552923252,F
0.0032566827558588845,1.0,1.0,48.106777715706016,0.0032566827558588845,8,48.106777715706016,A,0.11647786842338605,egda_mol,8,S1_ideal,16,0.11647786842338605,A
0.03262213414949596,0.09983046298977968,0.24891958982191395,193.26232117818986,0.0032566827558588845,8,48.106777715706016,A,0.11647786842338605,egda_mol,4,S1_ideal,16,0.09956036278312162,B
0.11064012262871133,0.029434916362012137,0.3137641326248999,153.3214689430959,0.0032566827558588845,8,48.106777715706016,A,0.11647786842338605,egda_mol,1,S1_ideal,16,0.012059733552923254,C
0.13125423137984504,0.024812021080175016,0.1452697820281638,331.15474563305565,0.0032566827558588845,8,48.106777715706016,A,0.11647786842338605,egda_mol,1,S1_ideal,16,0.02105973355292326,D
0.1356728618115996,0.024003936471696425,0.11148699292469698,431.5012581620115,0.0032566827558588845,8,48.106777715706016,A,0.11647786842338605,egda_mol,1,S1_ideal,16,0.020708483552923252,E
0.09981606504287174,0.03262683972224426,1.0322017915555124,46.605981610640136,0.0032566827558588845,8,48.106777715706016,A,0.11647786842338605,egda_mol,1,S1_ideal,16,0.020708483552923252,F
0.005387471521640107,1.0,1.0,48.18827859463437,0.005387471521640107,8,48.18827859463437,A,0.11647786842338605,egda_mol,8,S1_ideal,17,0.11647786842338605,A
0.02630932643653129,0.20477420942861696,0.2845610556393128,169.34249307717653,0.005387471521640107,8,48.18827859463437,A,0.11647786842338605,egda_mol,4,S1_ideal,17,0.09956036278312162,B
0.03054654509319458,0.17636925895231192,0.2436156213070431,197.80455102220168,0.005387471521640107,8,48.18827859463437,A,0.11647786842338605,egda_mol,2,S1_ideal,17,0.09101253399210309,C
0.16663531123995057,0.03233091162702176,0.10100338646489944,477.09567254342204,0.005387471521640107,8,48.18827859463437,A,0.11647786842338605,egda_mol,1,S1_ideal,17,0.02105973355292326,D
