frac_reached,metric,n_paired,n_reached,n_reference_reached,n_seeds,p_cheaper_egda_mol,p_cheaper_energy_kJ,p_cheaper_nmr_acquisitions,p_cheaper_time_s,ratio_acid_mol_ci_hi,ratio_acid_mol_ci_lo,ratio_acid_mol_median,ratio_acid_mol_q25,ratio_acid_mol_q75,ratio_capillary_travel_m_ci_hi,ratio_capillary_travel_m_ci_lo,ratio_capillary_travel_m_median,ratio_capillary_travel_m_q25,ratio_capillary_travel_m_q75,ratio_egda_mol_ci_hi,ratio_egda_mol_ci_lo,ratio_egda_mol_median,ratio_egda_mol_q25,ratio_egda_mol_q75,ratio_energy_kJ_ci_hi,ratio_energy_kJ_ci_lo,ratio_energy_kJ_median,ratio_energy_kJ_q25,ratio_energy_kJ_q75,ratio_nmr_acquisitions_ci_hi,ratio_nmr_acquisitions_ci_lo,ratio_nmr_acquisitions_median,ratio_nmr_acquisitions_q25,ratio_nmr_acquisitions_q75,ratio_reactor_conditions_ci_hi,ratio_reactor_conditions_ci_lo,ratio_reactor_conditions_median,ratio_reactor_conditions_q25,ratio_reactor_conditions_q75,ratio_spatial_samples_ci_hi,ratio_spatial_samples_ci_lo,ratio_spatial_samples_median,ratio_spatial_samples_q25,ratio_spatial_samples_q75,ratio_time_s_ci_hi,ratio_time_s_ci_lo,ratio_time_s_median,ratio_time_s_q25,ratio_time_s_q75,ratio_waste_mL_ci_hi,ratio_waste_mL_ci_lo,ratio_waste_mL_median,ratio_waste_mL_q25,ratio_waste_mL_q75,reference_strategy,scenario,strategy,target
1.0,blind_rmse_M,33,40,33,40,0.0,0.09090909090909091,1.0,0.7272727272727273,2.6572773556504745,1.734024108496898,2.270886338639718,1.5654175154948975,3.0475677330456343,nan,nan,nan,nan,nan,3.663798745462913,1.947476073789916,2.6338703320116172,1.7398832478891189,3.6637987454629135,2.3956590358772205,1.66654228444796,2.3072740084521053,1.5872690803545204,2.3956590358772205,0.625,0.5,0.5714285714285714,0.5,0.625,0.625,0.5,0.5714285714285714,0.5,0.625,0.625,0.5,0.5714285714285714,0.5,0.625,0.9790178979525748,0.8389395657921822,0.9032062138935528,0.8095590953751746,1.066108806519,1.8489248577447897,1.1362522857946902,1.3500296740567264,0.9238958063157222,1.8489248577447897,A,S1_ideal,C,0.005
1.0,blind_rmse_M,39,40,39,40,0.0,0.05128205128205128,1.0,0.6666666666666666,2.8513533001228044,1.6083441252249582,1.7812692105276986,1.4456591119811284,3.135458061408859,nan,nan,nan,nan,nan,3.1480589885618917,1.6742412476042818,2.517740951264436,1.5232504344392743,3.637116087287962,2.1791555042019173,1.5218367273879223,1.9165172161244084,1.3451233559542346,2.3894305612041045,0.5714285714285714,0.5,0.5714285714285714,0.5,0.625,0.5714285714285714,0.5,0.5714285714285714,0.5,0.625,0.5714285714285714,0.5,0.5714285714285714,0.5,0.625,0.9941059304096819,0.8459707342534725,0.9217824183124944,0.8095590953751746,1.037332338764669,1.5912525860616495,0.8919017419610135,1.3030254689190213,0.8133428743555022,1.836866598722504,A,S1_ideal,C,0.01
0.625,param_err_pct,0,25,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,S1_ideal,C,5.0
1.0,param_err_pct,1,40,1,40,0.0,0.0,1.0,0.0,3.5505686664633513,3.5505686664633513,3.5505686664633513,3.5505686664633513,3.5505686664633513,nan,nan,nan,nan,nan,2.6624880718316573,2.6624880718316573,2.6624880718316573,2.6624880718316573,2.6624880718316573,1.921866047910608,1.921866047910608,1.921866047910608,1.921866047910608,1.921866047910608,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,1.096046713645726,1.096046713645726,1.096046713645726,1.096046713645726,1.096046713645726,1.3639792589351627,1.3639792589351627,1.3639792589351627,1.3639792589351627,1.3639792589351627,A,S1_ideal,C,10.0
1.0,param_err_pct,2,40,2,40,0.0,0.0,1.0,0.5,3.09206438920241,1.6945437935888092,2.39330409139561,2.0439239424922095,2.7426842402990097,nan,nan,nan,nan,nan,2.4332359332011864,1.5204472879726356,1.976841610586911,1.7486444492797732,2.2050387718940487,1.8184440134189535,1.574590690512815,1.6965173519658843,1.6355540212393498,1.7574806826924187,0.5714285714285714,0.5,0.5357142857142857,0.5178571428571428,0.5535714285714286,0.5714285714285714,0.5,0.5357142857142857,0.5178571428571428,0.5535714285714286,0.5714285714285714,0.5,0.5357142857142857,0.5178571428571428,0.5535714285714286,1.035865566646693,0.8667945750152549,0.951330070830974,0.9090623229231144,0.9935978187388335,1.2490927079720289,0.8133428743555022,1.0312177911637654,0.9222803327596338,1.1401552495678973,A,S1_ideal,C,20.0
1.0,param_err_pct,4,40,4,40,0.0,0.0,1.0,0.5,3.572244924435189,1.6945437935888092,2.8746708724264423,2.4165939651350583,3.2121095230106045,nan,nan,nan,nan,nan,4.9253369975856724,1.5204472879726356,3.04851733933205,2.2050387718940487,3.979183308493603,3.735390923226219,1.574590690512815,2.107051524648087,1.7574806826924187,2.73059200771447,0.6666666666666666,0.5,0.5357142857142857,0.5,0.5952380952380952,0.6666666666666666,0.5,0.5357142857142857,0.5,0.5952380952380952,0.6666666666666666,0.5,0.5357142857142857,0.5,0.5952380952380952,1.0883106964106843,0.8095590953751746,0.951330070830974,0.8524857051052348,1.0489768490876907,2.48504188808504,0.8133428743555022,1.5490087828584094,1.1401552495678973,2.007954115329852,A,S1_ideal,C,30.0
1.0,param_err_pct,32,40,32,40,0.09375,0.125,0.96875,0.78125,2.6572773556504745,1.4510992596940235,1.7695575681125275,1.388442721547963,2.791649561228678,nan,nan,nan,nan,nan,3.663798745462913,1.7122177682869233,2.4289611250160736,1.4573813915933274,3.6637987454629135,2.3832020865309884,1.3520075833710277,1.8048082983622389,1.1359302216334688,2.3956590358772205,0.5714285714285714,0.5,0.5,0.5,0.5714285714285714,0.5714285714285714,0.5,0.5,0.5,0.5714285714285714,0.5714285714285714,0.5,0.5,0.5,0.5714285714285714,0.9020038058069076,0.8095590953751746,0.8379858319755311,0.8095590953751746,0.9733150582826365,1.8489248577447894,0.8919017419610135,1.2577281274987364,0.774681833365206,1.8489248577447897,A,S1_ideal,C,50.0
1.0,blind_rmse_M,0,40,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,S1_ideal,D,0.001
1.0,blind_rmse_M,4,40,4,40,0.25,0.25,0.0,1.0,10.432525135608651,0.8765094106756179,5.262099514412158,1.2899230541329998,9.430484854056306,nan,nan,nan,nan,nan,5.319942795495293,0.9469495729754519,3.03318280585638,1.3075330947079582,4.808964206194298,2.833957747420493,0.7612789202591762,1.6571170171360814,0.9521262424424287,2.432358450181611,4.285714285714286,3.75,3.75,3.75,3.883928571428571,0.42857142857142855,0.375,0.375,0.375,0.38839285714285715,4.285714285714286,3.75,3.75,3.75,3.883928571428571,0.9469495729754519,0.7648913785839629,0.8392693067002585,0.7922001077426863,0.8946640901975551,2.802000489868613,0.6438782485318595,1.6608029861698654,0.8196430180001568,2.5330311458547596,A,S1_ideal,D,0.002
1.0,blind_rmse_M,33,40,33,40,0.15151515151515152,0.24242424242424243,0.0,0.7575757575757576,4.564130310144228,1.6374265795159417,2.569078242522906,1.3499512761705708,5.536829816684543,nan,nan,nan,nan,nan,4.638638009760633,1.273008178301195,1.828375959432689,1.0860337771233113,5.125139586701317,2.29849201776865,1.0566272628679085,1.3248620417428836,1.0222072483023479,2.833957747420493,4.285714285714286,3.75,3.75,3.75,4.285714285714286,0.42857142857142855,0.375,0.375,0.375,0.42857142857142855,4.285714285714286,3.75,3.75,3.75,4.285714285714286,0.975567312795492,0.8507445980440834,0.9189952321752672,0.8013030174622606,0.9756985963655116,2.4433746978501416,0.8023714676993132,1.0735254627876973,0.7383833389898956,2.6805176407835583,A,S1_ideal,D,0.005
