x_m,C_EGMA_T40C,C_EGMA_T70C,C_EGMA_T100C,C_EGMA_T130C,C_EGMA_T150C
4.92000000e-01,3.84314434e-02,1.22360352e-01,3.84864452e-02,1.09062202e-02,1.02020209e-02
4.95000000e-01,3.86357122e-02,1.22507329e-01,3.80681972e-02,1.09057051e-02,1.02020209e-02
4.98000000e-01,3.88396412e-02,1.22650145e-01,3.76560252e-02,1.09052238e-02,1.02020209e-02
5.01000000e-01,3.90432307e-02,1.22788839e-01,3.72498610e-02,1.09047739e-02,1.02020209e-02
5.04000000e-01,3.92464811e-02,1.22923449e-01,3.68496366e-02,1.09043535e-02,1.02020209e-02
5.07000000e-01,3.94493930e-02,1.23054016e-01,3.64552841e-02,1.09039606e-02,1.02020209e-02
5.10000000e-01,3.96519667e-02,1.23180577e-01,3.60667354e-02,1.09035934e-02,1.02020209e-02
5.13000000e-01,3.98542025e-02,1.23303171e-01,3.56839228e-02,1.09032503e-02,1.02020209e-02
5.16000000e-01,4.00561011e-02,1.23421836e-01,3.53067784e-02,1.09029296e-02,1.02020209e-02
5.19000000e-01,4.02576627e-02,1.23536610e-01,3.49352348e-02,1.09026299e-02,1.02020209e-02
5.22000000e-01,4.04588878e-02,1.23647529e-01,3.45692244e-02,1.09023498e-02,1.02020209e-02
5.25000000e-01,4.06597769e-02,1.23754632e-01,3.42086803e-02,1.09020881e-02,1.02020209e-02
5.28000000e-01,4.08603302e-02,1.23857955e-01,3.38535353e-02,1.09018435e-02,1.02020209e-02
5.31000000e-01,4.10605484e-02,1.23957535e-01,3.35037229e-02,1.09016149e-02,1.02020209e-02
5.34000000e-01,4.12604316e-02,1.24053407e-01,3.31591768e-02,1.09014012e-02,1.02020209e-02
5.37000000e-01,4.14599805e-02,1.24145609e-01,3.28198307e-02,1.09012016e-02,1.02020209e-02
5.40000000e-01,4.16591954e-02,1.24234175e-01,3.24856191e-02,1.09010150e-02,1.02020209e-02
5.43000000e-01,4.18580768e-02,1.24319141e-01,3.21564766e-02,1.09008406e-02,1.02020209e-02
5.46000000e-01,4.20566249e-02,1.24400542e-01,3.18323381e-02,1.09006776e-02,1.02020209e-02
5.49000000e-01,4.22548403e-02,1.24478413e-01,3.15131392e-02,1.09005253e-02,1.02020209e-02
5.52000000e-01,4.24527234e-02,1.24552789e-01,3.11988156e-02,1.09003830e-02,1.02020209e-02
5.55000000e-01,4.26502746e-02,1.24623703e-01,3.08893035e-02,1.09002500e-02,1.02020209e-02
5.58000000e-01,4.28474943e-02,1.24691191e-01,3.05845397e-02,1.09001257e-02,1.02020209e-02
5.61000000e-01,4.30443830e-02,1.24755286e-01,3.02844612e-02,1.09000095e-02,1.02020209e-02
5.64000000e-01,4.32409409e-02,1.24816021e-01,2.99890058e-02,1.08999009e-02,1.02020209e-02
5.67000000e-01,4.34371686e-02,1.24873430e-01,2.96981115e-02,1.08997994e-02,1.02020209e-02
5.70000000e-01,4.36330665e-02,1.24927545e-01,2.94117168e-02,1.08997046e-02,1.02020209e-02
5.73000000e-01,4.38286349e-02,1.24978400e-01,2.91297609e-02,1.08996160e-02,1.02020209e-02
5.76000000e-01,4.40238744e-02,1.25026027e-01,2.88521834e-02,1.08995332e-02,1.02020209e-02
5.79000000e-01,4.42187852e-02,1.25070458e-01,2.85789243e-02,1.08994558e-02,1.02020209e-02
5.82000000e-01,4.44133678e-02,1.25111725e-01,2.83099243e-02,1.08993835e-02,1.02020209e-02
5.85000000e-01,4.46076227e-02,1.25149860e-01,2.80451245e-02,1.08993159e-02,1.02020209e-02
5.88000000e-01,4.48015502e-02,1.25184894e-01,2.77844668e-02,1.08992527e-02,1.02020209e-02
5.91000000e-01,4.49951507e-02,1.25216858e-01,2.75278932e-02,1.08991937e-02,1.02020209e-02
5.94000000e-01,4.51884247e-02,1.25245784e-01,2.72753467e-02,1.08991385e-02,1.02020209e-02
5.97000000e-01,4.53813725e-02,1.25271703e-01,2.70267706e-02,1.08990869e-02,1.02020209e-02
6.00000000e-01,4.55739946e-02,1.25294644e-01,2.67821089e-02,1.08990388e-02,1.02020209e-02
