z_over_L,info_gain_nats,C_EGDA_M,C_EGMA_M,C_EG_M,C_AcOH_M
0.265,4.226321029080025,0.13955047429504233,0.15833161090268247,0.2021179148022748,0.5625674405072324
0.27479999999999993,4.215253617025675,0.13319493309440492,0.15661762930757592,0.2101874375980188,0.5769925045036138
0.28459999999999996,4.209449085938366,0.1271174965821193,0.15480766423669695,0.21807483918118342,0.5909573425990642
0.2944,4.206916193649748,0.12133733711180739,0.15290972181926218,0.2257529410689301,0.6044156039571226
0.3042,4.206339340367603,0.11581399438046235,0.15094862869954437,0.23323737691999294,0.6174233825395306
0.31399999999999995,4.206868265773944,0.11055800197692854,0.14893519682646753,0.2405068011966036,0.6299487992196751
0.3238,4.207966182240667,0.10554859056136787,0.1468857069381993,0.24756570250043244,0.6420171119390644
0.3336,4.2093035691031755,0.10075629271257425,0.14481419281578756,0.25442951447163786,0.6536732217590635
0.3434,4.210685629412758,0.09618337671403461,0.14272922004815572,0.26108740323780927,0.6649040265237744
0.3532,4.212003592716299,0.0918270325731738,0.14064009359217558,0.26753287383465024,0.6757058412614761
0.363,4.213202482838443,0.08768011166222413,0.13855641028169763,0.2737634780560779,0.6860833663938535
0.37279999999999996,4.214260084948936,0.08372824475417462,0.13648607778692673,0.2797856774588983,0.6960574327047235
0.3826,4.215173389172798,0.07994696599175735,0.13443389360750033,0.285619140400742,0.7056721744089844
0.39239999999999997,4.215949995577154,0.07632939384886087,0.13240436632308425,0.2912662398280545,0.7149368459791934
0.40219999999999995,4.216602770922265,0.07288632329884406,0.13040509111221252,0.29670858558894303,0.7238222622900987
0.412,4.217146614385813,0.06961209782428938,0.12844160725804907,0.3019462949176613,0.7323341970933716
0.4218,4.217596570537119,0.06649202668148535,0.12651646306380462,0.3069915102547097,0.7404994835732241
0.43160000000000004,4.217966801873415,0.0635061470126088,0.12462891360816293,0.31186493937922793,0.7483587923666188
0.44139999999999996,4.218270087207857,0.060649073594355646,0.1227808582945974,0.3165700681110466,0.7559209945166907
0.4512,4.218517637576684,0.05791881272539274,0.12097507573571556,0.3211061115388913,0.7631872988134984
0.461,4.218719097157968,0.05533201381191154,0.11922166334700011,0.32544632284108793,0.7701143090291762
0.47079999999999994,4.2188826457616315,0.052866936125626166,0.11751663768711905,0.32961642618725434,0.7767494900616279
0.48059999999999997,4.219015141081121,0.050507537714228765,0.11585632518425226,0.33363613710151857,0.7831285993872895
0.4904,4.219122296496056,0.04824959802800629,0.11424112585207946,0.3375092761199138,0.7892596780919072
0.5002,4.2192088268825625,0.04608904698005061,0.11267128356996335,0.3412396694499856,0.7951506224699348
0.51,4.219278615135971,0.04403837665675697,0.1111553538339042,0.34480626950933846,0.8007678928525813
