completed,faulted,last_valid_blind_rmse_M,last_valid_param_err_pct,nmr_acquisitions,nmr_reacquisitions,qc_rejected,rounds_completed,rounds_planned,runtime_s,scenario,seed,stop_reason,strategy
1,0,0.002292758043366136,9.329526425109469,101.0,21.0,6.0,8,8,128.0195870399475,S3ab_delay,7,budget exhausted,F
1,0,0.00047939102875898246,15.113451659491162,96.0,16.0,5.0,8,8,123.0434582233429,S3ab_delay,8,budget exhausted,F
1,0,0.0008034724974278124,3.917316075059274,109.0,29.0,11.0,8,8,126.50290298461914,S3ab_delay,9,budget exhausted,F
1,0,0.0007682788950888024,17.24789610656845,110.0,30.0,18.0,8,8,123.07977294921875,S3ab_delay,10,budget exhausted,F
1,0,0.0009083629819160659,26.862636393500484,91.0,11.0,1.0,8,8,129.40683007240295,S3ab_delay,11,budget exhausted,F
1,0,0.0008339683571116692,4.379741753193844,93.0,13.0,4.0,8,8,134.30782890319824,S3ab_delay,12,budget exhausted,F
1,0,0.0007384267519137122,3.540738568699897,95.0,15.0,7.0,8,8,125.0819981098175,S3ab_delay,13,budget exhausted,F
1,0,0.0007808270325142882,4.061339979380296,104.0,24.0,5.0,8,8,130.48828315734863,S3ab_delay,14,budget exhausted,F
0,1,0.001119604953449743,1.4564708301165297,89.0,29.0,21.0,5,8,89.95324420928955,S3ab_delay,15,MEASUREMENT_FAULT: QC rejected 8 positions in round 6; campaign paused,F
1,0,0.0015996784321883348,2.4603776791835674,97.0,17.0,3.0,8,8,125.27081608772278,S3ab_delay,16,budget exhausted,F
1,0,0.00125682933395221,40.054128680394484,95.0,15.0,4.0,8,8,124.2827639579773,S3ab_delay,17,budget exhausted,F
1,0,0.0016748041030407138,20.42622633776814,91.0,11.0,3.0,8,8,128.85361289978027,S3ab_delay,18,budget exhausted,F
1,0,0.0004895042229137047,15.188906183731588,111.0,31.0,14.0,8,8,126.91325402259827,S3ab_delay,19,budget exhausted,F
1,0,0.0008527050292114594,2.495938304641765,98.0,18.0,4.0,8,8,123.6953809261322,S3ab_delay,20,budget exhausted,F
1,0,0.00040588771643236955,38.78955004115259,101.0,21.0,7.0,8,8,122.72598767280579,S3ab_delay,21,budget exhausted,F
1,0,0.0008023005624417168,38.42854030091176,99.0,19.0,6.0,8,8,128.68863010406494,S3ab_delay,22,budget exhausted,F
1,0,0.0007673907713385406,15.724530412609239,93.0,13.0,6.0,8,8,127.07482314109802,S3ab_delay,23,budget exhausted,F
1,0,0.0008350441194112176,7.0304006879886805,93.0,13.0,3.0,8,8,125.67592883110046,S3ab_delay,24,budget exhausted,F
