scenario_id,catalyst,geometry,is_pareto_optimal,Y_EGMA,S_EGMA,STY_EGMA_mol_Lreactor_h,temp_C,C_catalyst_feed_M,tau_s,Y_EG,C_EGDA_feed_M,Q_total_mL_min
6db2580c10d48da8,H2SO4,A,True,0.00054831276535,0.999877599093,0.017453337382,25,0.4,11.3097335529,6.71221951894e-08,0.2,4
038718557a2b3273,H2SO4,A,True,0.000365590238278,0.999918399312,0.0174556480572,25,0.4,7.53982236862,2.98348495984e-08,0.2,6
9f3bb762232fbab4,H2SO4,A,True,0.0002742108287,0.999938799452,0.0174568035539,25,0.4,5.65486677646,1.67828801984e-08,0.2,8
684c9881cecaf56d,H2SO4,A,True,0.000219377375462,0.999951039545,0.0174574968169,25,0.4,4.52389342117,1.07413418507e-08,0.2,10
2a1e927494e0aca6,H2SO4,A,True,0.0010881721306,0.999756986756,0.0259781960932,25,0.4,22.6194671058,2.64504517235e-07,0.3,2
92e5d81b8990a92d,H2SO4,A,True,0.000544300746234,0.999878495049,0.0259884462764,25,0.4,11.3097335529,6.61432722135e-08,0.3,4
3cb2b634ee879999,H2SO4,A,True,0.000362914883502,0.999918996613,0.0259918639219,25,0.4,7.53982236862,2.93997161745e-08,0.3,6
c4e03004b8c21a7f,H2SO4,A,True,0.000272204059313,0.999939247426,0.0259935729435,25,0.4,5.65486677646,1.65381019504e-08,0.3,8
34f41a8defd609b4,H2SO4,A,True,0.000217771838354,0.999951397924,0.0259945984425,25,0.4,4.52389342117,1.0584677775e-08,0.3,10
1fa757bec5601dc4,H2SO4,A,True,0.00108015408107,0.999758778049,0.0343823722266,25,0.4,22.6194671058,2.60619742242e-07,0.4,2
f6e4dc0a465a1bc3,H2SO4,A,True,0.0005402887058,0.999879391001,0.034395847239,25,0.4,11.3097335529,6.51715402508e-08,0.4,4
b4f0018897e2c947,H2SO4,A,True,0.000360239519251,0.999919593914,0.0344003401353,25,0.4,7.53982236862,2.89677790319e-08,0.4,6
819297eb839104dd,H2SO4,A,True,0.000270197284595,0.999939695401,0.0344025867505,25,0.4,5.65486677646,1.62951217519e-08,0.4,8
9388a67c2eb444a2,H2SO4,A,True,0.000216166297835,0.999951756303,0.0344039348566,25,0.4,4.52389342117,1.04291645152e-08,0.4,10
28399ed52078faf9,H2SO4,A,True,0.00107213594772,0.999760569839,0.0426589339477,25,0.4,22.6194671058,2.56763159769e-07,0.5,2
aeea113a751d5bfc,H2SO4,A,True,0.00053627664405,0.99988028695,0.0426755393787,25,0.4,11.3097335529,6.42069991107e-08,0.5,4
ac66c2c5e1e34cd0,H2SO4,A,True,0.000357564145524,0.999920191214,0.0426810759335,25,0.4,7.53982236862,2.85390381539e-08,0.5,6
e991c939a494b0c5,H2SO4,A,True,0.000268190504546,0.999940143374,0.0426838444656,25,0.4,5.65486677646,1.60539396009e-08,0.5,8
cd39a6dea79fb34f,H2SO4,A,True,0.000214560753904,0.999952114682,0.0426855057408,25,0.4,4.52389342117,1.02748020712e-08,0.5,10
7145607916af6d24,H2SO4,A,True,0.00136192793994,0.999695791223,0.0108378781893,25,0.5,22.6194671058,4.1443650878e-07,0.1,2
026baf383eac3cc3,H2SO4,A,True,0.000681299907682,0.999847897581,0.0108432248086,25,0.5,11.3097335529,1.03643128024e-07,0.1,4
d5f16f6a4e62aab8,H2SO4,A,True,0.000454274616276,0.999898598265,0.0108450075986,25,0.5,7.53982236862,4.60689052919e-08,0.1,6
5d62a6769abf5211,H2SO4,A,True,0.00034073397018,0.999923948654,0.010845899121,25,0.5,5.65486677646,2.59152481339e-08,0.1,8
68b1bdee8c2e68c8,H2SO4,A,True,0.000272600620941,0.999939158901,0.0108464340407,25,0.5,4.52389342117,1.65863305993e-08,0.1,10
9102b997b6fccf59,H2SO4,A,True,0.00135199191874,0.999698010314,0.0215176197088,25,0.5,22.6194671058,4.0841095177e-07,0.2,2
ff737c5637b2f5e0,H2SO4,A,True,0.000676327224023,0.999849008281,0.0215281641694,25,0.5,11.3097335529,1.02135231773e-07,0.2,4
6a92d40f048c8814,H2SO4,A,True,0.000450958453917,0.999899338728,0.021531680125,25,0.5,7.53982236862,4.53986212351e-08,0.2,6
b443b29cb4e9b26c,H2SO4,A,True,0.000338246458356,0.999924503998,0.0215334383096,25,0.5,5.65486677646,2.55381833666e-08,0.2,8
8ea81386f6e9771c,H2SO4,A,True,0.000270610424235,0.999939603175,0.0215344933159,25,0.5,4.52389342117,1.63449976893e-08,0.2,10
054444b43ef36d7e,H2SO4,A,True,0.00134205577078,0.99970023057,0.0320392215347,25,0.5,22.6194671058,4.02427928154e-07,0.3,2
95a96a0476595aff,H2SO4,A,True,0.000671354507603,0.999850118973,0.0320548164909,25,0.5,11.3097335529,1.00638387317e-07,0.3,4
3d3bc6ffc78cbee0,H2SO4,A,True,0.000447642276996,0.999900079189,0.0320600164808,25,0.5,7.53982236862,4.4733248992e-08,0.3,6
03de56a31a672daa,H2SO4,A,True,0.000335758938341,0.999925059342,0.0320626168657,25,0.5,5.65486677646,2.51638816783e-08,0.3,8
2f7a43cde335965b,H2SO4,A,True,0.000268620222287,0.999940047447,0.0320641771093,25,0.5,4.52389342117,1.61054332526e-08,0.3,10
3f90bd03023e37ed,H2SO4,A,True,0.00133211949314,0.999702451159,0.0424026804837,25,0.5,22.6194671058,3.96488585375e-07,0.4,2
5c3f01a12c07b990,H2SO4,A,True,0.000666381758423,0.999851229657,0.0424231804361,25,0.5,11.3097335529,9.91525940152e-08,0.4,4
11710f13c7d96d96,H2SO4,A,True,0.000444326085515,0.999900819648,0.0424300157112,25,0.5,7.53982236862,4.40727884991e-08,0.4,6
0220bd0383514d5c,H2SO4,A,True,0.000333271410136,0.999925614685,0.0424334338342,25,0.5,5.65486677646,2.47923430586e-08,0.4,8
3b54b5ddd4261f79,H2SO4,A,True,0.000266630015096,0.999940491722,0.0424354848639,25,0.5,4.52389342117,1.58676372875e-08,0.4,10
4278fc16278c4236,H2SO4,A,True,0.00132218308639,0.99970467226,0.0526079935319,25,0.5,22.6194671058,3.90592694916e-07,0.5,2
e374c1ff50cc703c,H2SO4,A,True,0.000661408975878,0.999852339971,0.0526332539679,25,0.5,11.3097335529,9.76780913754e-08,0.5,4
17e8e85765a05abf,H2SO4,A,True,0.000441009879473,0.999901560106,0.0526416767658,25,0.5,7.53982236862,4.34172396958e-08,0.5,6
9df9e2eee230ed52,H2SO4,A,True,0.000330783873739,0.999926170028,0.0526458885785,25,0.5,5.65486677646,2.44235674973e-08,0.5,8
b7cfbced2a88ff0e,H2SO4,A,True,0.000264639802663,0.999940935996,0.0526484159431,25,0.5,4.52389342117,1.56316097922e-08,0.5,10
33a49931ca048840,H2SO4,A,True,0.000855724445967,0.999801403881,0.00680963877527,40,0.1,22.6194671058,1.69977310423e-07,0.1,2
cc010d4999cc5736,H2SO4,A,True,0.000427996395753,0.999900701457,0.00681177420489,40,0.1,11.3097335529,4.25036392173e-08,0.1,4
207d8baddc4d7f3a,H2SO4,A,True,0.000285360753486,0.999933800863,0.00681248618453,40,0.1,7.53982236862,1.88918862927e-08,0.1,6
54910fec9d3cce05,H2SO4,A,True,0.000214031749692,0.999950350607,0.00681284219822,40,0.1,5.65486677646,1.06270741981e-08,0.1,8
a60a15c5c38f8c0c,H2SO4,A,True,0.000171230768597,0.999960280466,0.00681305580803,40,0.1,4.52389342117,6.80147654716e-09,0.1,10
efa34deefc35570e,H2SO4,A,True,0.00084959949921,0.999802826202,0.0135217959914,40,0.1,22.6194671058,1.67551796888e-07,0.2,2
a64412fd5cc96927,H2SO4,A,True,0.000424932088826,0.999901412617,0.0135260084885,40,0.1,11.3097335529,4.18970728379e-08,0.2,4
5110b9844e9cf838,H2SO4,A,True,0.000283317474599,0.999934274968,0.0135274129832,40,0.1,7.53982236862,1.86222740011e-08,0.2,6
14b354cb72d784a1,H2SO4,A,True,0.000212499137656,0.999950706184,0.0135281152862,40,0.1,5.65486677646,1.04754096629e-08,0.2,8
ff004e6343f6d100,H2SO4,A,True,0.000170004605585,0.999960564926,0.0135285366966,40,0.1,4.52389342117,6.70440832381e-09,0.2,10
e9dd19cce486f696,H2SO4,A,True,0.000843474502055,0.999804248503,0.020136470407,40,0.1,22.6194671058,1.65143723862e-07,0.3,2
e4f482614dbc73cf,H2SO4,A,True,0.0004218677693,0.999902123777,0.0201427022462,40,0.1,11.3097335529,4.12948655671e-08,0.3,4
4b85807dce4c9069,H2SO4,A,True,0.000281274190113,0.999934749074,0.0201447799662,40,0.1,7.53982236862,1.83545992841e-08,0.3,6
6cf8dc2b2a46262c,H2SO4,A,True,0.00021096652247,0.999951061762,0.0201458189456,40,0.1,5.65486677646,1.03248350904e-08,0.3,8
f52eaeaef5e3caa4,H2SO4,A,True,0.000168778440557,0.99996084939,0.0201464423396,40,0.1,4.52389342117,6.60803770944e-09,0.3,10
185fca9559c2f7fc,H2SO4,A,True,0.000837349451418,0.999805669287,0.0266536608126,40,0.1,22.6194671058,1.62754343818e-07,0.4,2
bf7824e32445f05f,H2SO4,A,True,0.000418803437177,0.999902834936,0.026661854873,40,0.1,11.3097335529,4.06970173581e-08,0.4,4
474a1ca88d7e4fdd,H2SO4,A,True,0.000279230900027,0.999935223178,0.0266645867994,40,0.1,7.53982236862,1.80888621387e-08,0.4,6
da863ade8c942d2a,H2SO4,A,True,0.000209433904134,0.999951417339,0.0266659528581,40,0.1,5.65486677646,1.01753504806e-08,0.4,8
7e4a363fe1f8284b,H2SO4,A,True,0.000167552273512,0.999961133851,0.0266667725538,40,0.1,4.52389342117,6.51236470444e-09,0.4,10
6c217fb8045179d4,H2SO4,A,True,0.000831224353597,0.999807091598,0.0330733661098,40,0.1,22.6194671058,1.60381100355e-07,0.5,2
322ea31a5a624e9b,H2SO4,A,True,0.000415739092456,0.999903546092,0.0330834657642,40,0.1,11.3097335529,4.0103528166e-08,0.5,4
e7df219b474000ac,H2SO4,A,True,0.000277187604341,0.999935697283,0.033086833053,40,0.1,7.53982236862,1.78250625619e-08,0.5,6
55d069b93955fad1,H2SO4,A,True,0.000207901282648,0.999951772917,0.0330885168328,40,0.1,5.65486677646,1.00269558337e-08,0.5,8
d4a44b6374e94d5c,H2SO4,A,True,0.000166326104452,0.999961418313,0.0330895271006,40,0.1,4.52389342117,6.41738930925e-09,0.5,10
