scenario_id,catalyst,geometry,temp_C,C_EGDA_feed_M,C_catalyst_feed_M,Q_total_mL_min,tau_s,C_EGMA_peak_M,Y_EGMA_peak,x_peak_m,tau_peak_s,x_peak_over_L,tau_peak_over_tau_out,peak_is_interior,peak_is_at_outlet,remaining_length_after_peak_m,remaining_time_after_peak_s,EGMA_increasing_at_outlet,peak95_start_x_m,peak95_end_x_m,peak95_width_m,peak95_width_over_L,peak95_start_tau_s,peak95_end_tau_s,peak95_width_s
ecba2c16d399b855,H2SO4,A,25,0.4,0.2,4,11.3097335529,5.66325186e-05,0.000283162593,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
d20f30018772bd6a,H2SO4,A,25,0.4,0.2,6,7.53982236862,3.77575964e-05,0.000188787982,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
a3f79bd318c3dd6e,H2SO4,A,25,0.4,0.2,8,5.65486677646,2.83191664e-05,0.000141595832,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
24363320cf83c159,H2SO4,A,25,0.4,0.2,10,4.52389342117,2.26557983e-05,0.000113278991,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
c1eaf8855325a1bf,H2SO4,A,25,0.5,0.2,2,22.6194671058,0.000140511491,0.000562045963,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
a4c6bb268e53cd4f,H2SO4,A,25,0.5,0.2,4,11.3097335529,7.02700747e-05,0.000281080299,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
75fa74acb99fac7c,H2SO4,A,25,0.5,0.2,6,7.53982236862,4.68499013e-05,0.000187399605,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
c3e498dc1520fc5b,H2SO4,A,25,0.5,0.2,8,5.65486677646,3.51386203e-05,0.000140554481,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
f4e83328ef19751a,H2SO4,A,25,0.5,0.2,10,4.52389342117,2.81114695e-05,0.000112445878,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
50a639ff62ebb1d8,H2SO4,A,25,0.1,0.3,2,22.6194671058,4.21663744e-05,0.000843327488,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
25424d6cd86fa47a,H2SO4,A,25,0.1,0.3,4,11.3097335529,2.10896246e-05,0.000421792491,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
c1559e5e230d2834,H2SO4,A,25,0.1,0.3,6,7.53982236862,1.40611805e-05,0.000281223611,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
89e9e8856d5435ba,H2SO4,A,25,0.1,0.3,8,5.65486677646,1.0546422e-05,0.00021092844,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
5ce78ef511801776,H2SO4,A,25,0.1,0.3,10,4.52389342117,8.4373952e-06,0.000168747904,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
30e7e51a072af984,H2SO4,A,25,0.2,0.3,2,22.6194671058,8.3723259e-05,0.00083723259,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
18b9fd545c8f1c48,H2SO4,A,25,0.2,0.3,4,11.3097335529,4.18743266e-05,0.000418743266,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
851d5422273ae77a,H2SO4,A,25,0.2,0.3,6,7.53982236862,2.791904e-05,0.0002791904,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
8304e56596292824,H2SO4,A,25,0.2,0.3,8,5.65486677646,2.09403384e-05,0.000209403384,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
f130cacb0f5d5711,H2SO4,A,25,0.2,0.3,10,4.52389342117,1.67527788e-05,0.000167527788,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
c3a6950560bc48c2,H2SO4,A,25,0.3,0.3,2,22.6194671058,0.000124670646,0.000831137639,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
82d9873c2af552e4,H2SO4,A,25,0.3,0.3,4,11.3097335529,6.23541044e-05,0.000415694029,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
3d086a11e9820f39,H2SO4,A,25,0.3,0.3,6,7.53982236862,4.15735774e-05,0.000277157183,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
3128e5cb5c8ae67c,H2SO4,A,25,0.3,0.3,8,5.65486677646,3.11817487e-05,0.000207878324,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
3d491f9710bdc9e5,H2SO4,A,25,0.3,0.3,10,4.52389342117,2.49461504e-05,0.00016630767,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
11f8cd48021bd747,H2SO4,A,25,0.4,0.3,2,22.6194671058,0.000165008529,0.000825042644,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
178c03b6f596721e,H2SO4,A,25,0.4,0.3,4,11.3097335529,8.25289559e-05,0.00041264478,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
d4d11bd2053c47ec,H2SO4,A,25,0.4,0.3,6,7.53982236862,5.50247922e-05,0.000275123961,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
5bec66b4dfe12293,H2SO4,A,25,0.4,0.3,8,5.65486677646,4.12706524e-05,0.000206353262,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
