catalyst,temp_C,C_catalyst_feed_M,C_EGDA_feed_M,scenario_id_A,scenario_id_B,Da1_A,Da1_B,absolute_log_Da1_distance,exact_Da1_match,tau_A_s,tau_B_s,X_EGDA_A,X_EGDA_B,delta_X_EGDA_B_minus_A,Y_EGMA_A,Y_EGMA_B,delta_Y_EGMA_B_minus_A,S_EGMA_A,S_EGMA_B,delta_S_EGMA_B_minus_A,matching_method
H2SO4,25,0.1,0.5,ac11cc9dc7fab065,103b7bb10e9d606d,7.52892449092e-05,0.00508202403137,4.21212759788,False,5.65486677646,381.703507411,7.48416890927e-05,0.00503920598411,0.00496436429502,7.48404391547e-05,0.00503352472121,0.00495868428206,0.999983298907,0.998872587682,-0.00111071122547,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.1,0.5,7f9f7ad9738d2f5b,940e355d49f756fc,6.02313959273e-05,0.0203280961255,5.82156551031,False,4.52389342117,1526.81402964,5.98738014252e-05,0.0200042717974,0.0199443979959,5.98730014591e-05,0.0199140389426,0.0198541659411,0.999986639129,0.995489320696,-0.00449731843333,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.1,6ae51f725fc2ef98,c0c950da2f7ce924,0.000568429139431,0.0191844834558,3.51898041732,False,22.6194671058,763.407014822,0.00057877243059,0.0193494061426,0.018770633712,0.000578697660946,0.0192650134481,0.0186863157872,0.999870813397,0.995638486583,-0.00423232681324,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.1,88f0530e09f45738,0ca3a9ef8b647bdd,0.000284214569715,0.0383689669116,4.90527477844,False,11.3097335529,1526.81402964,0.000289428136229,0.038324065106,0.0380346369698,0.000289409441081,0.0379896572786,0.0377002478375,0.9999354066,0.991274207824,-0.0086611987755,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.1,6c43ae302a9aa90f,d8139c62587a1087,0.00018947637981,0.00959224172789,3.92444552543,False,7.53982236862,381.703507411,0.000192961407836,0.00972200467846,0.00952904327063,0.000192953098476,0.00970080684482,0.00950785374635,0.999956937711,0.997819602609,-0.00213733510229,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.1,3c5d3dfb7bdd8cd4,3dbec2089577904e,0.000142107284858,0.0127896556372,4.49980967033,False,5.65486677646,508.938009882,0.000144724549934,0.0129416044189,0.012796879869,0.000144719875805,0.0129039785457,0.0127592586698,0.999967703274,0.9970926423,-0.00287506097392,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.1,b35b8fe168071242,e4b4d306e52ce3c2,0.000113685827886,0.00767379338231,4.21212759788,False,4.52389342117,305.362805929,0.00011578131714,0.0077852015546,0.00766942023746,0.000115778325654,0.00777162214412,0.00765584381846,0.999974162616,0.998255740665,-0.00171842195047,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.2,5fbb402b4202a12b,dff94957ac1ef135,0.000568429139431,0.0191844834558,3.51898041732,False,22.6194671058,763.407014822,0.000574608468361,0.0192113399773,0.0186367315089,0.000574534770853,0.0191281533712,0.0185536186004,0.999871743087,0.995669921714,-0.00420182137239,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.2,eade8eff9c1c6985,e710b5d8051f32d5,0.000284214569715,0.0383689669116,4.90527477844,False,11.3097335529,1526.81402964,0.000287345591198,0.0380529141991,0.0377655686079,0.000287327164138,0.0377232692745,0.0374359421103,0.999935871439,0.991337196334,-0.00859867510539,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.2,cc728dc17d5b3d22,fc7799d7828ac7b3,0.00018947637981,0.00959224172789,3.92444552543,False,7.53982236862,381.703507411,0.000191572919139,0.00965233901719,0.00946076609805,0.000191564728937,0.00963144464835,0.00943987991941,0.999957247602,0.997835305121,-0.00212194248119,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.2,8a4f31fd466cbeb8,96579bde02d56f45,0.000142107284858,0.0127896556372,4.49980967033,False,5.65486677646,508.938009882,0.000143683136404,0.0128489990049,0.0127053158685,0.000143678529304,0.0128119114713,0.012668232942,0.999967935692,0.997113585766,-0.00285434992595,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.2,286b4a5b719c65d3,55422d89ae9b82cb,0.000113685827886,0.00767379338231,4.21212759788,False,4.52389342117,305.362805929,0.000114948163751,0.00772936717098,0.00761441900723,0.000114945215164,0.00771598222697,0.00760103701181,0.99997434855,0.998268300146,-0.00170604840445,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.3,e02378dab38b6022,ce60f0719fe56ab4,0.000568429139431,0.0191844834558,3.51898041732,False,22.6194671058,763.407014822,0.000570444490922,0.019073256876,0.0185028123851,0.000570371857807,0.0189912677397,0.0184208958819,0.999872672774,0.995701356262,-0.00417131651153,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.3,15fb80ac268e7084,00be020a1bf7054b,0.000284214569715,0.0383689669116,4.90527477844,False,11.3097335529,1526.81402964,0.000285263042363,0.037781697074,0.0374964340316,0.000285244881456,0.037456781358,0.0371715364765,0.999936336279,0.991400182068,-0.00853615421103,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.3,b86895c5bf212eec,163f12a244812308,0.00018947637981,0.00959224172789,3.92444552543,False,7.53982236862,381.703507411,0.000190184428752,0.00958266907595,0.0093924846472,0.000190176356848,0.00956207599405,0.0093718996372,0.999957557493,0.997851007716,-0.00210654977685,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.3,03dcbc6fecb56bae,385076682bdda2dd,0.000142107284858,0.0127896556372,4.49980967033,False,5.65486677646,508.938009882,0.000142641721923,0.0127563860083,0.0126137442863,0.000142637181368,0.0127198329556,0.0125771957742,0.99996816811,0.997134529117,-0.00283363899279,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.3,76eb3d3407ee1634,a5436b6a9ea32137,0.000113685827886,0.00767379338231,4.21212759788,False,4.52389342117,305.362805929,0.000114115009754,0.00767353004314,0.00755941503339,0.000114112103757,0.00766033816936,0.00754622606561,0.999974534484,0.998280859825,-0.00169367465887,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.4,87ca265516786d03,12b57fc491267683,0.000568429139431,0.0191844834558,3.51898041732,False,22.6194671058,763.407014822,0.000566280498273,0.018935156833,0.0183688763347,0.000566208921809,0.0188543565448,0.018288147623,0.999873602455,0.995732790131,-0.00414081232413,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.4,ecba2c16d399b855,ceb8a91c4093a985,0.000284214569715,0.0383689669116,4.90527477844,False,11.3097335529,1526.81402964,0.000283180489725,0.0375104137025,0.0372272332128,0.000283162593035,0.037190193487,0.036907030894,0.99993680112,0.991463164922,-0.00847363619757,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.4,d20f30018772bd6a,d3d4b785257c675d,0.00018947637981,0.00959224172789,3.92444552543,False,7.53982236862,381.703507411,0.000188795936674,0.00951299485143,0.00932419891476,0.000188787982207,0.00949270087652,0.00930391289432,0.999957867385,0.997866710198,-0.00209115718768,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.4,a3f79bd318c3dd6e,bc87cd15074c21e5,0.000142107284858,0.0127896556372,4.49980967033,False,5.65486677646,508.938009882,0.000141600306491,0.0126637654251,0.0125221651186,0.000141595831996,0.0126277429923,0.0124861471603,0.99996840053,0.997155472202,-0.00281292832817,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.4,24363320cf83c159,cb33c8f2a2b4a88e,0.000113685827886,0.00767379338231,4.21212759788,False,4.52389342117,305.362805929,0.000113281855149,0.00761769016813,0.00750440831298,0.00011327899143,0.00760468996645,0.00749141097502,0.999974720416,0.998293419476,-0.00168130094076,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.5,c1eaf8855325a1bf,692cb46a2757f0fe,0.000568429139431,0.0191844834558,3.51898041732,False,22.6194671058,763.407014822,0.000562116490415,0.0187970398446,0.0182349233542,0.000562045962858,0.0187174197811,0.0181553738183,0.999874532134,0.995764223297,-0.00411030883744,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.5,a4c6bb268e53cd4f,618902161304de32,0.000284214569715,0.0383689669116,4.90527477844,False,11.3097335529,1526.81402964,0.000281097933284,0.037239064062,0.0369579661287,0.000281080298875,0.0369235056289,0.03664242533,0.999937265959,0.991526144894,-0.00841112106472,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.5,75fa74acb99fac7c,d58e115d9a211fa3,0.00018947637981,0.00959224172789,3.92444552543,False,7.53982236862,381.703507411,0.000187407442905,0.00944331634261,0.0092559088997,0.000187399605016,0.00942331929419,0.00923591968917,0.999958177277,0.997882412524,-0.00207576475333,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.5,c3e498dc1520fc5b,7b5d0eacb3c5ebd6,0.000142107284858,0.0127896556372,4.49980967033,False,5.65486677646,508.938009882,0.000140558890108,0.0125711372537,0.0124305783636,0.00014055448119,0.012535641579,0.0123950870978,0.999968632949,0.997176414985,-0.00279221796312,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.2,0.5,f4e83328ef19751a,f4441e69d834470c,0.000113685827886,0.00767379338231,4.21212759788,False,4.52389342117,305.362805929,0.000112448699934,0.00756184754515,0.00744939884522,0.000112445878186,0.00754903761697,0.00743659173878,0.999974906353,0.998305979047,-0.0016689273053,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.1,50a639ff62ebb1d8,7436587475cfdc82,0.000832543043504,0.0280983277183,3.51898041732,False,22.6194671058,763.407014822,0.000843486314862,0.028077600058,0.0272341137432,0.000843327488463,0.0278990792657,0.0270557517772,0.999811702458,0.993641878508,-0.00616982395027,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.1,25424d6cd86fa47a,ed9248929bd4d2ce,0.000416271521752,0.0112393310873,3.295836866,False,11.3097335529,305.362805929,0.000421832206263,0.0113271749647,0.0109053427584,0.000421792491191,0.0112983753261,0.010876582835,0.999905851021,0.997457473853,-0.00244837716753,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.1,c1559e5e230d2834,e11965e2114b8f93,0.000277514347835,0.0187322184788,4.21212759788,False,7.53982236862,508.938009882,0.000281241263351,0.0188071891251,0.0185259478617,0.000281223610952,0.0187274826507,0.0184462590398,0.999937233967,0.995761914561,-0.00417531940571,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.1,89e9e8856d5435ba,506ab71c492a689e,0.000208135760876,0.0140491638591,4.21212759788,False,5.65486677646,381.703507411,0.00021093837025,0.0141388456651,0.0139279072949,0.000210928440423,0.0140939080152,0.0138829795748,0.999952925457,0.996821688916,-0.00313123654069,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.1,5ce78ef511801776,9b032ec89fe95405,0.000166508608701,0.0561966554365,5.82156551031,False,4.52389342117,1526.81402964,0.000168754259253,0.0553660983633,0.0551973441041,0.000168747904028,0.0546617357465,0.0544929878424,0.999962340358,0.987278088258,-0.0126842520997,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.2,30e7e51a072af984,230e075dc61a18a4,0.000832543043504,0.0280983277183,3.51898041732,False,22.6194671058,763.407014822,0.00083738912774,0.0278770617171,0.0270396725894,0.000837232589666,0.0277011005683,0.0268638679787,0.99981306412,0.993687959278,-0.00612510484154,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.2,18b9fd545c8f1c48,b85d8248c59b11d4,0.000416271521752,0.0112393310873,3.295836866,False,11.3097335529,305.362805929,0.000418782409148,0.0112456705794,0.0108268881703,0.00041874326633,0.0112172851084,0.0107985418421,0.999906531848,0.997475875649,-0.00243065619923,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.2,851d5422273ae77a,4c6587348b7e244d,0.000277514347835,0.0187322184788,4.21212759788,False,7.53982236862,508.938009882,0.00027920779773,0.0186723082206,0.0183931004228,0.000279190399692,0.0185937464811,0.0183145560814,0.999937687849,0.995792606972,-0.00414508087717,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
