catalyst,geometry,response,n_scenarios,balanced_grid,total_variance,method,interaction_order,factor,level,effect,component_variance,contribution_fraction,reconstruction_residual
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,40.0|0.3,-8.75839246281e-07,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,40.0|0.4,0.000418394833281,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,40.0|0.5,0.000838544540061,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,60.0|0.1,-0.000797684620473,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,60.0|0.2,-0.000399715522354,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,60.0|0.3,-8.74804441692e-07,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,60.0|0.4,0.000398840714348,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,60.0|0.5,0.000799434232921,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,80.0|0.1,-0.000687324283683,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,80.0|0.2,-0.000344526186419,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,80.0|0.3,-8.65634010735e-07,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,80.0|0.4,0.000343660547841,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,80.0|0.5,0.000689055556272,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,100.0|0.1,-0.0004177455977,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,100.0|0.2,-0.000209674780106,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,100.0|0.3,-8.03551781746e-07,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,100.0|0.4,0.000208871224041,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,100.0|0.5,0.000419352705547,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,120.0|0.1,0.000143899124804,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,120.0|0.2,7.14676566198e-05,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,120.0|0.3,-4.83248940961e-07,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,120.0|0.4,-7.19509102886e-05,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,120.0|0.5,-0.000142932622194,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,140.0|0.1,0.00110147706482,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,140.0|0.2,0.000551478361335,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,140.0|0.3,7.40254656531e-07,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,140.0|0.4,-0.000550738107185,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,140.0|0.5,-0.00110295757363,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,160.0|0.1,0.00234118022913,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,160.0|0.2,0.00117462000462,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,160.0|0.3,4.03874358228e-06,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,160.0|0.4,-0.00117058123581,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,160.0|0.5,-0.00234925774152,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,25.0|2.0,-0.0653554294353,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,25.0|4.0,-0.0088227077116,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,25.0|6.0,0.0139584513582,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,25.0|8.0,0.0262600889526,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,25.0|10.0,0.0339595968362,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,40.0|2.0,-0.0645299255208,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,40.0|4.0,-0.00875658094359,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,40.0|6.0,0.0137711284815,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,40.0|8.0,0.0259459804632,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,40.0|10.0,0.0335693975198,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,60.0|2.0,-0.0613713259701,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,60.0|4.0,-0.00850097149423,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,60.0|6.0,0.0130549326493,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,60.0|8.0,0.0247431031049,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,60.0|10.0,0.0320742617101,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,80.0|2.0,-0.0524704130069,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,80.0|4.0,-0.00775807760529,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,80.0|6.0,0.011041532839,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,80.0|8.0,0.0213445641712,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,80.0|10.0,0.0278423936019,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,100.0|2.0,-0.0308135940108,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,100.0|4.0,-0.00580359461658,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,100.0|6.0,0.00617461811855,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,100.0|8.0,0.0130181210258,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,100.0|10.0,0.0174244494831,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,120.0|2.0,0.0138057190736,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,120.0|4.0,-0.00103056987057,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,120.0|6.0,-0.00368531115587,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,120.0|8.0,-0.00442797825034,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,120.0|10.0,-0.0046618597968,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,140.0|2.0,0.087419433441,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,140.0|4.0,0.00976807238192,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,140.0|6.0,-0.0192492582954,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,140.0|8.0,-0.0343467672964,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,140.0|10.0,-0.0435914802311,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,160.0|2.0,0.173315535429,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,160.0|4.0,0.0309044298599,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,160.0|6.0,-0.0350660939952,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,160.0|8.0,-0.0725371121709,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*Q_total_mL_min,160.0|10.0,-0.0966167591231,0.00205454840166,0.144682914794,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,C_catalyst_feed_M*C_EGDA_feed_M,0.1|0.1,-0.000490698185881,5.09184302839e-08,3.58571591901e-06,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,C_catalyst_feed_M*C_EGDA_feed_M,0.1|0.2,-0.000246095554019,5.09184302839e-08,3.58571591901e-06,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,C_catalyst_feed_M*C_EGDA_feed_M,0.1|0.3,-7.47973375029e-07,5.09184302839e-08,3.58571591901e-06,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,C_catalyst_feed_M*C_EGDA_feed_M,0.1|0.4,0.000245347575926,5.09184302839e-08,3.58571591901e-06,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,C_catalyst_feed_M*C_EGDA_feed_M,0.1|0.5,0.000492194137349,5.09184302839e-08,3.58571591901e-06,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,C_catalyst_feed_M*C_EGDA_feed_M,0.2|0.1,-0.000199266680185,5.09184302839e-08,3.58571591901e-06,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,C_catalyst_feed_M*C_EGDA_feed_M,0.2|0.2,-0.000100078217088,5.09184302839e-08,3.58571591901e-06,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,C_catalyst_feed_M*C_EGDA_feed_M,0.2|0.3,-4.45988956099e-07,5.09184302839e-08,3.58571591901e-06,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,C_catalyst_feed_M*C_EGDA_feed_M,0.2|0.4,9.96322251334e-05,5.09184302839e-08,3.58571591901e-06,-1.73472347598e-18
