catalyst,geometry,response,n_scenarios,balanced_grid,total_variance,method,interaction_order,factor,level,effect,component_variance,contribution_fraction,reconstruction_residual
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,temp_C,100.0,-0.00659643251386,0.000185428987648,0.269864051933,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,temp_C,120.0,-0.00455966128081,0.000185428987648,0.269864051933,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,temp_C,140.0,0.00444672401703,0.000185428987648,0.269864051933,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,temp_C,160.0,0.0346927339131,0.000185428987648,0.269864051933,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.1,-0.00615037065767,2.42009911582e-05,0.0352209091879,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.2,-0.00391194379908,2.42009911582e-05,0.0352209091879,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.3,-0.000696995166578,2.42009911582e-05,0.0352209091879,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.4,0.00319935457664,2.42009911582e-05,0.0352209091879,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.5,0.00755995504669,2.42009911582e-05,0.0352209091879,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.1,0.000184011036971,1.68444055138e-08,2.45145032716e-05,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.2,9.15393622195e-05,1.68444055138e-08,2.45145032716e-05,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.3,-4.67143773569e-07,1.68444055138e-08,2.45145032716e-05,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.4,-9.20065089658e-05,1.68444055138e-08,2.45145032716e-05,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.5,-0.000183076746451,1.68444055138e-08,2.45145032716e-05,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,Q_total_mL_min,2.0,0.0148220738558,5.85975323932e-05,0.0852799107922,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,Q_total_mL_min,4.0,-0.000212844017519,5.85975323932e-05,0.0852799107922,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,Q_total_mL_min,6.0,-0.00374758629565,5.85975323932e-05,0.0852799107922,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,Q_total_mL_min,8.0,-0.00510185920875,5.85975323932e-05,0.0852799107922,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,Q_total_mL_min,10.0,-0.00575978433391,5.85975323932e-05,0.0852799107922,0
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,temp_C,25.0,-0.165774907593,0.0290700404339,0.607217842913,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,temp_C,40.0,-0.122490164825,0.0290700404339,0.607217842913,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,temp_C,60.0,0.0171549293621,0.0290700404339,0.607217842913,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,temp_C,80.0,0.271110143056,0.0290700404339,0.607217842913,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.1,-0.105409970499,0.0046377265905,0.0968732858388,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.2,-0.0420325424619,0.0046377265905,0.0968732858388,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.3,0.00898108423178,0.0046377265905,0.0968732858388,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.4,0.0512836679621,0.0046377265905,0.0968732858388,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.5,0.0871777607673,0.0046377265905,0.0968732858388,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.1,0.00209143679628,2.19483122343e-06,4.58458488931e-05,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.2,0.00104942341457,2.19483122343e-06,4.58458488931e-05,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.3,3.71451126743e-06,2.19483122343e-06,4.58458488931e-05,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.4,-0.0010457088521,2.19483122343e-06,4.58458488931e-05,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.5,-0.00209886587002,2.19483122343e-06,4.58458488931e-05,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,Q_total_mL_min,2.0,0.148663224833,0.00697310489853,0.145654895958,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,Q_total_mL_min,4.0,0.0280664044843,0.00697310489853,0.145654895958,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,Q_total_mL_min,6.0,-0.0292069026561,0.00697310489853,0.145654895958,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,Q_total_mL_min,8.0,-0.0627494059459,0.00697310489853,0.145654895958,-1.38777878078e-17
H2SO4,B,X_EGDA,500,True,0.0478741538531,exact_balanced_functional_anova,1,Q_total_mL_min,10.0,-0.0847733207149,0.00697310489853,0.145654895958,-1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,temp_C,25.0,-0.131311656584,0.0155091739559,0.680630177654,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,temp_C,40.0,-0.089682437178,0.0155091739559,0.680630177654,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,temp_C,60.0,0.0319737688293,0.0155091739559,0.680630177654,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,temp_C,80.0,0.189020324932,0.0155091739559,0.680630177654,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.1,-0.0763818094941,0.00218916331124,0.0960728545361,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.2,-0.0253384716814,0.00218916331124,0.0960728545361,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.3,0.0103027895319,0.00218916331124,0.0960728545361,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.4,0.0360944016918,0.00218916331124,0.0960728545361,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.5,0.0553230899518,0.00218916331124,0.0960728545361,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.1,0.00123078424657,7.64508470401e-07,3.35509510375e-05,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.2,0.00062111668887,7.64508470401e-07,3.35509510375e-05,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.3,5.73588562941e-06,7.64508470401e-07,3.35509510375e-05,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.4,-0.000615380721872,7.64508470401e-07,3.35509510375e-05,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.5,-0.00124225609919,7.64508470401e-07,3.35509510375e-05,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,Q_total_mL_min,2.0,0.0859319037221,0.00263613520453,0.115688506537,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,Q_total_mL_min,4.0,0.0256597300505,0.00263613520453,0.115688506537,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,Q_total_mL_min,6.0,-0.0137888099077,0.00263613520453,0.115688506537,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,Q_total_mL_min,8.0,-0.0398147529639,0.00263613520453,0.115688506537,1.38777878078e-17
H2SO4,B,Y_EGMA,500,True,0.0227864917911,exact_balanced_functional_anova,1,Q_total_mL_min,10.0,-0.057988070901,0.00263613520453,0.115688506537,1.38777878078e-17
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,temp_C,25.0,0.0615718021149,0.00507745910094,0.466347272881,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,temp_C,40.0,0.0504474712916,0.00507745910094,0.466347272881,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,temp_C,60.0,0.00603729481281,0.00507745910094,0.466347272881,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,temp_C,80.0,-0.118056568219,0.00507745910094,0.466347272881,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.1,0.0431137475363,0.000885792083703,0.0813569768583,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.2,0.0205550074944,0.000885792083703,0.0813569768583,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.3,-0.00107456456708,0.000885792083703,0.0813569768583,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.4,-0.0216150027436,0.000885792083703,0.0813569768583,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.5,-0.0409791877199,0.000885792083703,0.0813569768583,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.1,-0.00105710157641,5.57842408335e-07,5.12359195126e-05,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.2,-0.000527705594132,5.57842408335e-07,5.12359195126e-05,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.3,8.402300955e-07,5.57842408335e-07,5.12359195126e-05,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.4,0.000528545845218,5.57842408335e-07,5.12359195126e-05,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.5,0.00105542109523,5.57842408335e-07,5.12359195126e-05,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,Q_total_mL_min,2.0,-0.0752346228029,0.0016425422063,0.150861890421,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,Q_total_mL_min,4.0,-0.00764502495773,0.0016425422063,0.150861890421,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,Q_total_mL_min,6.0,0.0167980407263,0.0016425422063,0.150861890421,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,Q_total_mL_min,8.0,0.0292690273934,0.0016425422063,0.150861890421,1.73472347598e-18
H2SO4,B,S_EGMA,500,True,0.0108877212245,exact_balanced_functional_anova,1,Q_total_mL_min,10.0,0.0368125796409,0.0016425422063,0.150861890421,1.73472347598e-18
H2SO4,B,Y_EG,500,True,0.0075091840474,exact_balanced_functional_anova,1,temp_C,25.0,-0.0344632510094,0.00230559972656,0.307037317505,1.73472347598e-18
H2SO4,B,Y_EG,500,True,0.0075091840474,exact_balanced_functional_anova,1,temp_C,40.0,-0.0328077276471,0.00230559972656,0.307037317505,1.73472347598e-18
H2SO4,B,Y_EG,500,True,0.0075091840474,exact_balanced_functional_anova,1,temp_C,60.0,-0.0148188394672,0.00230559972656,0.307037317505,1.73472347598e-18
H2SO4,B,Y_EG,500,True,0.0075091840474,exact_balanced_functional_anova,1,temp_C,80.0,0.0820898181238,0.00230559972656,0.307037317505,1.73472347598e-18
H2SO4,B,Y_EG,500,True,0.0075091840474,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.1,-0.0290281610052,0.000473701379612,0.0630829363912,1.73472347598e-18
H2SO4,B,Y_EG,500,True,0.0075091840474,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.2,-0.0166940707805,0.000473701379612,0.0630829363912,1.73472347598e-18
