scenario_id,catalyst,geometry,temp_C,C_catalyst_feed_M,C_EGDA_feed_M,Q_total_mL_min,X_EGDA,Y_EGMA,S_EGMA,Y_EG,STY_EGMA_mol_Lreactor_h,physical_valid,study_max_feasible_Y_EGMA,near_optimal_fraction_of_max,available_one_step_neighbors,feasible_one_step_neighbors,feasible_neighbor_fraction
16c599145129bb5f,NaOH,A,60,0.4,0.1,10,0.713907985651,0.502489263339,0.703857182492,0.211418722312,19.9934125541,False,0.51442334876,0.976801042469,6,4,0.666666666667
94a99aa815c73385,NaOH,A,60,0.4,0.2,6,0.794542723976,0.501995438909,0.631804211102,0.292547285067,23.9685166579,False,0.51442334876,0.975841085205,8,6,0.75
40cd5413f84a367f,NaOH,A,60,0.4,0.2,8,0.724076985506,0.503812003614,0.695798946382,0.220264981892,32.0736683303,False,0.51442334876,0.979372349309,8,6,0.75
d6d9999933a138b9,NaOH,A,60,0.4,0.2,10,0.662992214955,0.491164558415,0.740830054013,0.17182765654,39.0856336386,False,0.51442334876,0.954786674436,7,5,0.714285714286
b82d88aa53794490,NaOH,A,60,0.4,0.3,4,0.792567554588,0.502354187532,0.633831380838,0.290213367056,23.9856456291,False,0.51442334876,0.976538465338,8,5,0.625
462b9729146200a8,NaOH,A,60,0.4,0.3,6,0.725078216111,0.50392346393,0.694991868094,0.221154752182,36.090859606,False,0.51442334876,0.979589019715,8,7,0.875
a396a56c1a5f49cd,NaOH,A,60,0.4,0.3,8,0.665045176207,0.491758760901,0.739436625502,0.173286415306,46.9595025413,False,0.51442334876,0.955941759033,8,7,0.875
f3fec881bcc236ad,NaOH,A,60,0.4,0.4,2,0.745539879868,0.505419367143,0.677923986081,0.240120512725,16.0879980548,False,0.51442334876,0.982496942181,7,7,1
606b20201dba5d80,NaOH,A,60,0.4,0.4,4,0.704808778028,0.501021757593,0.71086197166,0.203787020436,31.8960358802,False,0.51442334876,0.973948322526,8,8,1
e136b6c3dfbe92bc,NaOH,A,60,0.4,0.4,6,0.654991024732,0.488748180792,0.746190653517,0.166242843939,46.67201336,False,0.51442334876,0.950089419485,8,7,0.875
dad68f05b198b2c1,NaOH,A,60,0.5,0.1,10,0.79297631582,0.502281637183,0.633413164002,0.290694678638,19.985151378,False,0.51442334876,0.976397432958,5,3,0.6
e831b3cb733b0f20,NaOH,A,60,0.5,0.2,8,0.805521548509,0.499613303435,0.620235801711,0.305908245074,31.8063707228,False,0.51442334876,0.971210394396,7,5,0.714285714286
101334d7489ba8a1,NaOH,A,60,0.5,0.2,10,0.747499669611,0.50548082201,0.676228823316,0.242018847601,40.2248857297,False,0.51442334876,0.982616405784,6,4,0.666666666667
82ac37f8c1c40a03,NaOH,A,60,0.5,0.3,6,0.811635396849,0.497987423543,0.613560504477,0.313647973307,35.6657220095,False,0.51442334876,0.968049807116,7,5,0.714285714286
ce834242f73015c6,NaOH,A,60,0.5,0.3,8,0.753084280527,0.5055730898,0.671336665593,0.247511190727,48.2786738206,False,0.51442334876,0.982795767374,7,5,0.714285714286
9522c1b91c259d66,NaOH,A,60,0.5,0.3,10,0.700455193748,0.500228615691,0.714147914322,0.200226578057,59.7103926843,False,0.51442334876,0.972406514785,6,4,0.666666666667
f59515306df5386d,NaOH,A,60,0.5,0.4,4,0.801653043446,0.500529450345,0.624371671057,0.301123593102,31.8646944522,False,0.51442334876,0.97299131455,7,6,0.857142857143
621c4694526ed98c,NaOH,A,60,0.5,0.4,6,0.748835056013,0.505514117883,0.675067378088,0.24332093813,48.2730426004,False,0.51442334876,0.982681130439,7,7,1
1a818b082b1da644,NaOH,A,60,0.5,0.4,8,0.69884332472,0.499920403614,0.715354051374,0.198922921106,63.6518426956,False,0.51442334876,0.971807373868,7,6,0.857142857143
490e389e3a18ef28,NaOH,A,60,0.5,0.5,2,0.749845044484,0.505534641778,0.674185480717,0.244310402705,20.114584215,False,0.51442334876,0.982721027335,5,5,1
709abd6bb3899bd1,NaOH,A,60,0.5,0.5,4,0.723516954764,0.503748166005,0.696249289928,0.219768788759,40.0870055053,False,0.51442334876,0.979248253836,6,6,1
24cd9c83232d7afc,NaOH,A,60,0.5,0.5,6,0.684977565731,0.496954646253,0.725504996244,0.188022919478,59.3195915413,False,0.51442334876,0.966042166343,6,5,0.833333333333
b91e8f2863c5625d,NaOH,A,80,0.1,0.1,2,0.722379591009,0.496424900118,0.687207814695,0.225954690891,3.95042383544,False,0.51442334876,0.965012380007,5,3,0.6
24538f801a983a07,NaOH,A,80,0.2,0.1,8,0.784413547426,0.494864487818,0.630871929026,0.289549059607,15.7520258852,False,0.51442334876,0.961979056766,7,5,0.714285714286
0e5626454b2a8f84,NaOH,A,80,0.2,0.2,2,0.74642079193,0.497674636549,0.666748088919,0.248746155381,7.920737853,False,0.51442334876,0.967441772907,7,4,0.571428571429
d5781b5a78a800a4,NaOH,A,80,0.2,0.2,4,0.722379590985,0.496424900078,0.687207814663,0.225954690907,15.8016953418,False,0.51442334876,0.965012379931,8,5,0.625
a8f00103cd2e0667,NaOH,A,80,0.2,0.2,6,0.685753174359,0.490778013524,0.715677348461,0.194975160835,23.4329240667,False,0.51442334876,0.954035260466,8,7,0.875
d5230b99b23d9d35,NaOH,A,80,0.3,0.2,10,0.774965338622,0.496172323143,0.640250987257,0.278793015479,39.4841389154,False,0.51442334876,0.964521389511,7,4,0.571428571429
8fc0aac05cfb2661,NaOH,A,80,0.3,0.3,2,0.748604583957,0.497680175968,0.664810484243,0.25092440799,11.8812390134,False,0.51442334876,0.967452541117,7,5,0.714285714286
734c0824f768299e,NaOH,A,80,0.3,0.3,4,0.740983473115,0.497579924948,0.671512851503,0.243403548167,23.7576913782,False,0.51442334876,0.967257660733,8,6,0.75
278ac2c53d50ee9e,NaOH,A,80,0.3,0.3,6,0.722379590974,0.496424900061,0.68720781465,0.225954690913,35.553814519,False,0.51442334876,0.965012379897,8,8,1
43ec7fe13328e779,NaOH,A,80,0.3,0.3,8,0.698473185752,0.493209697588,0.706125457139,0.205263488164,47.0980567869,False,0.51442334876,0.958762269981,8,8,1
c5eca2e9e0964058,NaOH,A,80,0.4,0.3,10,0.793963356938,0.493087847373,0.621046101265,0.300875509564,58.8580262112,False,0.51442334876,0.958525402399,7,4,0.571428571429
7847a4d1d92db82d,NaOH,A,80,0.4,0.4,2,0.748816812066,0.497679705979,0.664621437393,0.251137106087,15.8416370573,False,0.51442334876,0.967451627496,7,6,0.857142857143
e9a5f885dce7dfa9,NaOH,A,80,0.4,0.4,4,0.746420791899,0.497674636498,0.66674808888,0.2487461554,31.6829513802,False,0.51442334876,0.967441772809,8,7,0.875
d0b05eefbdb4d9f0,NaOH,A,80,0.4,0.4,6,0.737137947814,0.497444764568,0.674832663333,0.239693183247,47.5024759112,False,0.51442334876,0.966994919198,8,8,1
aa6bb9d2ebc36d97,NaOH,A,80,0.4,0.4,8,0.722379590968,0.496424900053,0.687207814644,0.225954690916,63.2067813671,False,0.51442334876,0.96501237988,8,8,1
eb59098ebc252d4a,NaOH,A,80,0.4,0.4,10,0.704705394961,0.494223762522,0.701319680617,0.210481632438,78.6581547953,False,0.51442334876,0.960733535354,7,7,1
eeb40d43d77837b5,NaOH,A,80,0.5,0.4,10,0.801734700155,0.49128270276,0.612774653093,0.310451997394,78.190070638,False,0.51442334876,0.955016338089,6,5,0.833333333333
04e24a6c48a56c73,NaOH,A,80,0.5,0.5,2,0.748837570079,0.49767965037,0.664602939616,0.251157919709,19.802044173,False,0.51442334876,0.967451519395,5,5,1
b4cdbf17219ca858,NaOH,A,80,0.5,0.5,4,0.748086751566,0.497680570588,0.665271199558,0.250406180979,39.6041615573,False,0.51442334876,0.967453308229,6,6,1
e743585bd79a4fd2,NaOH,A,80,0.5,0.5,6,0.743546163213,0.497638807772,0.669277621744,0.245907355441,59.4012571257,False,0.51442334876,0.96737212448,6,6,1
771ac998e9a246db,NaOH,A,80,0.5,0.5,8,0.734531377759,0.497321754669,0.677059918376,0.237209623089,79.1512157745,False,0.51442334876,0.96675579728,6,6,1
b46726f48599a92a,NaOH,A,80,0.5,0.5,10,0.722379590968,0.496424900051,0.687207814642,0.225954690917,98.7605958861,False,0.51442334876,0.965012379878,5,5,1
94d728f67b88ffa5,NaOH,A,100,0.1,0.1,4,0.728162010738,0.490236662551,0.673252181961,0.237925348187,7.80235880422,False,0.51442334876,0.952982915206,6,3,0.5
daab4503cb0eb61e,NaOH,A,100,0.2,0.2,4,0.744247382794,0.490618891911,0.659214803106,0.253628490884,15.6168843672,False,0.51442334876,0.953725940111,8,4,0.5
6d5d9d79d6d0d8cf,NaOH,A,100,0.2,0.2,6,0.738627474512,0.490596088265,0.664199620504,0.248031386248,23.42423774,False,0.51442334876,0.953681611551,8,4,0.5
99db932c43b00904,NaOH,A,100,0.2,0.2,8,0.728162010718,0.490236662515,0.673252181931,0.237925348203,31.2094352805,False,0.51442334876,0.952982915136,8,4,0.5
58e5a58490d59ca0,NaOH,A,100,0.3,0.3,2,0.745304708856,0.490609454569,0.658266946042,0.254695254287,11.7124379757,False,0.51442334876,0.953707594634,7,4,0.571428571429
68c350d4d85d34a5,NaOH,A,100,0.3,0.3,4,0.745236647832,0.490610194638,0.658328057357,0.254626453193,23.4249112837,False,0.51442334876,0.953709033273,8,5,0.625
449e46bbeb7df7c9,NaOH,A,100,0.3,0.3,6,0.74424738277,0.490618891868,0.65921480307,0.253628490902,35.1379898262,False,0.51442334876,0.953725940029,8,5,0.625
4956de207840839a,NaOH,A,100,0.3,0.3,8,0.741105529496,0.490621160854,0.662012549263,0.250484368642,46.8508697433,False,0.51442334876,0.953730350765,8,5,0.625
7205da5414f3a66d,NaOH,A,100,0.3,0.3,10,0.73559921934,0.490533807495,0.666849276886,0.245065411845,58.5531601431,False,0.51442334876,0.953560542455,7,4,0.571428571429
393e79b6a594d91c,NaOH,A,100,0.4,0.4,2,0.745304727103,0.490609454361,0.658266929645,0.254695272743,15.6165839623,False,0.51442334876,0.953707594229,7,5,0.714285714286
1c12aa5fde9e87ab,NaOH,A,100,0.4,0.4,4,0.745300331808,0.490609502706,0.658270876541,0.254690829102,31.2331709803,False,0.51442334876,0.953707688208,8,6,0.75
160ccb48bd2ddf15,NaOH,A,100,0.4,0.4,6,0.745134984322,0.490611266045,0.658419315114,0.254523718277,46.8499248723,False,0.51442334876,0.953711116006,8,6,0.75
de4b43bb6466a2ca,NaOH,A,100,0.4,0.4,8,0.744247382765,0.490618891861,0.659214803064,0.253628490905,62.4675374689,False,0.51442334876,0.953725940014,8,6,0.75
8cc140700f26d5db,NaOH,A,100,0.4,0.4,10,0.742121333395,0.490624620645,0.661111059024,0.25149671275,78.0853335552,False,0.51442334876,0.953737076335,7,5,0.714285714286
aa9885f2be672fc2,NaOH,A,100,0.5,0.5,2,0.745304727178,0.490609454356,0.658266929574,0.254695272821,19.5207300125,False,0.51442334876,0.95370759422,5,4,0.8
74ebf8a9745b4c5a,NaOH,A,100,0.5,0.5,4,0.745304443352,0.490609457481,0.658267184446,0.254694985872,39.041460025,False,0.51442334876,0.953707600293,6,5,0.833333333333
5cd4bff1d0ca59d1,NaOH,A,100,0.5,0.5,6,0.745277417464,0.490609753509,0.658291452301,0.254667663955,58.5622253699,False,0.51442334876,0.953708175751,6,5,0.833333333333
d89b5f21368772b5,NaOH,A,100,0.5,0.5,8,0.74503666211,0.490612263478,0.658507545237,0.254424398632,78.0833669571,False,0.51442334876,0.95371305494,6,5,0.833333333333
71972e9518fc15a8,NaOH,A,100,0.5,0.5,10,0.744247382764,0.490618891858,0.659214803061,0.253628490907,97.6055272951,False,0.51442334876,0.953725940008,5,4,0.8
acae73eeb28cc0b2,NaOH,B,25,0.1,0.1,2,0.760844659541,0.521823732839,0.685847927427,0.239020926701,0.0615191306448,False,0.521825508933,0.999996596385,4,2,0.5
8a7b655a579c2b44,NaOH,B,25,0.1,0.1,4,0.756791521541,0.521683888758,0.689336328313,0.235107632783,0.123005288158,False,0.521825508933,0.999728606263,5,3,0.6
eb4f061af9278090,NaOH,B,25,0.1,0.1,6,0.74417430978,0.5208337892,0.699881442231,0.22334052058,0.184207271573,False,0.521825508933,0.998099518487,5,3,0.6
930c5655259427a3,NaOH,B,25,0.1,0.1,8,0.726055871146,0.518589915563,0.714256211088,0.207465955583,0.244551551316,False,0.521825508933,0.993799472593,5,3,0.6
2ad20c3df8fdae5f,NaOH,B,25,0.1,0.1,10,0.705460827386,0.514713141159,0.729612646341,0.190747686227,0.303404225273,False,0.521825508933,0.986370218297,4,2,0.5
c16b221911ec5187,NaOH,B,25,0.2,0.2,2,0.760912735414,0.521825508456,0.685788900842,0.239087226958,0.123038680044,False,0.521825508933,0.999999999086,6,3,0.5
eef6a32c76458e62,NaOH,B,25,0.2,0.2,4,0.760844659499,0.521823732758,0.685847927357,0.239020926741,0.246076523051,False,0.521825508933,0.999996596228,7,4,0.571428571429
09ffac8611b75b14,NaOH,B,25,0.2,0.2,6,0.759868683446,0.521796180011,0.686692571202,0.238072503435,0.369095294815,False,0.521825508933,0.999943795539,7,4,0.571428571429
a9219256e04ac8a7,NaOH,B,25,0.2,0.2,8,0.756791521494,0.521683888683,0.689336328257,0.235107632811,0.492021153575,False,0.521825508933,0.99972860612,7,4,0.571428571429
