x_m,C_EGMA_T40C,C_EGMA_T60C,C_EGMA_T80C,C_EGMA_T100C,C_EGMA_T120C,C_EGMA_T150C,C_EGMA_T180C
3.51000000e-02,9.78845032e-05,3.46603779e-04,1.05542876e-03,2.79948290e-03,6.45431214e-03,1.64102288e-02,2.34173494e-02
3.54000000e-02,9.87199115e-05,3.49550733e-04,1.06430256e-03,2.82233410e-03,6.50330756e-03,1.64983712e-02,2.34092430e-02
3.57000000e-02,9.95552992e-05,3.52497425e-04,1.07317389e-03,2.84516749e-03,6.55220449e-03,1.65858004e-02,2.33995078e-02
3.60000000e-02,1.00390666e-04,3.55443856e-04,1.08204275e-03,2.86798308e-03,6.60100307e-03,1.66725200e-02,2.33881741e-02
3.63000000e-02,1.01226013e-04,3.58390025e-04,1.09090914e-03,2.89078088e-03,6.64970344e-03,1.67585336e-02,2.33752715e-02
3.66000000e-02,1.02061339e-04,3.61335933e-04,1.09977306e-03,2.91356090e-03,6.69830576e-03,1.68438451e-02,2.33608294e-02
3.69000000e-02,1.02896645e-04,3.64281580e-04,1.10863452e-03,2.93632315e-03,6.74681017e-03,1.69284580e-02,2.33448769e-02
3.72000000e-02,1.03731930e-04,3.67226965e-04,1.11749351e-03,2.95906765e-03,6.79521682e-03,1.70123760e-02,2.33274423e-02
3.75000000e-02,1.04567195e-04,3.70172088e-04,1.12635003e-03,2.98179440e-03,6.84352585e-03,1.70956027e-02,2.33085539e-02
3.78000000e-02,1.05402439e-04,3.73116950e-04,1.13520409e-03,3.00450341e-03,6.89173741e-03,1.71781418e-02,2.32882395e-02
3.81000000e-02,1.06237662e-04,3.76061551e-04,1.14405568e-03,3.02719469e-03,6.93985164e-03,1.72599969e-02,2.32665262e-02
3.84000000e-02,1.07072866e-04,3.79005891e-04,1.15290481e-03,3.04986827e-03,6.98786869e-03,1.73411715e-02,2.32434412e-02
3.87000000e-02,1.07908048e-04,3.81949969e-04,1.16175147e-03,3.07252413e-03,7.03578871e-03,1.74216692e-02,2.32190109e-02
3.90000000e-02,1.08743210e-04,3.84893786e-04,1.17059567e-03,3.09516231e-03,7.08361183e-03,1.75014936e-02,2.31932616e-02
3.93000000e-02,1.09578352e-04,3.87837341e-04,1.17943741e-03,3.11778279e-03,7.13133821e-03,1.75806482e-02,2.31662191e-02
3.96000000e-02,1.10413473e-04,3.90780636e-04,1.18827668e-03,3.14038561e-03,7.17896799e-03,1.76591365e-02,2.31379089e-02
