scenario,strategy,seed,acquisition_index,z_m,z_over_L,reacquisition,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,qc_state,qc_flags,residual_rms,fit_condition_number,hardware_fault,spectrum_csv,c_EGDA_M,sigma_EGDA_M,c_EGMA_M,sigma_EGMA_M,c_EG_M,sigma_EG_M,c_AcOH_M,sigma_AcOH_M
S3_transport,B,7,17,0.14,0.7000000000000001,0,60.0,0.5,0.5,1.0,1.0,0.5,WARN,WARN nonnegativity active: EGMA,0.27818580961747774,2.5593843309983235,0,spectrum_B_acq0017_z0.1400m.csv,0.48033008387569726,0.010266187125331462,0.001564193528995341,0.011342410590795554,-0.00022179597825341642,0.002192316893733418,0.006519930934251229,0.00618387803734907
S3_transport,B,7,25,0.1,0.5,0,70.0,0.5,0.5,1.0,1.0,0.5,WARN,WARN nonnegativity active: EGMA,0.4366843002772555,2.623346545442224,0,spectrum_B_acq0025_z0.1000m.csv,0.47930178206008855,0.010299069659289416,0.001564193528995341,0.011618188026988566,7.649569004993342e-05,0.0027100768048334586,0.006597393674080361,0.0065418767479758924
S3_transport,B,7,33,0.06000000000000001,0.30000000000000004,0,90.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.25190862590813234,2.583924286439126,0,spectrum_B_acq0033_z0.0600m.csv,0.47394829602652816,0.010152527147279464,0.01112855056947012,0.011453070251927744,0.0012847322158633485,0.0021466412415342157,0.01434104546688784,0.0061586906143696095
S3_transport,B,7,41,0.02,0.09999999999999999,0,110.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.42143838092383096,2.557600220164466,0,spectrum_B_acq0041_z0.0200m.csv,0.489048416516393,0.010450992135472608,0.021009737526656504,0.011966818900374612,0.0004847381824002494,0.0025816832227860136,0.009633243478944828,0.006447104725350613
S3_transport,B,7,48,0.16,0.7999999999999999,0,110.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.33110335694376314,2.639891597416477,0,spectrum_B_acq0048_z0.1600m.csv,0.39917681680944733,0.008909560190157548,0.0976905761461528,0.018910123968157798,0.0108378358761639,0.0023933638245954374,0.10593791842201554,0.006581658422684004
S3_transport,B,7,49,0.18,0.8999999999999999,0,110.0,0.5,0.5,1.0,1.0,0.5,FAIL,FAIL residual rms 0.565 >> noise scale 0.0692 - lineshape model inadequate?,0.5647761268576114,2.5816811884292616,0,spectrum_B_acq0049_z0.1800m.csv,0.384636807631697,0.008752361745082286,0.06563388575616211,0.015547651031005458,0.013043860435543241,0.0030995737907588924,0.11934138846041989,0.0071535609618775245
S3_transport,B,7,56,0.12000000000000002,0.6000000000000001,0,130.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.20170564597037788,2.660412484366272,0,spectrum_B_acq0056_z0.1200m.csv,0.36254288787461847,0.008274273424237859,0.10672604965321905,0.019948084127891622,0.02208865986196219,0.00207864936503265,0.14986428657294237,0.006646539221620592
S3_transport,B,7,64,0.08,0.39999999999999997,0,140.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.2693294541180613,2.5792676284523663,0,spectrum_B_acq0064_z0.0800m.csv,0.3823631727548644,0.00860808925141815,0.07577830573083963,0.016274235725398208,0.018415990534930565,0.0021941246300863624,0.13440460086580525,0.006612631964709974
S3_transport,B,7,72,0.04,0.19999999999999998,0,160.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.32499705209271357,2.613865240144201,0,spectrum_B_acq0072_z0.0400m.csv,0.4016997910163184,0.008945981902280681,0.0633002568061645,0.015019805409107469,0.015095052547293234,0.0023582735856696635,0.11641835434351984,0.00661149745475777
S3_transport,B,7,80,0.2,1.0,0,160.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.25339945158864324,2.661261546633237,0,spectrum_B_acq0080_z0.2000m.csv,0.15093179656498,0.005332263188129802,0.16626299800143243,0.028007758047703807,0.18966250902676599,0.002998600251743129,0.5397194341415821,0.011312367863672023
S3_transport,C,7,1,0.2,1.0,0,40.0,0.5,0.5,1.0,1.0,0.5,WARN,WARN nonnegativity active: EGMA,0.23019551721773854,2.575087218747609,0,spectrum_C_acq0001_z0.2000m.csv,0.488792417263137,0.010405450262225568,0.001564193528995341,0.011302704136141954,0.00029687716494430656,0.002092905958543478,0.0016771831240236779,0.006120588143074462
S3_transport,C,7,2,0.2,1.0,0,160.0,1.0,1.0,2.0,1.0,1.0,PASS,,0.25939981633832704,2.5248702645119994,0,spectrum_C_acq0002_z0.2000m.csv,0.1491467820482986,0.005299480676129284,0.16581784945756292,0.02793119489799632,0.18815024351649287,0.002945324362536852,0.535470068064218,0.011228571225057646
S3_transport,C,7,3,0.2,1.0,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.20612709583821082,2.7003100814867,0,spectrum_C_acq0003_z0.2000m.csv,0.007025511012303018,0.004454044978308883,0.07135108392914838,0.015755838992300195,0.42345794672939135,0.0050320835699807645,0.927900043848918,0.017399917594108187
S3_transport,C,7,4,0.2,1.0,0,120.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.3129027212125704,2.549137202603299,0,spectrum_C_acq0004_z0.2000m.csv,0.09721176785621391,0.004855581183320718,0.1987340494829281,0.032651074434960854,0.22083172494953607,0.003293282759920986,0.6117345712616896,0.012416018761541312
S3_transport,C,7,5,0.2,1.0,0,90.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.37624203810419055,2.5679694810994604,0,spectrum_C_acq0005_z0.2000m.csv,0.2837713989204572,0.0070912100154181664,0.1793338681147539,0.029909057328694345,0.04974215522025484,0.0025195044381555705,0.26453965587978495,0.007876089986107067
S3_transport,C,7,6,0.2,1.0,0,160.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.21257617816501645,2.5673912252414213,0,spectrum_C_acq0006_z0.2000m.csv,0.15036727650333098,0.005302842582424991,0.17219796144023064,0.028823579892238542,0.19558858699925108,0.0029486924767418024,0.5547626312449775,0.011489693100117214
S3_transport,C,7,7,0.2,1.0,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.34297097123213577,2.525258082008882,0,spectrum_C_acq0007_z0.2000m.csv,0.007617323514611507,0.004491521089683347,0.07036083266270757,0.01570422202190882,0.4126168394690908,0.005032482421687736,0.9078985815809824,0.017127353791874855
S3_transport,C,7,8,0.2,1.0,0,100.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.3393872896740878,2.5822418214359733,0,spectrum_C_acq0008_z0.2000m.csv,0.21981288702865537,0.006179882724484675,0.1826889065148066,0.03036892499371953,0.08993619645906882,0.0025588020417380616,0.3615896529516334,0.008941956085427883
